"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"stratus-computer","Stratus Computer","company","fault-tolerant computing / hardware","active","Stratus Technologies","1980-","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Natick, MA company; hardware-based lockstep fault-tolerant architecture; subject of this chapter."
"peter-s-kastner","Peter S. Kastner","person","technology marketing / industry analysis","active","","1981-1987 (at Stratus)","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Author; joined Stratus November 1, 1981 as Manager of Marketing Development; departed 1987 for Digital Equipment Corporation."
"tandem-computers","Tandem Computers","company","fault-tolerant computing / hardware","acquired","Compaq (then HP)","1974-1997","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Founded 1974 in Cupertino, CA; software-based NonStop fault-tolerant architecture; primary competitor to Stratus."
"ibm","IBM","company","computing / hardware / services","active","","1911-","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","OEM partner; rebranded Stratus FT200 as IBM System/88; also competitor in enterprise accounts."
"gardner-c-hendrie","Gardner Hendrie","person","hardware engineering","unknown","","1981-1987 (at Stratus)","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","VP of Hardware at Stratus; central figure in the pull-the-plug demo near-failure caused by static electricity on Lexan covers."
"john-morgridge","John Morgridge","person","technology sales and executive leadership","active","","1981-1988 (at Stratus); later Cisco CEO","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","VP of Sales and Marketing at Stratus; ex-Honeywell; later became Cisco's first non-founder CEO."
"john-logan","John Logan","person","technology research / analyst","unknown","","1987 (Yankee Group)","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Former Prime Computer colleague of Kastner who had moved to Yankee Group; retained Kastner to ghostwrite the 1987 OLTP market study."
"kate-morgridge","Kate Morgridge","person","technology marketing / trade shows","unknown","","circa 1984-1987","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Daughter of John Morgridge; ran Stratus trade show program for Kastner; subject of anecdote about inappropriate T-shirt at union work-site."
"prime-computer","Prime Computer","company","minicomputer / computing","acquired","[DEFERRED]","1972-1992","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Former employer of both Kastner and John Logan; referenced as shared background."
"mitre-corporation","Mitre Corporation","institution","federally funded R&D / defense systems integration","active","","1958-","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Federally funded research organization; gave Kastner a cold-call presentation in 1982 that initiated the NORAD contract chain."
"gte-sylvania","GTE Sylvania","company","defense electronics / government contracting","acquired","[DEFERRED]","[DEFERRED]","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Defense systems integrator brought into the NORAD procurement chain after Mitre's introduction."
"systems-development-corporation","Systems Development Corporation","company","defense computing / government IT","acquired","[DEFERRED]","[DEFERRED]","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Also brought into NORAD procurement process; contributed to the Cheyenne Mountain contract win."
"norad","NORAD (North American Aerospace Defense Command)","agency","defense / aerospace command and control","active","","1958-","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Customer for Stratus hardware; Cheyenne Mountain installation; $10M hardware + $40M spares contract."
"rolm-corporation","Rolm Corporation","company","telecommunications / digital PBX","acquired","IBM (acquired 1984)","1969-1988","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Kastner identified Rolm's digital PBX systems as a fault-tolerant market opportunity in a men's room pivot observation."
"ascend-communications","Ascend Communications","company","networking / telecommunications","acquired","Lucent Technologies","1989-1999","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Acquired Stratus as part of its trajectory into telecom infrastructure per Kastner's account."
"nortel-networks","Nortel","company","telecommunications / networking","dissolved","Various acquirers (2009 bankruptcy)","1895-2009","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Final destination of Stratus technology via Ascend acquisition chain per Kastner's account."
"yankee-group","Yankee Group","firm","technology market research","dissolved","[DEFERRED]","1970-2013","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Research firm where John Logan worked; commissioned the 1987 OLTP market study ghostwritten by Kastner."
"dec","Digital Equipment Corporation","company","minicomputer / computing","acquired","Compaq","1957-1998","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Kastner's destination after departing Stratus in 1987; cited mildly for conflict-of-interest with Stratus annual report quote."
"honeywell","Honeywell","company","computing / industrial / defense","active","","1906-","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","John Morgridge's prior employer before Stratus; referenced as background."
"cisco","Cisco Systems","company","networking / enterprise IT","active","","1984-","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Company that John Morgridge later became first non-founder CEO of, building it into a generation-defining enterprise."
"jim-treybig","Jim Treybig","person","technology entrepreneurship / computing","unknown","","1974-1997 (Tandem founder)","volume-1-ch05-stratus-fault-tolerant-wars-1981-1987","Founder of Tandem Computers (implied context); Tandem founded 1974 Cupertino CA."
