"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"nathan-brookwood","Nathan Brookwood","person","Industry Analysis","active","","1990s-present","intel-longlivedualcore-revised-5-fa8298","Principal analyst at Insight 64; author of the report."
"insight-64","Insight 64","firm","Semiconductor Analysis","active","","2000s-present","intel-longlivedualcore-revised-5-fa8298","Nathan Brookwood's analyst firm; Saratoga CA."
"intel","Intel Corporation","company","Semiconductors","active","","1968-present","intel-longlivedualcore-revised-5-fa8298","Subject of the report; announced dual-core transition at Fall 2004 IDF."
"amd","Advanced Micro Devices (AMD)","company","Semiconductors","active","","1969-present","intel-longlivedualcore-revised-5-fa8298","Intel's x86 competitor; had bandwidth and architectural advantages in 2004-2005."
"paul-otellini","Paul Otellini","person","Intel Leadership","deceased","","1974-2016","intel-longlivedualcore-revised-5-fa8298","Intel President (later CEO); announced end of MHz-driven scaling at Fall 2004 IDF."
"bill-siu","Bill Siu","person","Intel Leadership","[DEFERRED]","[DEFERRED]","2000s","intel-longlivedualcore-revised-5-fa8298","GM, Intel Desktop Platforms Group; narrated dual-core demo at IDF."
"ibm","IBM","company","Enterprise IT","active","","1911-present","intel-longlivedualcore-revised-5-fa8298","Cited as dual-core predecessor: Power 4 (2001) and second-generation (2004)."
"sun-microsystems","Sun Microsystems","company","Enterprise IT","acquired","Oracle (2010)","1982-2010","intel-longlivedualcore-revised-5-fa8298","Cited as dual-core predecessor: UltraSPARC III dual-core (Feb 2004)."
"hewlett-packard","Hewlett-Packard","company","Enterprise IT","active","","1939-present","intel-longlivedualcore-revised-5-fa8298","Cited as dual-core predecessor for RISC systems (Feb 2004)."
"microsoft","Microsoft Corporation","company","Software","active","","1975-present","intel-longlivedualcore-revised-5-fa8298","x86-64 OS support (Windows for 64-bit Extended x86) cited as on-hold in 2004."
"pci-sig","PCI Special Interest Group","institution","Industry Standards","active","","1992-present","intel-longlivedualcore-revised-5-fa8298","Standards body for PCI and PCI Express."
"gordon-moore","Gordon Moore","person","Semiconductors","deceased","","1929-2023","intel-longlivedualcore-revised-5-fa8298","Originator of Moore's Law (1965); invoked in the report."
