"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"nvidia-geforce-fx-notes-2003-02-OBS-001","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-geforce-fx","expert-opinion","2003","Product-line positioning","Very modular: mobile, low cost $99 (NV34) up through high-end","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-002","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv31","market-data","2003","NV31 introduction date","Announced March 6; ships April","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-003","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv34","market-data","2003","NV34 introduction date","Announced March 6; ships April","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-004","nvidia-geforce-fx-notes-2003-02","nvidia","directx-9","technology-assessment","2003","API support","Full DirectX 9 support across FX line","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-005","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv35","market-data","2003","NV35 status","High-end future; under May 11 NDA","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-006","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv35","benchmark-result","2003","NV35 bandwidth target","20 GB/s — 2x NV30 (2nd gen compression/caching, 2nd gen pixel shader, AGP 8x, clocks ≥ NV30)","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-007","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv31","benchmark-result","2003","NV31 positioning","2x Ti4200; 4-pipe engine; 0.13 micron TSMC; AGP 8x; DDR1; lossless compression continues","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-008","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv31","benchmark-result","2003","NV31 vs ATI","1.5x ATI Radeon 9500","high","field-research","p.1","Per nVidia briefers"
"nvidia-geforce-fx-notes-2003-02-OBS-009","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv31","market-data","2003","NV31 pricing","$179 at 128MB — 'pretty aggressive'","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-010","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv31","expert-opinion","2003","NV31 go-to-market","No OEMs to announce yet — PR later; production silicon rev A01","high","field-research","p.1",""
"nvidia-geforce-fx-notes-2003-02-OBS-011","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv34","benchmark-result","2003","NV34 positioning","Replaces GeForce Ti 4200 low end and MX; 2x GeForce 4 MX 440 64MB","high","field-research","p.2",""
"nvidia-geforce-fx-notes-2003-02-OBS-012","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv34","technology-assessment","2003","NV34 specs","Full cinematix; 128-bit; vertex and pixel shaders; dual RAMDACs 350 MHz 2048x1356; MPEG decoder; DDR1; 0.15 micron TSMC; 128MB standard","high","field-research","p.2",""
"nvidia-geforce-fx-notes-2003-02-OBS-013","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv34","market-data","2003","NV34 price","$99 price point","high","field-research","p.2",""
"nvidia-geforce-fx-notes-2003-02-OBS-014","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv34","technology-assessment","2003","NV34 trade-off","Lacks compression and other high-end features","high","field-research","p.2",""
"nvidia-geforce-fx-notes-2003-02-OBS-015","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv30","market-data","2003","NV30 ship timing","End February 2003","high","field-research","p.2",""
"nvidia-geforce-fx-notes-2003-02-OBS-016","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv30","market-data","2003","NV30 pricing","$399 — 'more than a 4600'; product name 5800","high","field-research","p.2",""
"nvidia-geforce-fx-notes-2003-02-OBS-017","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-geforce-fx","framework-factor","2003","Positioning pillars","Power, precision, programmability","high","field-research","p.2",""
"nvidia-geforce-fx-notes-2003-02-OBS-018","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-geforce-fx","technology-assessment","2003","Shader strategy","Vertex and pixel shaders across the line; 128-bit precision; hardware pixel/vertex shaders into mainstream (Dawn, Doom III)","high","field-research","p.2",""
"nvidia-geforce-fx-notes-2003-02-OBS-019","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv30","viability-prediction","2003","NV30 market reception","Will outperform GeForce 4 Ti 4600 at $399","medium","industry-analysis","p.2","Implicit in briefing"
"nvidia-geforce-fx-notes-2003-02-OBS-020","nvidia-geforce-fx-notes-2003-02","nvidia","nvidia-nv30","actual-outcome","2003","NV30 outcome","[DEFERRED]","[DEFERRED]","industry-analysis","","Placeholder — NV30 actually disappointed vs ATI 9700; quickly refreshed to NV35"
