entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
aberdeen-group,Aberdeen Group,firm,Market Research / IT Consulting,acquired,Aberdeen/Harte-Hanks,1988-present,storag~1-262bc7,Author; Boston-based market research and consulting firm.
boole-and-babbage,Boole & Babbage Inc.,company,Systems / Storage Management Software,unknown,unknown,1979-1999,storag~1-262bc7,Enterprise storage and systems management software; supplier abstract included. Acquired by BMC Software 1999.
compaq,Compaq,company,Enterprise IT Hardware,dissolved,HP (2002),1982-2002,storag~1-262bc7,Server vendor with captive storage; listed in vendor segment matrix.
data-general,Data General Corporation,company,Server / Storage Hardware,unknown,unknown,1968-1999,storag~1-262bc7,Server and storage hardware; supplier abstract included. Acquired by EMC 1999.
computer-associates,Computer Associates (CA),company,Enterprise Software,renamed,CA Technologies (2006) -> Broadcom (2018),1976-present,storag~1-262bc7,Storage management software; listed in vendor segment matrix and supplier abstract.
emc,EMC Corporation,company,Enterprise Storage,unknown,unknown,1979-2016,storag~1-262bc7,Leading enterprise storage hardware vendor; supplier abstract included. Acquired by Dell 2016.
hewlett-packard,Hewlett-Packard (HP),company,Enterprise IT Hardware/Services,split,HP Inc./HPE (2015),1939-present,storag~1-262bc7,Storage hardware and management software; supplier abstract included.
ibm,IBM,company,Enterprise IT Hardware/Services,active,,1911-present,storag~1-262bc7,Storage hardware and management software; supplier abstract included.
legato,Legato Systems,company,Storage Software,unknown,unknown,1988-2003,storag~1-262bc7,Networker backup/restore software; supplier abstract included. Acquired by EMC 2003.
storagetek,Storage Technology Corporation (StorageTek),company,Tape / Storage Hardware,unknown,unknown,1969-2005,storag~1-262bc7,Tape libraries and enterprise storage; supplier abstract included. Acquired by Sun Microsystems 2005.
sun-microsystems,Sun Microsystems,company,Enterprise IT Hardware/Software,acquired,Oracle (2010),1982-2010,storag~1-262bc7,Sun storage and NFS NAS solutions; supplier abstract included.
veritas,VERITAS Software,company,Storage Software,unknown,unknown,1989-2005,storag~1-262bc7,NetBackup and Volume Manager storage software; supplier abstract included. Merged with Symantec 2005.
seagate-technology,Seagate Technology,company,Storage Hardware,active,,1979-present,storag~1-262bc7,Disk drive manufacturer; parent of Quinta Corporation; Linear Tape-Open co-developer.
quinta-corporation,Quinta Corporation,company,Storage Technology R&D,unknown,unknown,1990s,storag~1-262bc7,Seagate subsidiary; announced optically-assisted Winchester tech with 250 Gbits/in2 theoretical density.
quantum-corporation,Quantum Corporation,company,Data Storage,unknown,unknown,1980-present,storag~1-262bc7,Tape drives (Super DLTtape); listed in vendor segment matrix.
exabyte,Exabyte,company,Tape Storage,unknown,unknown,1985-2010,storag~1-262bc7,8mm tape cartridge drives and libraries; listed in vendor segment matrix.
brocade,Brocade Communications,company,Storage Networking,unknown,unknown,1995-2017,storag~1-262bc7,Fibre Channel switch vendor; listed in vendor segment matrix.
gadzoox,Gadzoox Networks,company,Fibre Channel Networking,unknown,unknown,1995-2001,storag~1-262bc7,Fibre Channel hub and switch vendor; listed in vendor segment matrix.
vixel,Vixel Corporation,company,Fibre Channel Networking,unknown,unknown,1996-2002,storag~1-262bc7,Fibre Channel switch vendor; listed in vendor segment matrix. Acquired by Emulex 2002.
intelliguard-software,Intelliguard Software,company,Storage Management Software,unknown,unknown,1990s,storag~1-262bc7,Storage management software vendor; listed in vendor segment matrix.
comdisco,Comdisco,company,IT Services / Disaster Recovery,unknown,unknown,1969-2001,storag~1-262bc7,Disaster recovery and business continuity services; listed in vendor segment matrix.
sungard,SunGard Data Systems,company,IT Services / Disaster Recovery,unknown,unknown,1983-2015,storag~1-262bc7,Disaster recovery and high availability services; listed in vendor segment matrix.
