"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"ibm-360-65","IBM System/360 Model 65","platform","IBM","1966-1968","mature","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner operated IBM 360/65 at MIT and Cornell; ran SysGen at Cornell."
"fortran","FORTRAN","language","IBM / ANSI","1966-1973","growing","legacy-supported","volume-1-appendix-career-timeline","Kastner self-taught FORTRAN at MIT as computer operator."
"assembler","IBM Assembler","language","IBM","1966-1973","mature","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner self-taught assembler at MIT alongside FORTRAN."
"ibm-eliza","ELIZA (conversational AI program)","application","MIT","1966-1967","emerging","legacy-end-of-life","volume-1-appendix-career-timeline","Kastner encountered ELIZA during his MIT computer operator period; early AI exposure."
"cosmos-application-package","Cosmos/CAS Code Generator","application","PHI / internal","1969-1973","emerging","legacy-end-of-life","volume-1-appendix-career-timeline","Code generator developed during Kastner's time at PHI; notable early automation tool."
"fault-tolerant-computing","Fault-Tolerant Computing","platform","Stratus / Tandem / IBM","1981-1987","growing","legacy-supported","volume-1-appendix-career-timeline","Stratus Pair-and-Spare architecture; IBM OEM System 88; competitive with Tandem NonStop."
"ibm-system-88","IBM System/88","platform","IBM (OEM from Stratus)","1981-1987","growing","legacy-end-of-life","volume-1-appendix-career-timeline","OEM fault-tolerant system produced by Stratus and sold under IBM branding."
"dectp","DECtp (DEC Transaction Processing)","platform","DEC","1987-1988","emerging","legacy-end-of-life","volume-1-appendix-career-timeline","Described by DEC as 'most important launch after VAX.' Kastner led the launch."
"ibm-3090","IBM 3090 Mainframe","platform","IBM","1987-1988","mature","legacy-end-of-life","volume-1-appendix-career-timeline","Target of secret DEC blind benchmark; IBM responded with DB2 v2."
"tech-tpc","TPC Benchmark Standards","framework","Transaction Processing Performance Council","1988-present","emerging","active","volume-1-appendix-career-timeline","TPC-A (1989), TPC-B (1990), TPC-C (1992), TPC-H, TPC-DS, TPC-E. Kastner was co-founder and early auditor."
"4gl","Fourth-Generation Languages (4GL)","language","various","1979-1981","emerging","legacy-end-of-life","volume-1-appendix-career-timeline","Emerging during Prime Computer peak period (1979-1981); key technology transition witnessed by Kastner."
"client-server","Client-Server Architecture","platform","various","1990-1997","growing","legacy-supported","volume-1-appendix-career-timeline","Dominant computing paradigm during Aberdeen's partnership years 1990-1997."
"tech-rdbms","Relational Database Management System (RDBMS)","platform","various","1990-1997","growing","active","volume-1-appendix-career-timeline","RDBMS dominance was a defining technology trend of Aberdeen's partnership years."
"oltp","Online Transaction Processing (OLTP)","framework","various","1987-1992","growing","active","volume-1-appendix-career-timeline","Kastner predicted microprocessor OLTP dominance in 1987 Yankee Group paper; TPC benchmarks standardized OLTP measurement."
"snr-framework","SNR (Signal-to-Noise Ratio) Research Framework","framework","Aberdeen Group","1990-2006","growing","legacy-end-of-life","volume-1-appendix-career-timeline","Aberdeen proprietary research methodology developed by Kastner and partners."
"5-year-tco","TCO (Total Cost of Ownership) Framework","framework","Aberdeen Group","1990-2006","growing","active","volume-1-appendix-career-timeline","Aberdeen proprietary benchmark research methodology developed alongside SNR."
"cloud-computing","Cloud Computing","platform","various","2008-2015","growing","active","volume-1-appendix-career-timeline","Key technology transition Kastner witnessed during expert witness / Intel advisory period."
"saas","Software as a Service (SaaS)","platform","various","2004-2008","emerging","active","volume-1-appendix-career-timeline","SaaS emergence was a defining transition of Kastner's Aberdeen final years (2004-2008)."
"ai-expert-systems","AI/ML and Generative AI","platform","various","2015-2026","growing","active","volume-1-appendix-career-timeline","AI/ML maturation and generative AI represent the final major technology transition in the timeline (2015-2026)."
"ibm-360","IBM System/360","platform","IBM","1969-1973","mature","legacy-end-of-life","volume-1-appendix-career-timeline","Platform used at PHI service bureau for client work including Cumberland Farms and First Chicago DDA."
"e-commerce","E-Commerce Infrastructure","platform","various","1997-2001","growing","active","volume-1-appendix-career-timeline","Internet boom and e-commerce infrastructure was the defining transition of Aberdeen's scaled years 1997-2001."
