"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-s-kastner","Peter S. Kastner","person","technology/consulting","active","","1969-","volume-1-ch02-physics-of-the-machine-1969-1972","Author; joined PHI in March 1969 at age 21 as a junior programmer earning $7,200/year."
"phi-computer-services","Philip Hankins Inc. (PHI)","company","technology/service-bureau","acquired","Wang Laboratories","~1960s-1972","volume-1-ch02-physics-of-the-machine-1969-1972","Service bureau headquartered in a converted funeral home in Arlington, Massachusetts. Founders had Apollo program backgrounds. Acquired by Wang Laboratories circa 1972."
"philip-hankins","Philip Hankins","person","technology","unknown","","","volume-1-ch02-physics-of-the-machine-1969-1972","Founder of PHI; had background writing navigation code for the Apollo lunar program."
"dave-moros","David Moros","person","technology","unknown","","","volume-1-ch02-physics-of-the-machine-1969-1972","Engineering lead at PHI; Apollo program veteran; later provided key technical leadership for Dr. An Wang's computing initiatives after acquisition."
"robert-siegel","Robert A. Siegel","person","technology","unknown","","","volume-1-ch02-physics-of-the-machine-1969-1972","Senior programmer and mentor to Kastner at PHI; later architected the Wang VS operating system. Taught resource-efficiency philosophy."
"wang-laboratories","Wang Laboratories","company","technology","dissolved","","1951-1992","volume-1-ch02-physics-of-the-machine-1969-1972","Acquired PHI circa 1972; relocated professional staff to Tewksbury, Massachusetts facility."
"an-wang","An Wang","person","technology","unknown","","","volume-1-ch02-physics-of-the-machine-1969-1972","Founder of Wang Laboratories; David Moros provided key technical leadership for his computing initiatives post-acquisition."
"arthur-d-little-systems","Arthur D. Little Systems","firm","technology/consulting","unknown","","","volume-1-ch02-physics-of-the-machine-1969-1972","Cambridge, Massachusetts consultancy where Kastner moved after leaving PHI; several PHI alumni joined together."
"murray-sherry","Murray Sherry","person","technology","unknown","","","volume-1-ch02-physics-of-the-machine-1969-1972","PHI colleague whom Kastner followed to Arthur D. Little Systems after the Wang acquisition."
"marine-midland-bank","Marine Midland Bank","institution","banking/finance","acquired","HSBC","","volume-1-ch02-physics-of-the-machine-1969-1972","PHI client in July 1969; Kastner upgraded their bond portfolio system and fixed an early Y2K two-digit-year bug."
"cumberland-farms","Cumberland Farms","company","retail/energy","active","","","volume-1-ch02-physics-of-the-machine-1969-1972","New England gas station and convenience store chain; early PHI client for whom Kastner built a retail accounting system handling pump counter rollover at 9,999 gallons."
