"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"OBS-001","1998-hp-high-availability-and-metadata-7d1276","ENT-001","TECH-006","market-data","1998","buyer_availability_importance_pct","40","high","ingest-extraction","FIELD-RESEARCH","1","40%+ of commercial server buyers consider availability an important buying attribute per Aberdeen field research."
"OBS-002","1998-hp-high-availability-and-metadata-7d1276","ENT-001","TECH-008","strategy-classification","1998","end_to_end_ha_credibility","credible","medium","outcome-linkage","EXPERT-PANEL","2","Aberdeen rated HP's end-to-end HA theme as credible based on HP's considerable experience in the space."
"OBS-003","1998-hp-high-availability-and-metadata-7d1276","ENT-001","TECH-008","viability-prediction","1998","end_to_end_ha_message_lifespan_months","12-18","medium","ingest-extraction","EXPERT-PANEL","2","Aberdeen estimated a 12-18 month useful window for the end-to-end HA umbrella message."
"OBS-004","1998-hp-high-availability-and-metadata-7d1276","ENT-001","TECH-008","strategy-classification","1998","ha_position_defensibility","defendable-and-sustainable","medium","ingest-extraction","EXPERT-PANEL","2","Aberdeen rated HP's end-to-end HA position as defendable and sustainable."
"OBS-005","1998-hp-high-availability-and-metadata-7d1276","ENT-001","TECH-003","strategy-classification","1998","single_unix_system_ha_rating","average","high","ingest-extraction","THIRD-PARTY-REPORT","2","HP's single-Unix-system availability rated average based on September 1998 DH Brown clustering white paper; conceded by HP's HA marketing team."
"OBS-006","1998-hp-high-availability-and-metadata-7d1276","ENT-001","TECH-001","expert-opinion","1998","bundle_serviceguard_recommendation","recommended","medium","ingest-extraction","EXPERT-PANEL","2","Aberdeen recommended HP bundle MC/ServiceGuard as the lowest HA level to improve competitive picture against Sun and IBM."
"OBS-007","1998-hp-high-availability-and-metadata-7d1276","ENT-001","TECH-002","framework-factor","1998","nt_version_of_serviceguard","unavailable","high","outcome-linkage","VENDOR-CONFIRMED","1","No NT version of MC/ServiceGuard existed; gap confirmed as unfixable for technology reasons."
"OBS-008","1998-hp-high-availability-and-metadata-7d1276","ENT-006","TECH-007","expert-opinion","1998","marathon_acquisition_recommendation","recommended","medium","ingest-extraction","EXPERT-PANEL","1","Aberdeen recommended HP acquire Marathon Technologies for FT-on-NT capability to leverage systems and service revenues."
"OBS-009","1998-hp-high-availability-and-metadata-7d1276","ENT-006","TECH-007","actual-outcome","2005","marathon_acquisition_by_hp","did-not-occur","high","ingest-extraction","HISTORICAL-RECORD","","HP did not acquire Marathon. Marathon was eventually acquired by Stratus Technologies circa 2005."
"OBS-010","1998-hp-high-availability-and-metadata-7d1276","ENT-001","TECH-005","expert-opinion","1998","five_nines_messaging_change","transition-away-recommended","medium","ingest-extraction","EXPERT-PANEL","2","Aberdeen recommended transitioning from 'five nines' jargon toward broader 'end-to-end high availability' super-message."
