"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-001","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","market-data","1996","Khalix 2.1 LAN site license pricing","Basic LAN site license (up to 50 users): $145,000; additional $95,000 for data warehouse components on RDBMSs","high","document-review","Executive Summary",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-002","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","","market-data","1996","Longview Solutions revenue target","Plans to double sales during coming year to more than $10 million U.S.","high","document-review","About The Company section","Post-Edison Venture Capital funding"
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-003","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","","market-data","1995","Longview venture funding","Received funding in October 1995 from Edison Venture Capital Fund; established first U.S. office","high","document-review","About The Company section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-004","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","","strategy-classification","1996","Longview go-to-market model","Direct sales force throughout Canada and US; independent agents worldwide; partnership programs including Cognos, Oracle, Pyramid","high","document-review","Sales and Distribution section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-005","aberdeen-1996-khalix-financial-awareness-competitive-advantage","","rolap","technology-assessment","1996","Relational OLAP vs proprietary MOLAP advantage","ROLAP leverages mainstream scalable-parallel RDBMSs; eliminates need for enterprise to maintain non-mainstream technologies; benefits from hardware parallelism innovations","high","competitive-profiling","Competition section","Khalix's differentiating architecture"
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-006","aberdeen-1996-khalix-financial-awareness-competitive-advantage","arbor-software","essbase","technology-assessment","1996","Essbase competitive mindshare","Arbor Software Essbase has significant mindshare and marketing might; adopted as popular proprietary multidimensional engine by many financial software developers via APIs","high","competitive-profiling","Competition section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-007","aberdeen-1996-khalix-financial-awareness-competitive-advantage","oracle","oracle-express","technology-assessment","1996","Oracle Express 6.0 limitation","Oracle Express uses proprietary multidimensional database (not RDBMS) for financial applications; requires enterprise to factor in non-standard database type","high","competitive-profiling","Competition section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-008","aberdeen-1996-khalix-financial-awareness-competitive-advantage","oracle","oracle-financials","strategy-classification","1996","Oracle competitive strategy vs Khalix","Oracle counters Khalix with parallelism, 64-bit enablement, and RDBMS across full platform spectrum; but Oracle Financial management uses non-RDBMS multidimensional backend","high","competitive-profiling","Competition section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-009","aberdeen-1996-khalix-financial-awareness-competitive-advantage","hyperion-software","","technology-assessment","1996","Hyperion Software competitive position","Strong loyal user base; numerous years of experience; layered architecture using proprietary multidimensional DB for reporting plus RDBMS for accounting/transactional","high","competitive-profiling","Competition section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-010","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","technology-assessment","1996","Khalix object-orientation advantages","Object-oriented hierarchical engine with drag-and-drop hierarchy editor; inheritance for selective recalculation; reduces IS coding burden; enables what-if analysis","high","document-review","Object Orientation section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-011","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","technology-assessment","1996","Khalix 64-bit scalability readiness","Khalix prepared to exploit emerging 64-bit technology; benefits from scalable-parallel databases; can scale up and speed up with demand via affordable processor increments","high","document-review","Multidimensional Excellence section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-012","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","technology-assessment","1996","Khalix sparse-matrix compression","Compression technique knocks out unused cells creating tighter multidimensional matrix; reduces disk and memory requirements","high","document-review","Multidimensional Excellence section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-013","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-financial-warehouse","technology-assessment","1996","Khalix RDBMS support breadth","Khalix Financial Warehouse runs on Informix, Microsoft SQL Server, Oracle, or Sybase RDBMSs","high","document-review","Key Technologies section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-014","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","framework-factor","1996","Integrated financial management requirement 1: Consolidation","Must handle multi-entity multi-currency rollups within 12-hour window; eliminate manual intervention for accounts synchronization","high","expert-opinion","Preface / Executive Summary",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-015","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","framework-factor","1996","Integrated financial management requirement 2: Budgeting and forecasting","Must support relational-budgeting and activities-based management; drill into costs to find activities influencing bottom line","high","expert-opinion","Executive Summary",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-016","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","framework-factor","1996","Integrated financial management requirement 3: Reporting","Must deliver both appropriate level of detail and executive digest; fully integrated world-class reporting tools","high","expert-opinion","Market Position section",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-017","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","framework-factor","1996","Integrated financial management requirement 4: Scalability","Must scale from desktop to SMP/MPP; non-intrusive; adjustable from root calculation logic across all modules","high","expert-opinion","Executive Summary",""
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-018","aberdeen-1996-khalix-financial-awareness-competitive-advantage","","","market-data","1996","Loosely integrated financial management systems prevalence","Most financial management software suppliers have delivered loosely integrated point solutions requiring multiple software versions, technologies, and maintenance routines","high","field-research","Executive Summary","Aberdeen's market assessment"
"aberdeen-1996-khalix-financial-awareness-competitive-advantage-OBS-019","aberdeen-1996-khalix-financial-awareness-competitive-advantage","longview-solutions","khalix-21","viability-prediction","1996","Khalix market position on must-RFP shortlist","With Khalix 2.1 Longview Solutions has guaranteed itself a worthy position on technology buyers' must-RFP shortlist of financial management/analysis software","high","expert-opinion","Aberdeen Conclusions","Aberdeen's primary recommendation"
