"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-001","contract-aberdeen-engaglementltr-rev1-02-d5e80a","maxtor-corporation","","contract-term","2003","total_project_cost","$114,000","high","document-extraction","5","Total contract value for four-phase Pools of Storage engagement"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-002","contract-aberdeen-engaglementltr-rev1-02-d5e80a","maxtor-corporation","","contract-term","2003","project_duration_weeks","10","high","document-extraction","7","Approximately 10 person-weeks; ~10 weeks total duration"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-003","contract-aberdeen-engaglementltr-rev1-02-d5e80a","aberdeen-group","","deliverable","2003","phase1_deliverables","Strategy Workshop, Planning Guide, Strategy Report, Tool Implementation Plan, Tool Delivery Specs","high","document-extraction","4","Phase One: Design — Pools of Storage Strategy Definition"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-004","contract-aberdeen-engaglementltr-rev1-02-d5e80a","aberdeen-group","ilm-decision-tool","deliverable","2003","phase2_deliverables","Decision Tool, Competitive Value Prospect Tool, WebEx Session, Tool Demo Guides","high","document-extraction","4","Phase Two: Pools of Storage Toolkit Development and Introduction"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-005","contract-aberdeen-engaglementltr-rev1-02-d5e80a","aberdeen-group","","deliverable","2003","phase3_deliverables","Survey instrument, 100-250 Internet surveys, 5-8 interviews, survey report, white paper","high","document-extraction","4","Phase Three: Message Testing — qualitative and quantitative field research"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-006","contract-aberdeen-engaglementltr-rev1-02-d5e80a","aberdeen-group","","deliverable","2003","phase4_deliverables","US east/west coast press tour, Europe press tour (2 cities), 2004 evangelism plan","high","document-extraction","4-5","Phase Four: Evangelization — press and industry outreach"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-007","contract-aberdeen-engaglementltr-rev1-02-d5e80a","maxtor-corporation","","contract-term","2003","milestone_project_initiation","$20,000","high","document-extraction","5","First invoice milestone"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-008","contract-aberdeen-engaglementltr-rev1-02-d5e80a","maxtor-corporation","","contract-term","2003","milestone_phase1_strategy_workshop","$20,000","high","document-extraction","5","Facilitation of Phase 1 Strategy Workshop invoice milestone"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-009","contract-aberdeen-engaglementltr-rev1-02-d5e80a","maxtor-corporation","","contract-term","2003","milestone_phase2_approval","$10,000","high","document-extraction","5","Delivery of Phase 2 approval copies invoice milestone"
"contract-aberdeen-engaglementltr-rev1-02-d5e80a-010","contract-aberdeen-engaglementltr-rev1-02-d5e80a","maxtor-corporation","","contract-term","2003","milestone_phase2_final","$20,000","high","document-extraction","5","Delivery of Phase 2 final copies invoice milestone"
