"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"vitria-technology","Vitria Technology, Inc.","company","EAI-software","acquired","Pegasystems (2011)","1994-2011","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Sunnyvale CA EAI/BPA vendor; co-founders JoMei Chang and Dale Skeen"
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1980s-present","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Vice President of Enterprise Integration Research, AberdeenGroup"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Spiceworks Ziff Davis (2018)","1988-2018","vitria-testimonials-kastner-bpa-soa-rese-93ccae",""
"goodyear-tire","Goodyear Tire & Rubber Company","company","manufacturing","active","","1898-present","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Vitria customer; B2B integration"
"kpmg-consulting","KPMG Consulting","company","IT-consulting","renamed","BearingPoint (2002) -> wound down 2009","1997-2002","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Vitria partner; renamed BearingPoint"
"bp","BP plc","company","energy","active","","1909-present","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Vitria customer for global integration"
"alltel","ALLTEL Communications","company","telecommunications","acquired","Verizon Wireless (2009)","1943-2009","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Vitria customer for telco integration"
"masterbrand-cabinets","MasterBrand Cabinets, Inc.","company","manufacturing","active","","1954-present","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Vitria customer"
"surewest-comm","SureWest Communications","company","telecommunications","acquired","Consolidated Communications (2012)","2001-2012","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Vitria customer"
"bearingpoint-inc","BearingPoint, Inc.","company","IT-consulting","wound-down","split into BearingPoint Inc. (Europe), PwC (US assets)","2002-2009","vitria-testimonials-kastner-bpa-soa-rese-93ccae","Vitria SI partner; renamed-from KPMG Consulting"
