"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-001","volume-1-ch02-physics-of-the-machine-1969-1972","peter-s-kastner","","personal-recollection","1969","Career start: PHI join date and salary","Kastner joined PHI in March 1969 as a 21-year-old junior programmer earning $7,200/year.","high","ingest-extraction","mc-oh","Opening paragraph","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-002","volume-1-ch02-physics-of-the-machine-1969-1972","phi-computer-services","ibm-360-65","market-data","1969","CPU time cost per hour","$360 per hour on PHI's IBM System/360 Model 65 service bureau.","high","ingest-extraction","mc-oh","Opening section","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-003","volume-1-ch02-physics-of-the-machine-1969-1972","peter-s-kastner","","expert-opinion","1969","Compute cost vs. labor cost equation (1969)","20 hours of machine time equaled one programmer's annual salary; machine was scarce, labor was cheap.","high","ingest-extraction","mc-eo","Opening section","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-004","volume-1-ch02-physics-of-the-machine-1969-1972","peter-s-kastner","","expert-opinion","1969","Inversion of compute vs. labor scarcity","By 2020s, compute is near-free and human talent is the scarce resource—the inverse of 1969.","high","ingest-extraction","mc-eo","Opening section","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-005","volume-1-ch02-physics-of-the-machine-1969-1972","phi-computer-services","","personal-recollection","1969","PHI headquarters description","Converted funeral home in Arlington, Massachusetts; atmosphere half dormitory, half NASA mission control.","high","ingest-extraction","mc-oh","The Rocket Scientists of Arlington","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-006","volume-1-ch02-physics-of-the-machine-1969-1972","philip-hankins","apollo-navigation-software","personal-recollection","1969","Founder background: Apollo navigation code","Philip Hankins wrote navigation code for the Apollo lunar program before founding PHI.","high","ingest-extraction","mc-oh","The Rocket Scientists of Arlington","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-007","volume-1-ch02-physics-of-the-machine-1969-1972","dave-moros","apollo-navigation-software","personal-recollection","1969","Engineering lead background: Apollo navigation code","David Moros co-wrote navigation code for Apollo and served as PHI engineering lead; described as dapper, polite, and relentlessly precise.","high","ingest-extraction","mc-oh","The Rocket Scientists of Arlington","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-008","volume-1-ch02-physics-of-the-machine-1969-1972","robert-siegel","wang-vs","personal-recollection","1969","Siegel's later career: Wang VS architect","Robert A. Siegel later architected the Wang VS operating system after leaving PHI.","high","ingest-extraction","mc-oh","The Rocket Scientists of Arlington","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-009","volume-1-ch02-physics-of-the-machine-1969-1972","robert-siegel","","personal-recollection","1969","Siegel's teaching philosophy: programmer manages physical resources","An applications programmer manages physical machine resources: disk spin, core memory cycle, card reader click. Code is choreography of hardware.","high","ingest-extraction","mc-oh","The Rocket Scientists of Arlington","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-010","volume-1-ch02-physics-of-the-machine-1969-1972","peter-s-kastner","ibm-360-65","personal-recollection","1969","Learning tools available: reference card and legal pads","No Stack Overflow, no Google, no online docs; only the IBM System/360 Reference Card (placemat-sized fold-out) and yellow legal pads.","high","ingest-extraction","mc-oh","The Rocket Scientists of Arlington","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-011","volume-1-ch02-physics-of-the-machine-1969-1972","peter-s-kastner","core-dump","personal-recollection","1969","Learning hexadecimal core dump reading","Kastner learned to read hexadecimal core dumps to find the 'ghost in the machine'—debugging equivalent of reconstructing a car crash from skid marks.","high","ingest-extraction","mc-oh","Core Dumps and JCL sidebar","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-012","volume-1-ch02-physics-of-the-machine-1969-1972","peter-s-kastner","jcl","personal-recollection","1969","Learning JCL (Job Control Language)","Kastner learned JCL—the 'dark arts'—to control IBM OS job execution; single misplaced comma could fail a job and waste expensive machine time.","high","ingest-extraction","mc-oh","Core Dumps and JCL sidebar","",""
"volume-1-ch02-physics-of-the-machine-1969-1972-OBS-013","volume-1-ch02-physics-of-the-machine-1969-1972","","core-dump","topic-insight","1969","Core dump scale","Catastrophic program failure generated hundreds of pages of raw hexadecimal numbers representing entire core memory contents.","high","ingest-extraction","mc-ia","Core Dumps and JCL sidebar","",""
