char_offset,trigger_labels,sentence
810,dollar_stat,**Estimate $2-3 billion**
7443,dollar_stat,"**$100 to $5,000 on PC per developer**"
7489,dollar_stat,"**$50,000 on mainframe (shared)**"
7960,dollar_stat,"**High cost ($2000-$50,000)**"
8588,dollar_stat,"**Fairly high cost ($1000-$10,000) per seat**"
9142,dollar_stat,"**High cost ($10,000 - $100,000)**"
9779,dollar_stat,"**Low (free lead-in, $400-1000)**"
9815,dollar_stat,– **Moderate ($1000-$3000)**
9851,dollar_stat,"**High-end ($3000-$30,000)**"
14185,dollar_stat,"**Seer Technologies is frequently referenced-sold by IBM because of IBM’s lack of client-server development technology, and is relatively large ($100 million in revenues)**"
17360,dollar_stat,**Over $100 million in CASE revenues**
18032,dollar_stat,**Approaching $100 million in revenues**
18645,dollar_stat,**$6 million in revenues estimated in less than 2 quarters**
18713,dollar_stat,**Deep $30M venture-capital pockets**
