"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"dct-video-market-segmentation-2002-OBS-001","dct-video-market-segmentation-2002","aberdeen-group","","framework-factor","2002","Four video categories","Video capture; TV input; TV output; TV+graphics combined","high","industry-analysis","p.1","Segmentation framework"
"dct-video-market-segmentation-2002-OBS-002","dct-video-market-segmentation-2002","","ieee-1394","technology-assessment","2002","Capture technology","IEEE 1394 FireWire typical for video capture","high","industry-analysis","p.1",""
"dct-video-market-segmentation-2002-OBS-003","dct-video-market-segmentation-2002","avermedia","","market-data","2002","Hardware capture suppliers","AVerMedia, ADS Pyro, Dazzle, Matrox RT2500, Pinnacle DV500, ATI DV Wonder, Creative, Adaptec","high","document-review","p.1",""
"dct-video-market-segmentation-2002-OBS-004","dct-video-market-segmentation-2002","adobe-inc","adobe-premiere","market-data","2002","Editing software supplier list","Adobe Premiere/GoLive, Ulead Media Studio Pro/DV Suite, Pixelan, Boris FX, Sonic Foundry, SpruceUp","high","document-review","p.1",""
"dct-video-market-segmentation-2002-OBS-005","dct-video-market-segmentation-2002","","tv-tuner-card","framework-factor","2002","TV-input applications","PVR, time shifting, timesharing (multitasking while watching)","high","industry-analysis","p.2",""
"dct-video-market-segmentation-2002-OBS-006","dct-video-market-segmentation-2002","accessdtv","digital-tv","market-data","2002","Access DTV pricing","$400 digital/analog","high","market-tracking","p.2",""
"dct-video-market-segmentation-2002-OBS-007","dct-video-market-segmentation-2002","ati-technologies","ati-tv-wonder","market-data","2002","ATI TV Wonder pricing","$80","high","market-tracking","p.2",""
"dct-video-market-segmentation-2002-OBS-008","dct-video-market-segmentation-2002","nvidia","nvidia-personal-cinema","market-data","2002","nVidia Personal Cinema positioning","TV-input category","high","industry-analysis","p.2",""
"dct-video-market-segmentation-2002-OBS-009","dct-video-market-segmentation-2002","pinnacle-systems","","market-data","2002","Pinnacle TV products","Pro-ONE, Studio PCTV Pro","high","document-review","p.2",""
"dct-video-market-segmentation-2002-OBS-010","dct-video-market-segmentation-2002","hauppauge","","market-data","2002","Hauppauge products","Win/TV tuner; WinTV Theater for TV-output","high","document-review","p.2",""
"dct-video-market-segmentation-2002-OBS-011","dct-video-market-segmentation-2002","tivo","pvr","market-data","2002","TiVo reference hardware","Philips HDR312 with TiVo service — $300","high","market-tracking","p.2",""
"dct-video-market-segmentation-2002-OBS-012","dct-video-market-segmentation-2002","ati-technologies","ati-all-in-wonder","market-data","2002","All-in-Wonder pricing","$165","high","market-tracking","p.3",""
"dct-video-market-segmentation-2002-OBS-013","dct-video-market-segmentation-2002","ati-technologies","ati-radeon-8500","market-data","2002","Radeon 8500DV pricing","$500","high","market-tracking","p.3",""
"dct-video-market-segmentation-2002-OBS-014","dct-video-market-segmentation-2002","nvidia","nvidia-geforce-3","market-data","2002","GeForce 3 OEM pricing","ASUS, Eltra GeForce 3 + DTV out: $300-$400","high","market-tracking","p.3",""
"dct-video-market-segmentation-2002-OBS-015","dct-video-market-segmentation-2002","","agp-bus","technology-assessment","2002","Combined-card rationale","AGP bus enables high-performance 3D graphics plus TV buffering on one card","high","industry-analysis","p.3","Cost + real-estate savings"
"dct-video-market-segmentation-2002-OBS-016","dct-video-market-segmentation-2002","avermedia","","market-data","2002","AVerMedia contact","1161 Cadillac Court, Milpitas CA 95035; PR contact April Brooks (sspr)","high","document-review","p.1","Primary-source contact data"
