"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"1997-tme-10-security-management-8178c6-OBS-001","1997-tme-10-security-management-8178c6","tivoli-systems","tme-10-sm","strategy-classification","1997","Tivoli competitive position pre-TME 10 SM","Tivoli had competitive disadvantage because it could not deliver production-grade security services that competitors already provided","high","industry-analysis","Summary","Aberdeen direct quote: 'Until now, Tivoli has been at a competitive disadvantage'"
"1997-tme-10-security-management-8178c6-OBS-002","1997-tme-10-security-management-8178c6","tivoli-systems","tme-10-sm","strategy-classification","1997","Portfolio gap filled by TME 10 SM","TME 10 SM fills a glaring void in Tivoli's product portfolio by adding enterprise-class security management","high","expert-opinion","Summary","Aberdeen assessment of strategic significance"
"1997-tme-10-security-management-8178c6-OBS-003","1997-tme-10-security-management-8178c6","","tme-10-sm","technology-assessment","1997","Platform coverage breadth","Supports HP-UX/RISC; IBM OS/390-RACF and AIX/RISC; Windows NT Server/Intel; Novell NetWare; SunOS and Solaris/RISC — via TME v3.1+","high","competitive-profiling","Core Products","Five major platform families covered in initial release"
"1997-tme-10-security-management-8178c6-OBS-004","1997-tme-10-security-management-8178c6","","tme-10-sm","technology-assessment","1997","Security architecture approach","Role-based access control (RBAC) using system-independent security profile-records distributed over network; non-intrusive installation without taking servers down","high","industry-analysis","Core Products","Key architectural differentiator: business-process-oriented rather than technology-focused security"
"1997-tme-10-security-management-8178c6-OBS-005","1997-tme-10-security-management-8178c6","","tme-10-sm","framework-factor","1997","IS security pain point 1","Solutions too complicated and brittle (DCE/Kerberos/Sesame) requiring expensive integration","high","field-research","Demanding Simplification","Aberdeen field research: IS executives identify this as primary barrier"
"1997-tme-10-security-management-8178c6-OBS-006","1997-tme-10-security-management-8178c6","","tme-10-sm","framework-factor","1997","IS security pain point 2","Solutions non-interoperable placing additional burden on IS budget and deployment schedules","high","field-research","Demanding Simplification","Second major IS complaint: cross-platform interoperability failure"
"1997-tme-10-security-management-8178c6-OBS-007","1997-tme-10-security-management-8178c6","","tme-10-sm","framework-factor","1997","IS security pain point 3","Solutions technology-focused instead of organizational and business-process focused","high","field-research","Demanding Simplification","Third pain point: security tools not aligned to business policy"
"1997-tme-10-security-management-8178c6-OBS-008","1997-tme-10-security-management-8178c6","","tme-10-sm","framework-factor","1997","IS security pain point 4","Most solutions limited to protecting one operating environment (NetWare-only / Unix-only / NT-only / OS/390-only) requiring separate admin per platform","high","field-research","Positioning","Drives the core value proposition of TME 10 SM"
"1997-tme-10-security-management-8178c6-OBS-009","1997-tme-10-security-management-8178c6","","tme-10-sm","technology-assessment","1997","Authentication methods supported","Passwords (default); DCE and Kerberos for admin roles; time-of-day/day-of-week login restrictions; location-based login restrictions; password quality enforcement","high","competitive-profiling","Login","Authentication feature set documented"
"1997-tme-10-security-management-8178c6-OBS-010","1997-tme-10-security-management-8178c6","","tme-10-sm","technology-assessment","1997","RBAC architecture elements","Four-element RBAC: system-wide policies; group authorizations; role authorizations; IT resources — all managed centrally via security profile-records","high","industry-analysis","Role-based access controls","Foundation of TME 10 SM's business-process security model"
"1997-tme-10-security-management-8178c6-OBS-011","1997-tme-10-security-management-8178c6","","tme-10-sm","technology-assessment","1997","Architecture scalability mechanism","Security profile-records pushed to subscribing nodes enabling local operation with central management; TACF for Unix partitions root account privileges to prevent compromise","high","industry-analysis","Architecture","Key technical differentiator: push-based profile distribution"
"1997-tme-10-security-management-8178c6-OBS-012","1997-tme-10-security-management-8178c6","tivoli-systems","","strategy-classification","1997","Tivoli ISV partnership strategy","Partner Exchange (TPE) program with 12+ security ISV partners to integrate point solutions: Axent; Cybersafe; Checkpoint Software; Cygnus; Dynasoft; Haystack Labs; IBM; ICL; ISS; Mergent; Memco; Trusted Information Systems","high","industry-analysis","Integrating ISVs","Strategy to position TME 10 SM as integration framework rather than point solution"
"1997-tme-10-security-management-8178c6-OBS-013","1997-tme-10-security-management-8178c6","tivoli-systems","","strategy-classification","1997","Future platform expansion roadmap","Plans to add ACF2/TOP SECRET on mainframe; Oracle/Informix/Sybase databases; OS/2; DCE; web servers; smart card/public-key authentication; SSO; secure commerce","medium","industry-analysis","Future Directions","Roadmap items from Tivoli announced directions"
"1997-tme-10-security-management-8178c6-OBS-014","1997-tme-10-security-management-8178c6","tivoli-systems","tme-10-sm","viability-prediction","1997","TME 10 SM strategic longevity","TME 10 SM will serve as cornerstone for integrating security components; IS decision makers can depend on it for managing security through IT transitions","medium","expert-opinion","Summary","Aberdeen forward-looking endorsement"
"1997-tme-10-security-management-8178c6-OBS-015","1997-tme-10-security-management-8178c6","ibm","tme-10-sm","actual-outcome","2002","TME 10 SM product evolution","IBM evolved TME 10 into IBM Tivoli Identity Manager (2001) and later IBM Security Identity Manager; Tivoli brand phased out 2013; technology survived as IBM Security Verify","verified","industry-analysis","post-publication","IBM Security Verify (formerly IBM Security Identity Governance and Intelligence) still active 2024"
"1997-tme-10-security-management-8178c6-OBS-016","1997-tme-10-security-management-8178c6","tivoli-systems","","actual-outcome","1996","Tivoli Systems IBM acquisition","Tivoli Systems acquired by IBM for $743M in 1996 before this study was published; study written under IBM ownership","verified","industry-analysis","post-publication","IBM paid $47.50/share; Tivoli had ~$50M annual revenue at time of acquisition"
"1997-tme-10-security-management-8178c6-OBS-017","1997-tme-10-security-management-8178c6","","racf","technology-assessment","1997","RACF as gold standard for security","RACF described as proven mainframe security; enterprise desire is RACF-equivalent for distributed computing","high","expert-opinion","Preface","RACF used as benchmark reference throughout document"
"1997-tme-10-security-management-8178c6-OBS-018","1997-tme-10-security-management-8178c6","","netware","technology-assessment","1997","Novell NetWare security limitations","NetWare security limited to NetWare-only platforms; incompatible with other enterprise systems","high","field-research","Demanding Simplification","Platform-specific security cited as major IS frustration"
"1997-tme-10-security-management-8178c6-OBS-019","1997-tme-10-security-management-8178c6","","tme-10-sm","expert-opinion","1997","Aberdeen recommendation strength","Aberdeen recommends IS executives 'run — not walk — to evaluate the TME 10 Security Management solution'","high","expert-opinion","Summary","Strongest possible positive recommendation language"
"1997-tme-10-security-management-8178c6-OBS-020","1997-tme-10-security-management-8178c6","","kerberos","technology-assessment","1997","DCE/Kerberos deployment complexity","DCE and Kerberos described as complicated and brittle security protocols requiring expensive lengthy in-house integration","high","field-research","Demanding Simplification","IS practitioners characterize DCE/Kerberos as too complex for widespread deployment"
