"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"iq-software","IQ Software Corporation","company","business-intelligence","acquired","Information Advantage (1998) -> Sterling (1999) -> CA Technologies (2000)","1984-1998","aberdeen-1996-iq-software-www-reporting","Norcross GA; $21.8M revenue 1995; 1.5M users; acquired by Information Advantage for $65M in Sept 1998"
"aberdeen-group","Aberdeen Group","firm","market-research","acquired","Aberdeen (Harte-Hanks -> Spiceworks-Ziff Davis)","1988-2014","aberdeen-1996-iq-software-www-reporting","Boston MA; author of this profile"
"cognos","Cognos Corp.","company","business-intelligence","acquired","IBM (2008)","1969-2008","aberdeen-1996-iq-software-www-reporting","Competitor; Impromptu + Powerplay cited as IQ Software's chief competition"
"business-objects","Business Objects S.A.","company","business-intelligence","acquired","SAP (2008)","1990-2008","aberdeen-1996-iq-software-www-reporting","Competitor in frame-based reporters; acquired by SAP for $6.8B in 2008"
"oracle","Oracle Corporation","company","database-software","active","","1977-present","aberdeen-1996-iq-software-www-reporting","RDBMS partner in IQ/LiveWeb data warehouse initiative; listed in alliances"
"sybase","Sybase, Inc.","company","database-software","acquired","SAP (2010)","1984-2010","aberdeen-1996-iq-software-www-reporting","RDBMS partner; IQ/LiveWeb supports Sybase and Sybase IQ access"
"informix","Informix Corporation","company","database-software","acquired","IBM (2001)","1980-2001","aberdeen-1996-iq-software-www-reporting","RDBMS partner; INFORMIX-OnLine Dynamic Server supported by IQ/LiveWeb"
"arbor-software","Arbor Software Corporation","company","business-intelligence","acquired","Hyperion Software (1998) -> Oracle (2007)","1991-1998","aberdeen-1996-iq-software-www-reporting","IQ Software member of Arbor Software data warehouse initiative"
"red-brick-systems","Red Brick Systems","company","data-warehousing","acquired","Informix (1999)","1986-1999","aberdeen-1996-iq-software-www-reporting","Data warehouse partner; IQ/LiveWeb supports Red Brick Systems access"
"information-advantage","Information Advantage Inc.","company","business-intelligence","acquired","Sterling (1999) -> CA Technologies (2000)","1993-1999","aberdeen-1996-iq-software-www-reporting","Acquired IQ Software for $65M in September 1998; Eden Prairie MN"
"forte-software","Forte Software","company","development-tools","acquired","Sun Microsystems (1999)","1991-1999","aberdeen-1996-iq-software-www-reporting","Competitor in Internet development tools for professional developers"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","aberdeen-1996-iq-software-www-reporting","SQL Server and Access listed as IQ/LiveWeb supported desktop databases"
