"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"ed067c-OBS-001","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","oracle-erp","strategy-classification","2003","Oracle Application Strategy","Oracle shifting to process-flow orientation where 'flows' define solutions rather than functional modules","high","ingest-extraction","industry-analysis","abstract","Dr. Katherine Jones analysis of Oracle strategy at March 2003"
"ed067c-OBS-002","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","workflow-engine","expert-opinion","2003","Customer Process-Centric Thinking","Customers think in process terms — how something works within their particular business","high","ingest-extraction","expert-opinion","abstract","Core premise: customer demand driving process-oriented software design"
"ed067c-OBS-003","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","workflow-engine","expert-opinion","2003","Workflow Touchpoints Beyond Organization","Supporting workflow must make business processes fluid including touchpoints outside the organization itself","high","ingest-extraction","expert-opinion","abstract","Extended enterprise / B2B integration dimension of process orientation"
"ed067c-OBS-004","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","oracle-erp","framework-factor","2003","Generic Business Process Support","Keys to good business practices include business-generic processes","high","ingest-extraction","industry-analysis","abstract","First of two framework factors for good enterprise software"
"ed067c-OBS-005","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","oracle-erp","framework-factor","2003","Vertical-Specific Process Support","Keys to good business practices include processes specific to vertical markets (government, education, healthcare)","high","ingest-extraction","industry-analysis","abstract","Second framework factor; vertical differentiation strategy for Oracle"
"ed067c-OBS-006","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","oracle-erp","viability-prediction","2003","Oracle Process-Centric Future","Oracle's adoption of process-flow architecture will be critical to competitiveness against SAP","verified","outcome-linkage","expert-opinion","abstract","Implied competitive threat if Oracle does not embrace process orientation"
"ed067c-OBS-007","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","oracle-erp","actual-outcome","2011","Oracle Process Architecture - Actual Outcome","Oracle Fusion Applications launched 2011 with process-flow architecture as core design; prediction proved correct","verified","web-source","document-review","post-publication","Oracle spent ~$2B developing Fusion Apps on process-centric principles"
"ed067c-OBS-008","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","sap-ag","sap-erp","strategy-classification","2003","SAP Process-Oriented Architecture","SAP referenced as benchmark for process-oriented enterprise software approach","medium","ingest-extraction","competitive-profiling","abstract","SAP R/3 process model was the established reference architecture"
"ed067c-OBS-009","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","sap-ag","sap-erp","actual-outcome","2015","SAP S/4HANA Process Architecture","SAP S/4HANA adopted process-flow and simplified data model as core architecture; prediction directionally correct","verified","web-source","document-review","post-publication","SAP S/4HANA launched 2015 as process-centric reimagining of R/3"
"ed067c-OBS-010","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","workflow-engine","technology-assessment","2003","CRM Process Integration","CRM identified as key domain requiring process-flow orientation alongside ERP","high","ingest-extraction","industry-analysis","keywords","Keywords include CRM, ERP, workflow, flows, Oracle, SAP"
"ed067c-OBS-011","2003-business-process-orientation-changes-ap-le-flows-d-ed067c","oracle-corporation","oracle-erp","expert-opinion","2003","Enterprise Resource Planning Process Orientation","ERP must transition from module-centric to flow-centric design to meet customer needs","medium","ingest-extraction","expert-opinion","abstract","Core thesis of Perspective"
