"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","IT-research-consulting","acquired","HCL Technologies (2010)","1988-2010","1999-crm-professional-services-rpt-96bf13","Boston-based market research firm; publisher of this report"
"andersen-consulting","Andersen Consulting","firm","IT-consulting","renamed","Accenture (2001)","1989-2001","1999-crm-professional-services-rpt-96bf13","Renamed Accenture on January 1 2001 following arbitration with Arthur Andersen; now NYSE: ACN"
"answerthink","AnswerThink Consulting Group Inc.","firm","management-consulting","acquired","Hackett Group","1997-2012","1999-crm-professional-services-rpt-96bf13","Management consulting firm; later became part of The Hackett Group"
"breakaway-solutions","Breakaway Solutions Inc.","company","CRM-services","dissolved","","1997-2001","1999-crm-professional-services-rpt-96bf13","Pure-play CRM services firm; dissolved during dot-com bust"
"cambridge-technology-partners","Cambridge Technology Partners","firm","IT-consulting","acquired","Novell (2001)","1988-2001","1999-crm-professional-services-rpt-96bf13","Acquired by Novell for $266M in 2001; Eric Schmidt stepped down as Novell CEO post-merger"
"cap-gemini","Cap Gemini Group","firm","IT-consulting","active","Capgemini SE","1967-present","1999-crm-professional-services-rpt-96bf13","Cap Gemini acquired Ernst & Young Consulting in 2000; became Capgemini SE; revenues €22.5B in 2025"
"eds-centrobe","EDS Centrobe Inc.","company","IT-outsourcing","acquired","HP (2008)","1962-2008","1999-crm-professional-services-rpt-96bf13","CRM outsourcing subsidiary of EDS; EDS acquired by HP in 2008 for $13.9B"
"deloitte-consulting","Deloitte Consulting","firm","management-consulting","active","","1845-present","1999-crm-professional-services-rpt-96bf13","CRM practice; still active as Deloitte Consulting as of 2026"
"eloyalty","eLoyalty","company","CRM-consulting","acquired","TeleCommunication Systems (2012)","1999-2012","1999-crm-professional-services-rpt-96bf13","Pure-play CRM analytics firm; acquired by TeleCommunication Systems in 2012"
"ernst-young","Ernst & Young LLP","firm","professional-services","active","","1903-present","1999-crm-professional-services-rpt-96bf13","Consulting arm acquired by Cap Gemini in 2000; audit/advisory firm continues as EY"
"keane-inc","Keane Inc.","company","IT-services","acquired","Caritor -> CGI Group (2010)","1965-2010","1999-crm-professional-services-rpt-96bf13","Acquired by Caritor which was then acquired by CGI Group in 2010"
"kpmg-consulting","KPMG Consulting","firm","management-consulting","spun-off","BearingPoint (2001) -> dissolved (2009)","1987-2009","1999-crm-professional-services-rpt-96bf13","Spun off as independent firm BearingPoint in 2001; BearingPoint filed for bankruptcy 2009"
"logica","Logica plc","company","IT-services","acquired","CGI Group (2012)","1969-2012","1999-crm-professional-services-rpt-96bf13","UK-based IT services firm; acquired by CGI Group in 2012 for £1.7B"
"mastech","Mastech Corporation","company","IT-staffing","active","iGate -> Mastech Digital","1988-present","1999-crm-professional-services-rpt-96bf13","IT staffing and services; merged with iGate; now Mastech Digital (NASDAQ: MHH)"
"pricewaterhousecoopers","PricewaterhouseCoopers MCS","firm","management-consulting","spun-off","IBM Global Services (2002)","1998-2002","1999-crm-professional-services-rpt-96bf13","PwC consulting arm sold to IBM for $3.5B in 2002, became IBM Business Consulting Services"
