"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"bestbuy-com","BestBuy.com","company","PC-retail","active","operates as Best Buy's e-commerce channel","2000-present","dct-weekly-2003-01-12","Retailer covered in weekly commentary 2003-01-12"
"compusa","CompUSA","company","PC-retail","dissolved","Stores closed 2008; brand sold to Systemax/TigerDirect","1984-2012","dct-weekly-2003-01-12","Retailer covered in weekly commentary 2003-01-12"
"gateway-online","Gateway.com","company","PC-retail","dissolved","www.gateway.com decommissioned after Acer acquisition; brand discontinued 2011","1995-2007","dct-weekly-2003-01-12","Retailer covered in weekly commentary 2003-01-12"
"dell","Dell Computer","company","PC-manufacturing","active","Dell Technologies (went private 2013; re-listed 2018 via VMware tracking stock)","1984-present","dct-weekly-2003-01-12","PC manufacturer discussed in weekly commentary 2003-01-12"
"hewlett-packard","Hewlett-Packard","company","PC-manufacturing","split","HP Inc. (consumer/PC) and Hewlett Packard Enterprise (enterprise), split November 2015","1939-present","dct-weekly-2003-01-12","PC manufacturer discussed in weekly commentary 2003-01-12"
"compaq","Compaq Computer","company","PC-manufacturing","acquired","HP (May 2002 merger); brand retired 2013","1982-2013","dct-weekly-2003-01-12","PC manufacturer discussed in weekly commentary 2003-01-12"
"gateway-inc","Gateway, Inc.","company","PC-manufacturing","acquired","Acer Inc. (acquired October 2007, $710M); Gateway brand discontinued ~2011","1985-2007","dct-weekly-2003-01-12","PC manufacturer discussed in weekly commentary 2003-01-12"
"sony","Sony","company","PC-manufacturing","active","Sony Group Corporation (renamed 2021)","1946-present","dct-weekly-2003-01-12","PC manufacturer discussed in weekly commentary 2003-01-12"
"emachines","eMachines","company","PC-manufacturing","acquired","Gateway (2004); then Acer (2007); brand discontinued 2013","1998-2013","dct-weekly-2003-01-12","PC manufacturer discussed in weekly commentary 2003-01-12"
"vpr-matrix","VPR Matrix","company","PC-manufacturing","dissolved","Best Buy discontinued the VPR Matrix private-label brand ~2005","2001-2005","dct-weekly-2003-01-12","PC manufacturer discussed in weekly commentary 2003-01-12"
"amd","Advanced Micro Devices","company","semiconductor","active","","1969-present","dct-weekly-2003-01-12","Industry entity referenced in weekly commentary 2003-01-12"
"best-buy","Best Buy (stores)","company","PC-retail","active","","1966-present","dct-weekly-2003-01-12","Section heading in weekly commentary 2003-01-12"
