"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"dct-dceit-practice-v6-2002-OBS-001","dct-dceit-practice-v6-2002","aberdeen-group","dceit-framework","framework-definition","2002","DCEIT practice scope","Two converging worlds (CE and PC) meet in a broad spectrum of possibilities; six player categories: broadband, point-product CE, game, PC/peripheral, display, software, new entrants; semiconductors as arms merchants","high","industry-analysis","slides 5-7, 22-23","Anchor framework of the entire deck"
"dct-dceit-practice-v6-2002-OBS-002","dct-dceit-practice-v6-2002","aberdeen-group","dceit-framework","framework-definition","2002","Convergence targets and principles","Target is mass consumer market (not geek early adopters); no singular solution; information interface need not be PC; single system management/content catalog accessible remotely; multiple content/computing centers in home; consumer choice over redundancy; industry standards with acceptable proprietary integration; plug-and-play imperative; upgradeability imperative","high","expert-opinion","slides 15-19","Eight fundamental principles governing convergence"
"dct-dceit-practice-v6-2002-OBS-003","dct-dceit-practice-v6-2002","aberdeen-group","","framework-definition","2002","Research methodology","Identify end-user requirements; work with established and emergent vendors; leverage other Aberdeen practices for enabling-tech elements; hypothesize products and approaches; test and refine","high","industry-analysis","slides 12-13","Aberdeen's DCEIT research approach"
"dct-dceit-practice-v6-2002-OBS-004","dct-dceit-practice-v6-2002","motorola-broadband","home-gateway","product-introduction","2002","Motorola DCP501 Home Theater System","DVD/CD/MP3 player + cable receiver + audio/video receiver/amp + surround sound + digital theater sound","high","competitive-profiling","slide 36","MSO-targeted convergence STB"
"dct-dceit-practice-v6-2002-OBS-005","dct-dceit-practice-v6-2002","motorola-broadband","pvr","product-introduction","2002","Motorola BMC 8000 and BMC 9000","BMC 8000: network+firewall, PVR, MP3 jukebox. BMC 9000 adds multiple-TV support, dual-tuner PVR, optional HD, optional DVD","high","competitive-profiling","slide 37","Cable-operator convergence gateway + PVR"
"dct-dceit-practice-v6-2002-OBS-006","dct-dceit-practice-v6-2002","scientific-atlanta","home-gateway","product-introduction","2002","Scientific Atlanta WebStar and Explorer 8000","WebStar: Firewall+Router+Networking+802.11b+HPNA 2.0+USB 1.0+Ethernet. Explorer 8000: pause live TV, dual-record, picture-in-picture, PVR, 50 hours storage","high","competitive-profiling","slides 34-35","STB evolution to gateway+PVR"
"dct-dceit-practice-v6-2002-OBS-007","dct-dceit-practice-v6-2002","pace-micro","ultra-wideband","product-introduction","2002","Pace Micro Home Media Center with Philips","Hard drive; two 802.11b video streams; one wireline video stream; thin-client MPEG-2 decoder at each TV","high","competitive-profiling","slide 38","Early multi-stream home video distribution architecture"
"dct-dceit-practice-v6-2002-OBS-008","dct-dceit-practice-v6-2002","thomson-multimedia","home-gateway","product-introduction","2002","Thomson ADSL Gateway features","10/100 Ethernet + USB + HomePNA 2.0 + unlimited video channels with surround + VOD + EPG + Internet/email + interactive services","high","competitive-profiling","slide 26","European telco-oriented gateway"
"dct-dceit-practice-v6-2002-OBS-009","dct-dceit-practice-v6-2002","time-warner-cable","home-pna-2","market-data","2002","Time Warner Cable home networking trial pricing","$50 install + $9.95/mo (cable modem + gateway + firewall + HomePNA for 3 devices); 802.11b option $30 additional + $14.95/mo","high","market-research","slide 41","First retail home-networking bundle from major MSO"
"dct-dceit-practice-v6-2002-OBS-010","dct-dceit-practice-v6-2002","sbc-communications","home-gateway","market-data","2002","SBC/SNET home networking pricing (2Wire gateway)","HomePNA $249.95; 802.11b $449.95; DSL fee separate; customer self-install","high","market-research","slide 45","ILEC-driven gateway sell-through"
