"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"ibm","IBM Corporation","company","computing","active","","1911-present","aberdeen-1996-ibm-transformation-business-machines-information-service","Primary subject; 1995 revenue $71.9B; Net earnings $4.2B; 225,000 employees"
"ibm-global-services","IBM Global Services","firm","IT-services","active","Kyndryl (infrastructure spin-off 2021) + IBM Consulting","1993-present","aberdeen-1996-ibm-transformation-business-machines-information-service","1995 revenues $20.1B; $29B backlog; 100,000 employees; 30% annual growth in professional fees"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Aberdeen Strategy & Research","1988-present","aberdeen-1996-ibm-transformation-business-machines-information-service","Author of this strategy profile"
"lotus-development","Lotus Development Corporation","company","software","acquired","IBM (acquired 1995)","1982-1995","aberdeen-1996-ibm-transformation-business-machines-information-service","IBM acquired for Notes groupware; IBM sold more Notes licenses in first 6 months than Lotus had in previous 6 years"
"tivoli-systems","Tivoli Systems","company","software","acquired","IBM (acquired 1996)","1989-1996","aberdeen-1996-ibm-transformation-business-machines-information-service","Acquired for network management in open computing environments"
"microsoft","Microsoft Corporation","company","software","active","","1975-present","aberdeen-1996-ibm-transformation-business-machines-information-service","IBM's chief competitor per IBM executives; BackOffice and NT cited"
"eds","EDS (Electronic Data Systems)","company","IT-services","acquired","HP (acquired 2008); DXC Technology (2017)","1962-2008","aberdeen-1996-ibm-transformation-business-machines-information-service","Primary services competitor to IBM Global Services"
"andersen-consulting","Andersen Consulting","company","IT-consulting","rebranded","Accenture (rebranded 2001)","1989-2001","aberdeen-1996-ibm-transformation-business-machines-information-service","Key competitor to IBM Global Services for enterprise systems integration"
"cap-gemini","Cap Gemini","company","IT-consulting","active","Capgemini","1967-present","aberdeen-1996-ibm-transformation-business-machines-information-service","European competitor to IBM Global Services"
"digital-equipment-corporation","Digital Equipment Corporation","company","computing-hardware","acquired","Compaq (1998) -> HP (2002)","1957-1998","aberdeen-1996-ibm-transformation-business-machines-information-service","Traditional IBM competitor listed among hardware rivals"
"oracle","Oracle Corporation","company","database-software","active","","1977-present","aberdeen-1996-ibm-transformation-business-machines-information-service","ISV co-opetitor; IBM DB2 lagging Oracle in RDBMS"
"sap","SAP SE","company","enterprise-software","active","","1972-present","aberdeen-1996-ibm-transformation-business-machines-information-service","ISV co-opetitor mentioned alongside Oracle and Microsoft"
"mercedes-benz","Mercedes-Benz AG","company","automotive","active","Mercedes-Benz Group AG","1926-present","aberdeen-1996-ibm-transformation-business-machines-information-service","IBM Global Services example: networking all processors in next-gen Mercedes car; connected car as LAN node"
