entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
aberdeen-group,Aberdeen Group,firm,Market Research / IT Consulting,acquired,Aberdeen/Harte-Hanks,1988-present,linuxcare-profile-1999,Author organization; Boston-based market research and consulting firm.
peter-s-kastner,Peter S. Kastner,person,Market Research / IT Consulting,active,,1989-present,linuxcare-profile-1999,Group VP Aberdeen Group; author of Linuxcare profile.
linuxcare,Linuxcare Inc.,company,Enterprise Linux Services,acquired,Levanta (2004),1998-2004,linuxcare-profile-1999,"Founded 1998 San Francisco CA; first enterprise Linux services company; 650 Townsend St; acquired by Levanta 2004 then faded; pioneered the enterprise Linux support model."
kleiner-perkins,Kleiner Perkins Caulfield and Byers,firm,Venture Capital,active,,1972-present,linuxcare-profile-1999,Lead investor in Linuxcare; cited as its first Linux-related investment. Early bet on Linux enterprise market proved visionary.
dell,Dell Technologies,company,PC / Enterprise IT Hardware,active,,1984-present,linuxcare-profile-1999,"Key Linuxcare OEM partner; contracted for back-end Linux support on OptiPlex Dimension Precision workstations and PowerEdge Servers."
ibm,IBM,company,Enterprise IT Hardware/Services,active,,1911-present,linuxcare-profile-1999,Key Linuxcare OEM partner; contracted for Linux support on RS/6000 line.
sun-microsystems,Sun Microsystems,company,Enterprise IT Hardware/Software,acquired,Oracle (2010),1982-2010,linuxcare-profile-1999,Key Linuxcare OEM partner; contracted for support of Star Office suite (acquired from Star Division).
turbolinux,TurboLinux,company,Linux Distribution,acquired,SciSparc (various),1992-2009,linuxcare-profile-1999,Linuxcare services and support partner for North American customers; one of the major Linux distributions in 1999.
red-hat,Red Hat Inc.,company,Enterprise Linux / Open Source,acquired,IBM (2019 for $34B),1993-2019,linuxcare-profile-1999,"Not named in document but the direct long-term successor to Linuxcare's enterprise Linux services model; IBM acquired Red Hat for $34B in 2019 validating the market thesis."
fernand-sarrat,Fernand Sarrat,person,Enterprise IT Leadership,active,,1990s-2000s,linuxcare-profile-1999,"Linuxcare President/CEO; former Cylink CEO; 23-year IBM general manager background."
arthur-tyde,Arthur F. Tyde III,person,Enterprise Technology,active,,1990s-2000s,linuxcare-profile-1999,Linuxcare EVP and co-founder.
david-sifry,David L. Sifry,person,Open Source / Technology,active,,1990s-present,linuxcare-profile-1999,"Linuxcare CTO and co-founder; contributed to GNU Emacs and Linux kernel; later founded Technorati."
andrew-tridgell,Andrew Tridgell,person,Open Source Software,active,,1990s-present,linuxcare-profile-1999,"Linux guru at Linuxcare; original author of Samba (SMB/CIFS implementation for Linux/Unix); one of the most influential open source contributors."
pat-lambs,Pat Lambs,person,Enterprise IT Services,active,,1990s-2000s,linuxcare-profile-1999,Linuxcare VP Service Solutions; 18 years at DEC (Digital Equipment Corporation).
thomas-phillips,Thomas W. Phillips,person,Enterprise IT Sales,active,,1990s-2000s,linuxcare-profile-1999,Linuxcare VP Worldwide Sales.
digital-equipment,Digital Equipment Corporation (DEC),company,Enterprise Computing,acquired,Compaq (1998),1957-1998,linuxcare-profile-1999,Former employer of Pat Lambs (VP Service Solutions); major Unix/VAX workstation and server vendor acquired by Compaq.
compaq,Compaq Computer Corporation,company,Enterprise IT Hardware,acquired,HP (2002),1982-2002,linuxcare-profile-1999,Certified DeskPro desktops with Linuxcare; early enterprise Linux hardware certification partner.
star-division,Star Division,company,Office Software,acquired,Sun Microsystems (1999),1985-1999,linuxcare-profile-1999,"Developer of StarOffice acquired by Sun in 1999; Linuxcare provided Linux support for Star Office; StarOffice later became OpenOffice.org."
