"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","IT-research","acquired","Harte-Hanks (Sep 2006) -> Halyard Capital (Apr 2015) -> Spiceworks Ziff Davis (Dec 2020)","1988-2010s","aberdeen-eii-2003-ea3f1a","Publisher; Wayne Kernochan is author | Source: Aberdeen Group acquired by Harte-Hanks in September 2006, then sold to Halyard Capital in April 2015, then acquired by Spiceworks Ziff Davis in December 2020. https://www.mrweb.com/drno/news5946.htm; https://www.pehub.com/spiceworks-ziff-davis-buys-aberdeen/; https://en.wikipedia.org/wiki/Aberdeen_Strategy_and_Research"
"wayne-kernochan","Wayne Kernochan","person","IT-research","unknown","","1990s-2000s","aberdeen-eii-2003-ea3f1a","Managing VP Platform Infrastructure, Aberdeen Group; author of EII report; 25 years computer experience; 12 as programmer; formerly at Prime Computer and Yankee Group; Harvard BA, Cornell MS CS, MIT Sloan MBA | Source: Former Aberdeen Group analyst; current status not publicly verifiable"
"metamatrix","MetaMatrix Inc.","company","enterprise-software","acquired","Red Hat / JBoss (April 2007)","late 1990s-2007","aberdeen-eii-2003-ea3f1a","Featured EII supplier; 680 Fifth Ave 10th Floor New York NY; OEM agreement with SAP for NetWeaver; Aberdeen calls it Cadillac of EII solutions; $10M revenue estimate; acquired by Red Hat in 2007 | Source: Red Hat acquired MetaMatrix Inc. in April 2007, integrating it into the JBoss division for data virtualization. https://www.redhat.com/en/blog/red-hat-completes-metamatrix-transaction; https://www.infoq.com/news/2007/04/redhat-metamatrix/"
"ibm","IBM","company","enterprise-hardware","active","","1911-present","aberdeen-eii-2003-ea3f1a","Largest EII revenue estimate: $60M; IBM DB2 Information Integrator from Xperanto EII project; quickest large vendor to respond to EII opportunity; already established channels | Source: IBM (International Business Machines) remains a major publicly traded technology company (NYSE: IBM)."
"bea-systems","BEA Systems","company","enterprise-software","acquired","Oracle Corporation (January 2008)","1995-2008","aberdeen-eii-2003-ea3f1a","Second largest EII revenue: $25M; contracting with Enosys for Liquid Data for WebLogic initiative; quickest large vendor alongside IBM to respond to EII | Source: Oracle acquired BEA Systems for approximately $8.5 billion, completed January 2008. https://www.cbc.ca/news/science/oracle-completes-8-5b-takeover-of-bea-systems-1.724924"
"business-objects","Business Objects","company","enterprise-software","acquired","SAP AG (January 2008)","1990-2007","aberdeen-eii-2003-ea3f1a","EII revenue estimate: $15M; BI-focused EII; established channels; one of three established suppliers alongside IBM and BEA | Source: SAP acquired Business Objects for approximately $6.8 billion in January 2008. https://www.computerworld.com/article/1585214/update-sap-to-buy-business-objects-in-6-8b-deal.html"
"attunity","Attunity","company","enterprise-software","acquired","Qlik Technologies (May 2019)","1990s-present","aberdeen-eii-2003-ea3f1a","EII solution provider; revenue estimate $4-7M; listed in Aberdeen EII segmentation as EII solution category | Source: Qlik acquired Attunity for $560 million, completed May 2019. https://www.qlik.com/us/news/company/press-room/press-releases/qlik-to-acquire-attunity; https://www.sec.gov/Archives/edgar/data/893821/000117891319001325/exhibit_99-1.htm"
"xaware","XAware","company","enterprise-software","acquired","BEA Systems (2005/2006)","2000s","aberdeen-eii-2003-ea3f1a","EII solution provider; revenue estimate $4-7M; small newcomer EII supplier | Source: XAware was acquired by BEA Systems and integrated into AquaLogic Data Services Platform (ALDSP) EII offering. https://tdwi.org/articles/2006/09/27/bea-revamps-relaunches-eii-tool.aspx"
"venetica","Venetica","company","enterprise-software","acquired","IBM (August 2004)","late 1990s-2000s","aberdeen-eii-2003-ea3f1a","EII solution provider; revenue estimate $7-10M; small newcomer EII supplier | Source: IBM acquired Venetica in August 2004 to strengthen content-integration offerings. https://www.ecommercetimes.com/story/ibm-acquires-venetica-to-strengthen-content-integration-offerings-36140.html"
"nimble-technologies","Nimble Technologies","company","enterprise-software","acquired","Actuate Software (July 2003)","1998-2000s","aberdeen-eii-2003-ea3f1a","EII solution provider; revenue estimate $4-7M; small newcomer EII supplier | Source: Actuate Software acquired Nimble Technology in July 2003; Nimble's EII technology integrated into Actuate's report server. https://www.crn.com/news/applications-os/18824829/actuate-acquires-nimble-technology; https://www.nytimes.com/2003/07/30/business/technology-briefing-software-actuate-buys-nimble.html"
