"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-001","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","sgi-origin","technology-assessment","1997","SGI Origin server scalability","Highly scalable with high-bandwidth bus; VLM and complex-data support; strong TPC-C benchmark results","high","ingest-extraction","industry-analysis","abstract","Aberdeen identifies scalability as core strength"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-002","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","","strategy-classification","1997","SGI strategic transition","SGI beginning all-out push to focus on enterprise-scale business customers; improving IS support/service; customizing for vertical markets (financial/telecom)","high","ingest-extraction","industry-analysis","abstract","Key strategic challenge identified by Aberdeen"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-003","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","","framework-factor","1997","Enterprise adoption barrier: workstation culture","SGI must overcome its technical-workstation culture to succeed in enterprise commercial markets","high","ingest-extraction","industry-analysis","abstract","Aberdeen identifies this as primary barrier"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-004","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","sgi-origin","framework-factor","1997","Enterprise adoption barrier: IS support and service","Improvements in IS support and service required for enterprise acceptance","high","ingest-extraction","industry-analysis","abstract",""
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-005","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","sgi-origin","framework-factor","1997","Enterprise strength: vertical market positioning","SGI particularly strong in financial and telecommunications verticals; customization for these markets underway","medium","ingest-extraction","industry-analysis","abstract",""
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-006","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","sgi-origin","viability-prediction","1997","SGI enterprise server viability prediction","SGI servers could become attractive alternative for high-end data warehouses, web servers, and ORDBMS applications if cultural and support barriers are overcome","medium","ingest-extraction","industry-analysis","abstract","Aberdeen conditional prediction"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-007","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","","actual-outcome","2006","SGI enterprise market outcome","SGI filed Chapter 11 bankruptcy in May 2006; failed to overcome workstation-culture and enterprise support barriers; commodity Linux/Intel clusters displaced high-end Unix workstations","verified","web-source","industry-analysis","","Prediction proved pessimistic was correct: SGI could not make the transition; Aberdeen correctly identified the barriers"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-008","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","sgi-origin","expert-opinion","1997","Aberdeen recommendation on SGI server evaluation","IS buyers should keep a closer eye on SGI servers for performance-critical buying decisions; monitor but wait for enterprise readiness","medium","ingest-extraction","industry-analysis","abstract","Cautious recommendation — watch but not yet fully endorse"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-009","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","tpc-c-benchmark","benchmark-result","1997","SGI Origin TPC-C benchmark result","Recent barnburner TPC-C benchmark result cited as proof of commercial-scale performance","high","ingest-extraction","benchmarking","abstract","Specific numbers not provided in abstract; described as 'barnburner'"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-010","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","","sgi-origin","technology-assessment","1997","IS scalability constraint identification","Scalability is the key constraint for data-intensive competitive-advantage solutions; server hardware becoming the bottleneck","high","ingest-extraction","industry-analysis","abstract","Aberdeen positions scalability as primary driver for new server evaluation"
"silicon-graphics-origin-servers-a-high-duct-with-p-447a86-OBS-011","silicon-graphics-origin-servers-a-high-duct-with-p-447a86","silicon-graphics","","market-data","1997","SGI revenue shift","SGI recognizing increasing shift from technical/workstation revenues to commercial revenues; beginning enterprise push","medium","ingest-extraction","industry-analysis","abstract",""
