entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
aberdeen-group,Aberdeen Group,firm,Market Research / IT Consulting,acquired,Aberdeen/Harte-Hanks,1988-present,intern~1-45df51,Author organization; Boston-based market research and consulting firm.
borland-inprise,Borland International Inc. (Inprise Inc.),company,Developer Tools / Middleware,dissolved,unknown,1983-2009,intern~1-45df51,Scotts Valley CA; renaming to Inprise effective June 1998; acquired Visigenic (ORB vendor); JBuilder Java IDE; pivoting to middleware/IOC market.
visigenic,Visigenic Software,company,Developer Tools / Middleware,acquired,Borland/Inprise (1997),1993-1997,intern~1-45df51,"Widely-adopted Object Request Broker; adopted by Netscape, Sun, IBM, Oracle; acquired by Borland to bolster CORBA/IOC positioning."
hewlett-packard,Hewlett-Packard (HP),company,Enterprise IT Hardware/Services,split,HP Inc./HPE (2015),1939-present,intern~1-45df51,Cupertino CA; Domain FoundationTools and FoundationWare for Internet Infrastructure; 'honest broker' between Microsoft and Sun/IBM camps; LDAP engine via Netscape partnership.
ibm,IBM,company,Enterprise IT Hardware/Software/Services,active,,1911-present,intern~1-45df51,"Somers NY; committed large resources to Java; Network Computing (NC) Framework; VisualAge development environment; CICS, Notes, MQ Series integration; San Francisco initiative for ISV business components; Taligent multi-lingual tech licensed to JavaSoft."
lotus-development,Lotus Development (IBM/Lotus),company,Enterprise Software,acquired,IBM (1995),1982-2012,intern~1-45df51,"IBM subsidiary; e-Suite incorporates Java, JavaBeans, and InfoBus; notes technology shared between IBM and JavaSoft."
microsoft,Microsoft,company,Enterprise Software / OS,active,,1975-present,intern~1-45df51,Redmond WA; Windows DNA (Distributed iNternet Architecture) strategy; COM+/DCOM; NT-centric approach; Visual Studio; Active Server Pages (ASP); MTS; MSMQ; large developer installed base.
netscape-communications,Netscape Communications Corporation,company,Internet Software,acquired,AOL (1999),1994-1999,intern~1-45df51,"Mountain View CA; SuiteSpot product set (Web, Mail, Directory, Certificate servers); NetCenter portal; Netscape ONE development environment; IOC Business Services strategy."
novell,Novell Inc.,company,Network Software,acquired,Attachmate (2011),1983-2011,intern~1-45df51,Orem UT; IntranetWare and NetWare NOS; NDS directory; CEO Eric Schmidt; adopting EJB as infrastructure; threatened by NT 5.0 erosion.
oracle,Oracle Corporation,company,Database / Enterprise Software,active,,1977-present,intern~1-45df51,Redwood Shores CA; Network Computing Architecture (NCA); Oracle8; Designer/2000 and Developer/2000; Java key to NCA; Internet infrastructure products seen as too proprietary by e-commerce providers.
sun-microsystems,Sun Microsystems,company,Enterprise IT Hardware,acquired,Oracle (2010),1982-2010,intern~1-45df51,"Mountain View CA; primary Java sponsor; JavaSoft subsidiary; SunSoft Solaris with IIOP CORBA; WorkShop development environment; Certificate, Mail and Directory servers as components (not integrated)."
javasoft,JavaSoft,company,Developer Tools / Java,acquired,Sun (subsidiary),1996-2010,intern~1-45df51,Sun subsidiary for Java licensing and distribution; incorporating IBM Taligent multi-lingual technologies; InfoBus collaboration.
sybase,Sybase Inc.,company,Database / Middleware,acquired,SAP (2010),1984-2010,intern~1-45df51,Emeryville CA; Adaptive Server; Jaguar CTS and PowerDynamo application/transaction servers; Enterprise CONNECT middleware; Powersoft tools; 'write once deploy many' positioning.
powersoft,Powersoft Corporation,company,Developer Tools,acquired,Sybase (1994),1974-1994,intern~1-45df51,Acquired by Sybase; Java-enabled tools integrated into Sybase Computing Platform.
eric-schmidt,Eric Schmidt,person,Technology Leadership,active,,1955-present,intern~1-45df51,CEO of Novell at time of study; credited with planning Novell's Java/Internet strategy.
amazon-com,Amazon.com,company,E-Commerce,active,,1994-present,intern~1-45df51,Cited as spectacular success story for pushing Internet Architecture technology to gain competitive advantage.
time-inc-pathfinder,Time Inc. / Pathfinder,company,Media / Internet,dissolved,unknown,1993-1999,intern~1-45df51,Cited as failure example of pushing Internet Architecture technology; Pathfinder website shut down 1999.
