"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"maxtor-engagement-letter-nov2003-OBS-001","maxtor-engagement-letter-nov2003","maxtor-corporation","","engagement-scope","2003","Project title","Pools of Storage Executive Evangelism Program","high","ingest-extraction","document-review","Page 1","Engagement letter reference name: 'RE: Pools of Storage Executive Evangelism Program Revised 11.13'",""
"maxtor-engagement-letter-nov2003-OBS-002","maxtor-engagement-letter-nov2003","maxtor-corporation","serial-ata","viability-prediction","2003","SAS/SATA mixed-backplane as enterprise standard","SAS/SATA backplane enabling plug-play-populate of any mix of SAS and SATA drives proposed as the efficient system for Pools of Storage in detached storage and arrays","partially-verified","outcome-linkage","expert-opinion","Page 1","PRESCIENCE HIGH: This prediction proved exactly correct — mixed SAS/SATA backplanes became the universal enterprise server standard from 2004 onward",""
"maxtor-engagement-letter-nov2003-OBS-003","maxtor-engagement-letter-nov2003","maxtor-corporation","","actual-outcome","2006","SAS/SATA mixed-backplane adoption outcome","SAS/SATA mixed backplanes became the universal enterprise server standard from 2004; every enterprise server ships with mixed backplanes today","verified","web-source","web-verification","N/A","Actual outcome confirming OBS-002 prediction",""
"maxtor-engagement-letter-nov2003-OBS-004","maxtor-engagement-letter-nov2003","maxtor-corporation","","strategy-classification","2003","Market strategy approach","Lexicon creation — establishing four named Pools of Storage (Online Midline Nearline Offline) as industry standard vocabulary","high","ingest-extraction","document-review","Pages 1-2","Strategic intent: 'The program will identify and validate ways to introduce and reinforce a lexicon for the four Pools of Storage'",""
"maxtor-engagement-letter-nov2003-OBS-005","maxtor-engagement-letter-nov2003","aberdeen-group","","strategy-classification","2003","Four-phase engagement structure","Phase 1: Strategy Workshop; Phase 2: Toolkit Development; Phase 3: Message Testing (100-250 surveys); Phase 4: Evangelization (US + Europe press tour)","high","ingest-extraction","document-review","Pages 4-5","Complete four-phase market creation program",""
"maxtor-engagement-letter-nov2003-OBS-006","maxtor-engagement-letter-nov2003","aberdeen-group","","financial-metric","2003","Total project cost","$114000","high","ingest-extraction","document-review","Page 5","Total project cost $114K; payment due within 60 days of receipt of Aberdeen invoice",""
"maxtor-engagement-letter-nov2003-OBS-007","maxtor-engagement-letter-nov2003","aberdeen-group","","financial-metric","2003","Estimated travel expenses","$6000 (phases 1-3) + $3500 (phase 4)","high","ingest-extraction","document-review","Page 5","Travel expenses listed separately from project fee",""
"maxtor-engagement-letter-nov2003-OBS-008","maxtor-engagement-letter-nov2003","aberdeen-group","","project-timeline","2003","Project start date","November 17 2003","high","ingest-extraction","document-review","Page 5","~10 person-weeks total project duration",""
"maxtor-engagement-letter-nov2003-OBS-009","maxtor-engagement-letter-nov2003","aberdeen-group","","project-timeline","2003","Strategy Workshop date and location","December 9 2003; Shrewsbury MA","high","ingest-extraction","document-review","Page 5","Scheduled to coincide with available executive schedules and Webinar",""
"maxtor-engagement-letter-nov2003-OBS-010","maxtor-engagement-letter-nov2003","aberdeen-group","","project-timeline","2003","Phase 2 tool delivery deadline","January 9 2004","high","ingest-extraction","document-review","Page 5","Delivery of final tool versions in Phase 2 by January 9 2004",""
"maxtor-engagement-letter-nov2003-OBS-011","maxtor-engagement-letter-nov2003","maxtor-corporation","","strategy-classification","2003","Market success criteria — industry lexicon adoption","All players in Serial Storage ecosystem must adopt Maxtor's Pools lexicon","high","ingest-extraction","document-review","Page 2","Ambitious market creation goal: ecosystem-wide lexicon adoption",""
"maxtor-engagement-letter-nov2003-OBS-012","maxtor-engagement-letter-nov2003","maxtor-corporation","","strategy-classification","2003","Market success criteria — press endorsements","Endorsement required from industry publications in US and Europe and from at least four Fortune 500 CIOs","high","ingest-extraction","document-review","Page 2","Specific success metric: 4+ Fortune 500 CIO endorsements",""
"maxtor-engagement-letter-nov2003-OBS-013","maxtor-engagement-letter-nov2003","maxtor-corporation","","strategy-classification","2003","Market positioning risk to avoid","Must prevent misperception that Pools of Storage means hierarchical storage management (HSM)","high","ingest-extraction","document-review","Page 2","Strategic communication challenge: differentiate from legacy HSM concept",""
