"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"gupta-technologies","Gupta Technologies","company","development-tools","acquired","Centura Software (renamed 1995) -> Warp Technology Holdings (2005) -> Unify Corporation (2006) -> OpenText (2015)","1984-2015","aberdeen-1996-moving-effectively-next-gen-client-server","Founded 1984 by Umang Gupta; NASDAQ: GPTA; creator of SQLWindows and Centura. Fully acquired chain confirmed by Wikipedia/Gupta Technologies."
"powersoft-sybase","Sybase/Powersoft (PowerBuilder)","company","development-tools","acquired","SAP SE (acquired Sybase 2010 for $5.8B)","1984-2010","aberdeen-1996-moving-effectively-next-gen-client-server","Powersoft (PowerBuilder creator) acquired by Sybase Nov 1994 for ~$940M; Sybase later acquired by SAP 2010."
"microsoft","Microsoft Corporation","company","development-tools","active","","1975-present","aberdeen-1996-moving-effectively-next-gen-client-server","Creator of Visual Basic; TI-Microsoft repository initiative referenced."
"aberdeen-group","Aberdeen Group, Inc.","firm","IT-research","acquired","Aberdeen (Harte-Hanks / independent)","1988-present","aberdeen-1996-moving-effectively-next-gen-client-server",""
"texas-instruments-ti","Texas Instruments (Information Engineering Facility)","company","enterprise-software","active","TI IEF sold to Sterling Software (1997) -> CA Technologies","1951-present","aberdeen-1996-moving-effectively-next-gen-client-server","TI-Microsoft repository initiative referenced; IEF upper-CASE tool."
"rational-software","Rational Software (Rational Rose)","company","software-tools","acquired","IBM (acquired 2003 for $2.1B)","1981-2003","aberdeen-1996-moving-effectively-next-gen-client-server","Creator of Rational Rose UML tool; Centura offers links to Rational Rose."
"borland","Borland International (Delphi)","company","development-tools","active","Embarcadero Technologies (2008) -> Idera (2016)","1983-present","aberdeen-1996-moving-effectively-next-gen-client-server","Delphi cited as first-generation CADE competitor."
"oracle-corporation","Oracle Corporation","company","database-software","active","","1977-present","aberdeen-1996-moving-effectively-next-gen-client-server","High-end next-gen CADE from RDBMS supplier category."
"forte-software","Forte Software","company","development-tools","acquired","Sun Microsystems (acquired 1999)","1991-1999","aberdeen-1996-moving-effectively-next-gen-client-server","Ultra-high-end CADE; acquired by Sun Microsystems."
"symantec","Symantec (Cafe/Visual Cafe)","company","development-tools","active","NortonLifeLock (2019) -> Gen Digital (2022)","1982-present","aberdeen-1996-moving-effectively-next-gen-client-server","Cited as next-gen CADE scaling first-generation CADEs; later pivoted to security software."
