"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"processor-editorial-article-much-in-stor-660f27-OBS-001","processor-editorial-article-much-in-stor-660f27","peter-s-kastner","quickbooks","expert-opinion","2004","Microsoft SMB volume-sales playbook","A product like QuickBooks is more attractive to Microsoft than the spaces that SAP, PeopleSoft, or Oracle compete in because you can sell tens of millions of units around the world. Competing against, say, SAP over a few thousand implementations would break Microsoft's business model.","high","ingest-extraction","expert-opinion","p1","Kastner as chief research officer Aberdeen",""
"processor-editorial-article-much-in-stor-660f27-OBS-002","processor-editorial-article-much-in-stor-660f27","peter-s-kastner","linux-os","expert-opinion","2004","Microsoft will not open-source Windows","You'd be asking Microsoft to lose a lot of money in helping a competitor operating system. No sane business person would make this decision. There is no proven mass market for Linux.","high","ingest-extraction","expert-opinion","p1","Kastner contra Chad Robinson",""
"processor-editorial-article-much-in-stor-660f27-OBS-003","processor-editorial-article-much-in-stor-660f27","microsoft","windows-os","market-positioning","2004","Windows SMB desktop share","Windows OSes now reside on more than 90% of SMB desktops.","high","ingest-extraction","industry-analysis","p1","Article-cited share figure",""
"processor-editorial-article-much-in-stor-660f27-OBS-004","processor-editorial-article-much-in-stor-660f27","microsoft","windows-longhorn","product-launch","2004","Longhorn slip to 2006","Longhorn (next desktop OS) is not expected to ship before 2006.","high","ingest-extraction","primary-document","p1","Actually shipped as Vista January 2007",""
"processor-editorial-article-much-in-stor-660f27-OBS-005","processor-editorial-article-much-in-stor-660f27","microsoft","microsoft-sql-yukon","product-launch","2004","Yukon (SQL Server 2005) planned","Microsoft SQL Server codename Yukon planned with enhanced scalability, manageability, availability, business intelligence, deeper dev-tool integration.","verified","ingest-extraction","primary-document","p1","Shipped November 2005 as SQL Server 2005",""
"processor-editorial-article-much-in-stor-660f27-OBS-006","processor-editorial-article-much-in-stor-660f27","microsoft","microsoft-virtual-server","product-launch","2004","Virtual Server midyear launch","Microsoft plans to launch Virtual Server by midyear 2004 allowing multiple OSes on one server.","verified","ingest-extraction","primary-document","p1","Virtual Server 2005 shipped",""
"processor-editorial-article-much-in-stor-660f27-OBS-007","processor-editorial-article-much-in-stor-660f27","mika-krammer","windows-os","expert-opinion","2004","Microsoft usability scores","When measured in terms of usability, affordability, and support, Microsoft solutions score lower in surveys than competitive offerings from Intuit and salesforce.com.","medium","ingest-extraction","analyst-commentary","p1","Krammer Gartner VP",""
"processor-editorial-article-much-in-stor-660f27-OBS-008","processor-editorial-article-much-in-stor-660f27","chad-robinson","linux-os","viability-prediction","2004","Linux desktop threat","A lot of companies are starting to experiment not only with Linux on the server, but also Linux on the desktop. Microsoft's decision is going to hurt them in the eyes of customers.","verified","outcome-linkage","expert-opinion","p1","Robinson contra Kastner — Linux desktop share never materialized",""
"processor-editorial-article-much-in-stor-660f27-OBS-009","processor-editorial-article-much-in-stor-660f27","","windows-os","actual-outcome","2024","Windows did not open-source","Microsoft has never open-sourced Windows (though parts like WSL, PowerShell, .NET, VS Code are open source). Kastner prediction validated.","verified","web-source","industry-consensus","backfill","Backfill",""
"processor-editorial-article-much-in-stor-660f27-OBS-010","processor-editorial-article-much-in-stor-660f27","","linux-os","actual-outcome","2024","Linux desktop share stays marginal","Linux desktop share has remained below 5% for 20 years; Robinson's threat assessment did not materialize — Kastner's skepticism was correct.","verified","web-source","industry-consensus","backfill","Backfill",""
