"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"OBS-S4-001","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","TECH-S4-005","benchmark-result","1997","Pro-E Bench97: AlphaStation 500au vs SGI best Unix workstation","Under 60 min vs 80+ min (Digital wins)","high","benchmark","p.5","Entry-level Digital 500au ran Pro-E Bench97 in under 60 minutes; best Unix-based SGI workstation took over 80 minutes."
"OBS-S4-002","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","TECH-S4-005","market-data","1997","AlphaStation 600au starting price","$10,000","high","vendor-claim","p.5","Personal Workstation 600au (600 MHz Alpha) started at $10,000."
"OBS-S4-003","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","TECH-S4-001","market-data","1997","AlphaServer 8400 max CPUs","12 CPUs","high","vendor-claim","p.4","AlphaServer 8400 supported up to 12 CPUs; 8200 up to 6."
"OBS-S4-004","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","TECH-S4-003","technology-assessment","1997","TruCluster interconnect type","Crossbar switch Memory Channel","high","analyst-assessment","p.4","TruCluster used Memory Channel crossbar switch for dynamic connections of multiple SMP nodes."
"OBS-S4-005","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","TECH-S4-004","technology-assessment","1997","Digital Unix VLM support","Very Large Memory (VLM) support beyond 2GB","high","vendor-claim","p.4","Digital Unix 64-bit with VLM capabilities enabled use of more than 2GB main memory."
"OBS-S4-006","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","TECH-S4-001","technology-assessment","1997","AlphaServer I/O bandwidth","132 and 264 MB/sec PCI I/O","high","vendor-claim","p.4","AlphaServers incorporated fast 132 and 264 MB/sec industry-standard PCI I/O."
"OBS-S4-007","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-002","TECH-S4-012","technology-assessment","1997","SGI NT transition status","Lack of NT transition commitment differentiates from Digital","high","analyst-assessment","p.5","Aberdeen noted Digital's NT support differentiated it from SGI; cited Pro-E benchmark as evidence."
"OBS-S4-008","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-003","TECH-S4-011","technology-assessment","1997","IBM RS/6000 SP assessment","32-bit MPP; overly expensive for typical HPTC; slow-to-market in 64-bit Unix","medium","analyst-assessment","p.5","Aberdeen characterized IBM's 32-bit MPP RS/6000 SP as expensive and slow; favorable in chess (Deep Blue) but not typical production HPTC."
"OBS-S4-009","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-004","","technology-assessment","1997","HP/Convex HPTC investment level","Not investing in Convex HPTC; too small a portion of HP","high","analyst-assessment","p.5","Aberdeen noted HP not making major investments in Convex HPTC technology; effectively sidelined."
"OBS-S4-010","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-005","","technology-assessment","1997","Sun HPTC commitment","Uncertain long-term commitment to HPTC","medium","analyst-assessment","p.5","Sun recently entered HPTC via Floating Point Systems (Cray) and Thinking Machines acquisitions; Aberdeen questioned commitment."
"OBS-S4-011","1997-digital-ramps-up-for-the-leadership-fb5854","","","framework-factor","1997","HPTC customer evaluation criteria count","5 primary criteria","high","analyst-assessment","p.2","Aberdeen identified 5 HPTC evaluation criteria: ISV application availability, scaleable product line, cost-effectiveness, worldwide support, NT-Unix transition path."
"OBS-S4-012","1997-digital-ramps-up-for-the-leadership-fb5854","","","framework-factor","1997","NT-Unix co-existence requirement","HPTC customers demand both Unix and NT options","high","analyst-assessment","p.2","Customer criteria explicitly included NT-Unix dual platform support capability."
"OBS-S4-013","1997-digital-ramps-up-for-the-leadership-fb5854","","","framework-factor","1997","HPTC application segments targeted by Digital","EDA, MCAD, geoscience, energy, financial services, biosciences, entertainment","high","analyst-assessment","p.2","Digital targeted 7 HPTC application segments including both traditional and emerging markets."
"OBS-S4-014","1997-digital-ramps-up-for-the-leadership-fb5854","","","framework-factor","1997","Demand driver for high-performance Unix compute servers","NT workstation expansion driving need for Unix compute backend","high","analyst-assessment","p.2","NT personal workstation adoption expanding technical market and driving complementary Unix compute server demand."
"OBS-S4-015","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","","strategy-classification","1997","Digital HPTC organizational structure","Standalone HPTC group + Visual Computing Workstation group","high","analyst-assessment","p.6","Digital created standalone HPTC group and complementary Visual Computing Workstation group; separate P&L units."
"OBS-S4-016","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","","strategy-classification","1997","Digital HPTC competitive positioning","Four quadrant coverage: Unix/NT x workstation/server","high","analyst-assessment","p.3","Digital mapped products across 4 High Performance Quadrants (Unix server, NT server, Unix workstation, NT workstation)."
"OBS-S4-017","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","","strategy-classification","1997","Digital approach to NT-Unix coexistence","Dual OS support on single Alpha hardware","high","analyst-assessment","p.5","Digital's strategy allowed Unix and NT on single Alpha hardware; dynamic reconfiguration in field."
"OBS-S4-018","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","","expert-opinion","1997","Aberdeen's overall HPTC competitive ranking","Digital #1; SGI #2; IBM #3; HP/Convex and Sun secondary","high","analyst-assessment","p.5","Aberdeen ranked 3 key HPTC suppliers: Digital, SGI, IBM. HP/Convex and Sun described as 'secondary.'"
"OBS-S4-019","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","","viability-prediction","1997","Digital HPTC market share gains","Well-positioned for additional market share gains over next several years","high","analyst-assessment","p.6","Aberdeen predicted Digital would gain HPTC market share with its HPTC group, AlphaServer suite, and compute-server business focus."
"OBS-S4-020","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-003","TECH-S4-011","viability-prediction","1997","IBM RS/6000 SP trajectory","Looking overly expensive and slow for typical production HPTC","high","analyst-assessment","p.5","Aberdeen predicted IBM's MPP architecture would be disadvantaged versus Digital's SMP/cluster approach."
"OBS-S4-021","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-002","","viability-prediction","1997","SGI NT transition gap as sustained Digital advantage","SGI's lack of NT commitment gives Digital sustained competitive edge","high","analyst-assessment","p.5","Aberdeen predicted Digital's dual Unix/NT capability would sustain competitive differentiation against SGI."
"OBS-S4-022","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","TECH-S4-002","viability-prediction","1997","Higher-clockrate Alpha processor advantage","Increasing Alpha clockrates will win more industry-standard benchmarks","high","analyst-assessment","p.5","Aberdeen predicted Digital would win increasing numbers of HPTC benchmarks as higher-clockrate Alphas arrived."
"OBS-S4-023","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","","actual-outcome","1998","DEC acquired by Compaq","Compaq acquired DEC for $9.6B June 1998","confirmed","public-record","N/A","Largest tech acquisition at the time; HPTC group dissolved. Alpha continued under Compaq/HP until 2007."
"OBS-S4-024","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-001","TECH-S4-002","actual-outcome","2001","Alpha processor discontinued","Compaq announced Alpha phase-out; IP sold to Intel 2001","confirmed","public-record","N/A","Compaq phased out Alpha in favor of Intel Itanium. Last Alpha system sold by HP in April 2007."
"OBS-S4-025","1997-digital-ramps-up-for-the-leadership-fb5854","ENT-S4-002","","actual-outcome","2009","SGI bankruptcy","SGI filed Chapter 11 in 2006; Chapter 7 in 2009","confirmed","public-record","N/A","SGI went bankrupt 2006/2009. Aberdeen's criticism of SGI's NT transition proved accurate but the company's decline was broader. Assets acquired by Rackable Systems (renamed SGI); later by HPE 2016."
"OBS-S4-026","1997-digital-ramps-up-for-the-leadership-fb5854","","","actual-outcome","2000","Linux commodity clusters disrupted HPTC","Linux-based x86 clusters replaced proprietary RISC HPTC","confirmed","public-record","N/A","By early 2000s, Linux/x86 Beowulf clusters dramatically disrupted proprietary Unix HPTC market; Aberdeen did not foresee this disruption in 1997."
