tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
windows-dos,Windows 3.1 / MS-DOS,operating-system,Microsoft,1981-present,dominant,legacy,nti-4-nextgen-os-timing-1993-a45049,Will dominate PC software landscape in 1993-1994; single-tasking limitation prevents robust client-server
windows-for-workgroups,Windows for Workgroups,operating-system,Microsoft,1992-1995,emerging,discontinued,nti-4-nextgen-os-timing-1993-a45049,Integrates LAN and desktop; evidence of desktop/LAN integration trend; gaining share in LAN environments
windows-nt,Windows NT,operating-system,Microsoft,1993-2000,pre-release,legacy,nti-4-nextgen-os-timing-1993-a45049,Multi-tasking multi-threaded; delivery slipped badly; Fortune 1000 interest accelerating; alliances with DEC Sequent
macintosh,Apple Macintosh,platform,Apple Computer,1984-present,established,evolved,nti-4-nextgen-os-timing-1993-a45049,Will continue gaining; trails Microsoft 10-to-1 in units; 10M units shipped early 1993
os2,IBM OS/2 2.0,operating-system,IBM,1987-2001,established,discontinued,nti-4-nextgen-os-timing-1993-a45049,Shipped 1 million units; robust and stable; difficulty attracting ISV support; well in loyal IBM accounts
unix,Unix (Various Derivatives),operating-system,Multiple,1969-present,dominant-midrange,mature,nti-4-nextgen-os-timing-1993-a45049,Clear choice for mid-range combined with RDBMS; dominates technical workstation; clear leader 18-24 months
osf1,OSF/1,operating-system,Open Software Foundation,1992-1995,emerging,discontinued,nti-4-nextgen-os-timing-1993-a45049,Only DEC recommitted to production release; future in jeopardy with Windows NT interest
sun-solaris,Sun Solaris (USL V.4 MP),operating-system,Sun Microsystems,1992-present,emerging,legacy,nti-4-nextgen-os-timing-1993-a45049,Multi-tasking multi-threaded; SunSoft porting to Intel 1993; SPARC installed base transitioning
powerpc,IBM/Apple PowerPC,hardware,"IBM, Apple, Motorola",1992-2006,pre-release,discontinued,nti-4-nextgen-os-timing-1993-a45049,Macintosh interface plus AIX Unix derivative; first units expected 1993 despite slippage
hp-ux,HP/UX 9.0,operating-system,Hewlett-Packard,1992-present,established,mature,nti-4-nextgen-os-timing-1993-a45049,Multi-threaded Unix; supports high-end multiprocessing on HP Emerald PA systems
ibm-aix,IBM AIX,operating-system,IBM,1986-present,established,mature,nti-4-nextgen-os-timing-1993-a45049,RS/6000 uniprocessor only in 1993; PowerPC derivative planned
ibm-mvs,IBM MVS,operating-system,IBM,1974-present,dominant-mainframe,evolved,nti-4-nextgen-os-timing-1993-a45049,Lion's share of mainframe market; business as usual in 1993; renamed z/OS
microsoft-cairo,Microsoft Cairo,operating-system,Microsoft,1994-1996,pre-announced,discontinued,nti-4-nextgen-os-timing-1993-a45049,Code name for NT successors; features incorporated into Windows NT 4.0 and 2000
nextstep,NextStep,operating-system,Next Computer,1989-1999,niche,discontinued,nti-4-nextgen-os-timing-1993-a45049,Well-respected object-oriented environment; porting to Intel; Jobs transitioning company to ISV
novell-destiny,Novell/USL Destiny,operating-system,"Novell, Unix Systems Laboratories",1993,pre-release,discontinued,nti-4-nextgen-os-timing-1993-a45049,Integrated LAN/desktop OS; key 1993 consideration for Novell NetWare strategy
rdbms,Relational Database Management Systems,application,"Multiple (Oracle, Sybase, Informix)",1979-present,mainstream,mature,nti-4-nextgen-os-timing-1993-a45049,"Two-phase commit, triggers, policies; emerging as distributed systems software infrastructure"
corba,CORBA / Object-Oriented Technology,standard,Object Management Group,1991-present,emerging,legacy,nti-4-nextgen-os-timing-1993-a45049,Mainstream impact not until turn of century per Aberdeen prediction
sequent-dynix,Sequent Dynix/PTX,operating-system,Sequent Computer Systems,1987-1999,established,discontinued,nti-4-nextgen-os-timing-1993-a45049,Pioneer of open systems multiprocessing; partnered with USL on advanced technology
sco-open-desktop,SCO Open Desktop (ODT),operating-system,Santa Cruz Operation,1992-1998,established,discontinued,nti-4-nextgen-os-timing-1993-a45049,Unix derivative for commercial workstation; primarily used by VAR channels; small business strength
