"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","market-research","acquired","Harte-Hanks (2002-2017) -> Spiceworks Ziff Davis","1988-2019","dct-personal-it-practice-launch-2001",""
"microsoft","Microsoft","company","software","active","","1975-present","dct-personal-it-practice-launch-2001",""
"intel","Intel Corporation","company","semiconductor","active","","1968-present","dct-personal-it-practice-launch-2001",""
"amd","Advanced Micro Devices","company","semiconductor","active","","1969-present","dct-personal-it-practice-launch-2001",""
"compaq","Compaq","company","PC-manufacturing","acquired","hewlett-packard","1982-2002","dct-personal-it-practice-launch-2001",""
"dell","Dell","company","PC-manufacturing","active","","1984-present","dct-personal-it-practice-launch-2001",""
"hewlett-packard","Hewlett-Packard","company","PC-manufacturing","active","","1939-present","dct-personal-it-practice-launch-2001",""
"ibm","IBM","company","IT-conglomerate","active","","1911-present","dct-personal-it-practice-launch-2001",""
"sony","Sony","company","consumer-electronics","active","","1946-present","dct-personal-it-practice-launch-2001",""
"toshiba","Toshiba","company","consumer-electronics","active","","1875-present","dct-personal-it-practice-launch-2001",""
"apple-computer","Apple Computer","company","consumer-electronics","active","","1976-present","dct-personal-it-practice-launch-2001",""
"gateway-inc","Gateway, Inc.","company","PC-manufacturing","acquired","Acer Inc. (acquired October 2007, $710M); Gateway brand discontinued ~2011","1985-2007","dct-personal-it-practice-launch-2001",""
"micron","Micron Technology","company","semiconductor","active","","1978-present","dct-personal-it-practice-launch-2001",""
"aol","America Online","company","internet-services","unknown","","1985-present","dct-personal-it-practice-launch-2001","[REVIEW]"
"epson","Seiko Epson","company","consumer-electronics","active","","1942-present","dct-personal-it-practice-launch-2001",""
"lexmark","Lexmark","company","consumer-electronics","active","","1991-present","dct-personal-it-practice-launch-2001",""
"canon","Canon","company","consumer-electronics","active","","1937-present","dct-personal-it-practice-launch-2001",""
"nvidia","NVIDIA Corporation","company","semiconductor","active","","1993-present","dct-personal-it-practice-launch-2001",""
"cirrus-logic","Cirrus Logic","company","semiconductor","active","","1984-present","dct-personal-it-practice-launch-2001",""
"ethan-cohen","Ethan Cohen","person","market-research","active","","","dct-personal-it-practice-launch-2001","Aberdeen Home Networking analyst"
"dana-gardner","Dana Gardner","person","market-research","active","","","dct-personal-it-practice-launch-2001","Aberdeen Messaging analyst"
"tom-manter","Tom Manter","person","market-research","active","","","dct-personal-it-practice-launch-2001","Aberdeen Server Platforms — Intel"
"michael-hoch","Michael Hoch","person","market-research","active","","","dct-personal-it-practice-launch-2001","Aberdeen Digital Content Delivery"
"isaac-ro","Isaac Ro","person","market-research","active","","","dct-personal-it-practice-launch-2001","Aberdeen Internet Personal Appliances"
