"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-001","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","firmographic","2003","Company ownership and type","Privately held; consumer manufacturing (watches)","high","ingest-extraction","face-to-face-interview","p.1","5,000 employees worldwide.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-002","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","firmographic","2003","Total IT budget","$10M-$24M annual","high","ingest-extraction","face-to-face-interview","p.1","Mid-market IT budget range.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-003","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","organizational-characteristic","2003","CIO reporting line","Reports to CFO","high","ingest-extraction","face-to-face-interview","p.1","IT viewed as cost center, not strategic asset. Contrast with State Street (CEO). Drives cost-reduction focus.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-004","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","storage-capacity","2003","Total storage — local (Middlebury)","6 TB","high","ingest-extraction","face-to-face-interview","p.1","Primary data center.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-005","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","storage-capacity","2003","Total storage — worldwide","10 TB","high","ingest-extraction","face-to-face-interview","p.1","All Timex locations combined.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-006","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","storage-utilization","2003","Storage utilization percentage","80% in use","high","ingest-extraction","face-to-face-interview","p.1","At stated maximum threshold; no slack capacity for repurposing. Consistent with survey finding of 65% having >60% utilization.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-007","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","storage-growth-projection","2003","Expected storage growth (12 months) — Windows","10% increase","high","ingest-extraction","face-to-face-interview","p.1","Moderate growth; both Windows and Unix expected to grow 10%.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-008","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","storage-growth-projection","2003","Expected storage growth (12 months) — Unix","10% increase","high","ingest-extraction","face-to-face-interview","p.1","Same as Windows.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-009","timex-ramp-interview-for-maxtor-project-8c1b71","timex","fibre-channel","technology-mix","2003","FC percentage of storage","80% FC","high","ingest-extraction","face-to-face-interview","p.1","Dominant storage interface; both DAS and SAN.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-010","timex-ramp-interview-for-maxtor-project-8c1b71","timex","scsi-disk","technology-mix","2003","SCSI percentage of storage","20% SCSI","high","ingest-extraction","face-to-face-interview","p.1","Residual legacy SCSI.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-011","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","data-classification","2003","Percentage of inactive/seldom-written data (self-assessment)","80% inactive","high","ingest-extraction","face-to-face-interview","p.1","Extraordinarily high; examples: data warehouse, watch images, OLTP (written-once), CAD/CAM post-release. Despite this, willingness to tier is very low.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-012","timex-ramp-interview-for-maxtor-project-8c1b71","timex","ata-disk","willingness-to-adopt","2003","Willingness: higher capacity + 50% cost reduction + slight availability reduction (7-point scale)","2 out of 7","high","ingest-extraction","face-to-face-interview","p.1","Very low willingness despite high inactive data percentage. Administrative complexity is the barrier — not cost or availability.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-013","timex-ramp-interview-for-maxtor-project-8c1b71","timex","ata-disk","willingness-to-adopt","2003","Willingness: same capacity + 30% cost reduction + slight availability reduction (7-point scale)","2 out of 7","high","ingest-extraction","face-to-face-interview","p.1","Equally low. Both options rejected. Consistent barrier: doesn't want another storage tier to manage.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-014","timex-ramp-interview-for-maxtor-project-8c1b71","timex","ata-disk","purchase-intent","2003","Likelihood to purchase low-cost disk in next 12 months (7-point scale)","2 out of 7 — unlikely","high","ingest-extraction","face-to-face-interview","p.1","HP and EMC discussed; not purchased; not planning to. Management complexity is primary barrier.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-015","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","market-insight","2003","Primary barrier to low-cost disk adoption","Administrative management overhead exceeds disk cost savings","high","ingest-extraction","face-to-face-interview","p.2","KEY FINDING: 'With tight budgets and decreasing headcount, he does not dare to introduce another level of disks to manage.' This is the central paradox of the early midline market.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-016","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","market-insight","2003","Relative cost: disk hardware vs. administration","Disk costs are small compared to administrative costs","high","ingest-extraction","face-to-face-interview","p.2","Visionary insight for 2003; predicted that storage software/automation market would be larger than hardware savings. Drove ILM, HSM, and eventually cloud storage adoption.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-017","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","market-insight","2003","Required conditions to sell tiered storage to 'the Bobs'","Transparency and significant cost savings","high","ingest-extraction","face-to-face-interview","p.2","Kastner conclusion: 'Transparency and significant cost savings would be the requirement to sell the Bobs of the world.' Defines the automation + savings requirement for the segment.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-018","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","viability-prediction","2003","Storage tiering adoption by SMB/cost-constrained shops without automation tools","Low without automation; management complexity will block adoption","high","ingest-extraction","face-to-face-interview","p.2","[DEFERRED actual outcome] Proved correct: tiering adoption in SMB was minimal until policy-based automation tools (StorageTek, Symantec/Veritas, NetApp ONTAP tiering) arrived ~2008-2012.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-019","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","actual-outcome","2012","Actual outcome: HCI/cloud as solution to tiering complexity","[UNVERIFIED]","high","ingest-extraction","expert-opinion","p.2","[UNVERIFIED] Hyperconverged infrastructure (Nutanix 2011, VMware vSAN 2014) and cloud object storage (S3) solved the 'Bob problem' by eliminating tier management entirely.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-020","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","headcount-pressure","2003","IT staffing trend","Headcount being reduced; must reduce complexity","high","ingest-extraction","face-to-face-interview","p.2","Direct driver of anti-tiering posture. Lean-IT pressure that would accelerate through 2008 financial crisis.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-021","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","budget-constraint","2003","IT budget trend","Flat or declining; trying to reduce","high","ingest-extraction","face-to-face-interview","p.2","3-year equipment lease cycle; operating budget; no TCO/ROI analysis performed.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-022","timex-ramp-interview-for-maxtor-project-8c1b71","timex","oracle-financials","application-profile","2003","Oracle Financials production database size","1 TB","high","ingest-extraction","face-to-face-interview","p.2","On Unix; HP FC60 direct-attached; dedicated array; no performance bottleneck; no formal SLA.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-023","timex-ramp-interview-for-maxtor-project-8c1b71","timex","oracle-financials","storage-architecture","2003","Oracle Financials storage architecture","HP FC60 DAS; array dedicated to application; FC interface","high","ingest-extraction","face-to-face-interview","p.2","No shared SAN for primary OLTP; siloed architecture increases management burden.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-024","timex-ramp-interview-for-maxtor-project-8c1b71","timex","microsoft-exchange","application-profile","2003","Microsoft Exchange email store size","~1 TB","high","ingest-extraction","face-to-face-interview","p.2","Windows on SAN; Compaq SAN unit; email retained indefinitely — 'problems of cleaning it up are more costly than new disk.'",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-025","timex-ramp-interview-for-maxtor-project-8c1b71","timex","microsoft-exchange","market-insight","2003","Email retention rationale","Cannot afford staff time to clean up; new disk cheaper than cleanup labor","high","ingest-extraction","face-to-face-interview","p.2","Directly corroborates disk-cost < admin-cost insight. Also foreshadows compliance-driven email archiving boom (2004-2010).",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-026","timex-ramp-interview-for-maxtor-project-8c1b71","timex","active-project","application-profile","2003","Active Project application (CAD/CAM+imaging+web)","Windows SAN; backup issues present","high","ingest-extraction","face-to-face-interview","p.2","CAD/CAM images of watches; shared with vendors; backup problems explicitly noted — potential low-cost disk candidate.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-027","timex-ramp-interview-for-maxtor-project-8c1b71","timex","tape-library-robotic","backup-restore","2003","Backup strategy","HP robotic tapes; daily incremental + weekly full; 4 generations (1 offsite)","high","ingest-extraction","face-to-face-interview","p.2","Standard tiered tape backup.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-028","timex-ramp-interview-for-maxtor-project-8c1b71","timex","tape-library-robotic","pain-point","2003","Backup/restore pain points","Cannot guarantee all critical data can be restored; backup is operational burden; restore time too long","high","ingest-extraction","face-to-face-interview","p.2","Contrast with State Street: Timex has more severe backup problems yet still rejects tiered disk due to management overhead.",""
"timex-ramp-interview-for-maxtor-project-8c1b71-OBS-029","timex-ramp-interview-for-maxtor-project-8c1b71","timex","","storage-staffing","2003","Dedicated storage staff","Zero dedicated storage staff; responsibility spread across system admins","high","ingest-extraction","face-to-face-interview","p.2","No full-time storage people. Explains why tier management is particularly costly for Timex.",""
