"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"88de03-OBS-001","2002-wireless-lan-security-an-adolescent-market-88de03","","wlan","technology-assessment","2002","WLAN security market maturity","Market described as adolescent — growing but lacking mature security solutions","high","ingest-extraction","industry-analysis","abstract","Market characterization captures both growth and vulnerability simultaneously",""
"88de03-OBS-002","2002-wireless-lan-security-an-adolescent-market-88de03","","wlan","market-data","2002","WLAN adoption trajectory","As wireless LAN access increases so too do the problems of IT administrators","high","ingest-extraction","industry-analysis","abstract","Security challenge grows proportionally with WLAN adoption",""
"88de03-OBS-003","2002-wireless-lan-security-an-adolescent-market-88de03","","vpn","framework-factor","2002","WLAN security capability 1: VPN","VPN is one of three essential capabilities for WLAN security","high","ingest-extraction","expert-opinion","abstract","First element of three-capability framework recommended by Hemmendinger",""
"88de03-OBS-004","2002-wireless-lan-security-an-adolescent-market-88de03","","personal-firewall","framework-factor","2002","WLAN security capability 2: Personal firewall","Personal firewall is one of three essential capabilities for WLAN security","high","ingest-extraction","expert-opinion","abstract","Second element of three-capability framework",""
"88de03-OBS-005","2002-wireless-lan-security-an-adolescent-market-88de03","","wap-handoff","framework-factor","2002","WLAN security capability 3: Seamless WAP handoff","Seamless hand-off between WAPs is one of three essential capabilities for WLAN security","high","ingest-extraction","expert-opinion","abstract","Third element of three-capability framework; session continuity as security requirement",""
"88de03-OBS-006","2002-wireless-lan-security-an-adolescent-market-88de03","","wep","technology-assessment","2002","WEP security adequacy","WEP insufficient for enterprise WLAN security; dedicated solutions required","high","ingest-extraction","technology-assessment","abstract","WEP's fundamental flaws already known in 2002; study's framework fills the gap",""
"88de03-OBS-007","2002-wireless-lan-security-an-adolescent-market-88de03","","wep","actual-outcome","2004","WEP deprecated","Wi-Fi Alliance deprecated WEP in 2004; replaced by WPA/WPA2","verified","web-source","industry-analysis","web-verified","Study's implicit critique of WEP validated; WEP formally deprecated 2004",""
"88de03-OBS-008","2002-wireless-lan-security-an-adolescent-market-88de03","airdefense-inc","","strategy-classification","2002","AirDefense market position","WLAN security and monitoring vendor in emerging security segment","medium","ingest-extraction","competitive-profiling","keywords","Named in keyword list as key vendor",""
"88de03-OBS-009","2002-wireless-lan-security-an-adolescent-market-88de03","airdefense-inc","","actual-outcome","2008","AirDefense acquisition","Acquired by Motorola in 2008; became Motorola AirDefense","verified","web-source","industry-analysis","web-verified","Motorola acquisition validates AirDefense as leading WLAN security vendor",""
"88de03-OBS-010","2002-wireless-lan-security-an-adolescent-market-88de03","blue-socket","","strategy-classification","2002","Blue Socket market position","Wireless gateway and WLAN security vendor","medium","ingest-extraction","competitive-profiling","keywords","Named in keyword list; enterprise WLAN security gateway",""
"88de03-OBS-011","2002-wireless-lan-security-an-adolescent-market-88de03","blue-socket","","actual-outcome","2011","Blue Socket acquisition","Acquired by Adtran in 2011; previously acquired Pingtel in direction change","verified","web-source","industry-analysis","web-verified","Blue Socket survived through strategic pivots; acquired by Adtran 2011",""
"88de03-OBS-012","2002-wireless-lan-security-an-adolescent-market-88de03","reefedge-inc","","viability-prediction","2002","ReefEdge competitive viability","Small WLAN security startup competing in adolescent market","low","unverified","competitive-profiling","keywords","Market fragmentation suggested consolidation ahead for small vendors",""
"88de03-OBS-013","2002-wireless-lan-security-an-adolescent-market-88de03","reefedge-inc","","actual-outcome","2005","ReefEdge dissolution","ReefEdge dissolved circa 2005; Blue Socket offered rebates to stranded customers","verified","web-source","industry-analysis","web-verified","ReefEdge could not sustain independent operation; customer base absorbed by competitors",""
"88de03-OBS-014","2002-wireless-lan-security-an-adolescent-market-88de03","","wlan","viability-prediction","2002","WLAN security market consolidation","Adolescent market expected to mature through vendor consolidation","verified","outcome-linkage","industry-analysis","abstract","Market fragmentation with many small vendors predicts consolidation",""
"88de03-OBS-015","2002-wireless-lan-security-an-adolescent-market-88de03","","wlan","actual-outcome","2010","WLAN security market consolidation outcome","Most specialist WLAN security startups dissolved or acquired by 2010; Cisco, Aruba, Motorola dominated","verified","web-source","industry-analysis","web-verified","Consolidation prediction proved correct; market consolidated around network infrastructure vendors",""
"88de03-OBS-016","2002-wireless-lan-security-an-adolescent-market-88de03","cisco-systems","","strategy-classification","2002","Cisco incumbent position","Major WLAN infrastructure vendor; potential to add security capabilities","high","ingest-extraction","competitive-profiling","keywords","Cisco named alongside security specialists; incumbent network vendor",""
"88de03-OBS-017","2002-wireless-lan-security-an-adolescent-market-88de03","cisco-systems","","actual-outcome","2010","Cisco WLAN security dominance","Cisco became dominant enterprise WLAN security vendor post-2005","verified","web-source","industry-analysis","web-verified","Cisco absorbed WLAN security into core networking; specialist vendors could not compete",""
"88de03-OBS-018","2002-wireless-lan-security-an-adolescent-market-88de03","fortress-technologies","","actual-outcome","2016","Fortress Technologies acquisition","Acquired by Airbus Defence and Space in 2016; survived due to military-grade niche","verified","web-source","industry-analysis","web-verified","Military niche provided durable differentiation; survived general consolidation",""
