# horizon backfill audit — v1
# generated_at: 2026-06-19T14:08:58.304913+00:00
# tag: backfill_default_3y_v1
# value_applied: 3
# target_count: 244
# eligibility_breakdown: {'in_corpus': 243, 'admit_only': 1}
# source_csv: kastner_quotes_clean.csv
# source_backup: kastner_quotes_clean.csv.bak_horizon_backfill_3y_20260619T140858Z
# source_corpus: article_corpus_v1.json
# source_admits: _format_mismatch_admits_v1.json
# columns: row_id	headline	prior_raw	new_value	eligibility_reason

28	Support for open systems builds piece by piece	''	3	in_corpus
535	Couch surfers: too lazy to even type a URL	''	3	in_corpus
579	Look for Mac OS X 10.4 "Tiger"	''	3	in_corpus
582	Microsoft Grants Indonesian Pirates Amnsety	''	3	in_corpus
598	Monday, May 30, 2005	''	3	in_corpus
616	Software Patents Create Havoc in Eurpoe	''	3	in_corpus
717	Compaq cleans up its act in battery disposal	''	3	in_corpus
731	DEC moves to VAX, Alpha mixed clusters	''	3	in_corpus
810	Apple to answer rumors with facts	''	3	in_corpus
812	Apple's Supercomputing Scientists	''	3	in_corpus
859	IBM seen rushing out high-end AS/400 CPU	''	3	in_corpus
860	IBM seen rushing out high-end AS/400 CPU	''	3	in_corpus
861	Users finding ESA alternatives	''	3	in_corpus
862	Users finding ESA alternatives	''	3	in_corpus
863	RDBMS show they can pull OLTP weight	''	3	in_corpus
864	RDBMS show they can pull OLTP weight	''	3	in_corpus
865	Unisys U series casts shadow in Unix arena	''	3	in_corpus
866	Unisys U series casts shadow in Unix arena	''	3	in_corpus
867	Mini vendors adapt in order to survive	''	3	in_corpus
868	Mini vendors adapt in order to survive	''	3	in_corpus
869	Tandem goes to Relational DBMS tools	''	3	in_corpus
870	MSA announces EIS starter kit at a 'smart' price	''	3	in_corpus
871	Tesseract, Walker to be financial software allies	''	3	in_corpus
872	Tesseract, Walker to be financial software allies	''	3	in_corpus
873	Tesseract, Walker to be financial software allies	''	3	in_corpus
874	PRODUCT SPOTLIGHT; The DEC market	''	3	in_corpus
875	PRODUCT SPOTLIGHT; The DEC market	''	3	in_corpus
876	PRODUCT SPOTLIGHT; The DEC market	''	3	in_corpus
877	DEC challenges IBM CASE strategy	''	3	in_corpus
878	IBM eyes service bounty with new AS/400 support options	''	3	in_corpus
879	SQL Server update boasts openness	''	3	in_corpus
880	SQL Server update boasts openness	''	3	in_corpus
881	Workstations drawn more toward	''	3	in_corpus
882	Support for open systems builds piece by piece	''	3	in_corpus
883	Unix draws a crowd	''	3	in_corpus
884	Unix draws a crowd	''	3	in_corpus
885	Ingres unveils graphical 4GL	''	3	in_corpus
886	HP plans line of mainframe-type tools	''	3	in_corpus
887	HP plans line of mainframe-type tools	''	3	in_corpus
888	Integration vs. specialization	''	3	in_corpus
889	Integration vs. specialization	''	3	in_corpus
890	Integration vs. specialization	''	3	in_corpus
891	Integration vs. specialization	''	3	in_corpus
892	Vaxstation, Decstation prices to slip	''	3	in_corpus
893	Sequoia rebounds with a vengeance	''	3	in_corpus
894	Sequoia rebounds with a vengeance	''	3	in_corpus
895	IBM, Intel, Dell announce benchmark group formation	''	3	in_corpus
896	Sybase Serves up a new SQL	''	3	in_corpus
897	How low can mail-order firms go? Watch'em	''	3	in_corpus
898	Sun seeks Intel Unix	''	3	in_corpus
899	Unix System Labs signs on with ACE	''	3	in_corpus
900	Unix System Labs signs on with ACE	''	3	in_corpus
901	Sybase comes through with customer support	''	3	in_corpus
902	Sun will soon detail multimedia strategy	''	3	in_corpus
903	For start-up, $2 million is Serius money	''	3	in_corpus
