"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"coso-icif","COSO Internal Control Integrated Framework","framework","COSO","1992-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Report's organizing framework"
"coso-erm","COSO Enterprise Risk Management Framework","framework","COSO","2003-present","new","current","topic-iia-pc-management-best-practices-2003-10","Exposure draft at time of writing"
"sac-model","Systems Assurance and Control (SAC) Model","framework","IIA","1977-present","mature","legacy","topic-iia-pc-management-best-practices-2003-10","Report extends SAC; prior versions 1990/1993/2001"
"sarbanes-oxley","Sarbanes-Oxley Act","regulation","US Congress","2002-present","new","current","topic-iia-pc-management-best-practices-2003-10","Section 404 IT controls; key driver"
"hipaa","HIPAA","regulation","US Congress","1996-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Healthcare privacy compliance"
"glba","Gramm-Leach-Bliley Act","regulation","US Congress","1999-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Financial data privacy"
"ca-sb-1386","California SB 1386","regulation","California","2003-present","new","legacy","topic-iia-pc-management-best-practices-2003-10","Security breach notification"
"gain-survey","IIA GAIN Flash Survey","methodology","IIA","1998-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Global Audit Information Network survey platform"
"desktop-pc","Desktop PC","platform","multiple","1975-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Main study subject"
"notebook-pc","Notebook PC","platform","multiple","1985-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Mobile subset"
"windows-95","Windows 95","platform","Microsoft","1995-2002","legacy","obsolete","topic-iia-pc-management-best-practices-2003-10","No longer supported; 40M+ installed base"
"windows-98","Windows 98","platform","Microsoft","1998-2006","legacy","obsolete","topic-iia-pc-management-best-practices-2003-10","Support ending 2003"
"windows-nt-4","Windows NT 4.0","platform","Microsoft","1996-2004","legacy","obsolete","topic-iia-pc-management-best-practices-2003-10","Support ending 2003"
"windows-xp","Windows XP","platform","Microsoft","2001-2014","new","obsolete","topic-iia-pc-management-best-practices-2003-10","Current supported desktop OS in 2003"
"patch-management","Security Patch Management","methodology","multiple","1998-present","mature","current","topic-iia-pc-management-best-practices-2003-10","58% auto-delivered patches per survey"
"pc-tco","PC Total Cost of Ownership","methodology","Gartner/Aberdeen","1995-present","mature","current","topic-iia-pc-management-best-practices-2003-10","$8k-$9k per seat per Kastner"
"standard-pc-image","Standard PC Image","methodology","IT-industry","1998-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Kastner's top-3 ROI PC best practice"
"automated-software-distribution","Automated Software Distribution","methodology","IT-industry","1998-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Top-3 ROI PC best practice per Aberdeen"
"business-continuity-planning","Business Continuity Planning","methodology","multiple","1990-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Chapter 5 subject"
"pc-asset-management","PC Asset Management","methodology","IT-industry","1995-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Chapter 7 subject"
"wireless-lan","Wireless LAN","platform","IEEE","1999-present","new","current","topic-iia-pc-management-best-practices-2003-10","Only 21% respondents did wireless cost analysis"
"virus-protection","Enterprise Virus Protection","methodology","multiple","1990-present","mature","legacy","topic-iia-pc-management-best-practices-2003-10","<30% reported best practices"
"firewalls","Firewalls","platform","multiple","1988-present","mature","current","topic-iia-pc-management-best-practices-2003-10","Referenced in risk chapter"
"encryption","Encryption","methodology","multiple","1976-present","mature","current","topic-iia-pc-management-best-practices-2003-10","PC security control"
