char_offset,trigger_labels,sentence
1263,best_in_class,"More importantly, Best-in-Class companies are increasing the involvement of business users in all phases of the development lifecycle, and view quality not as something that’s done at the end of the cycle, but as a horizontal attribute that spans multiple business processes."
1541,best_in_class,## **Best-in-Class Performance**
1576,best_in_class,"For this report, Aberdeen used four primary performance criteria to distinguish Best-in-Class companies from Industry Average and Laggard organizations:"
1782,best_in_class,**94%** of the Best-in-Class reported an increase in software quality
1856,best_in_class,**Number of defects discovered in production code: 61%** of the Best-in-Class recorded fewer defects
2001,best_in_class,**57%** of the Best-in-Class saw reduced time to repair
2110,best_in_class,**70%** of the Best-in-Class said maintainability had improved
2756,best_in_class,Typical Best-in-Class organizations:
3584,best_in_class,"Best-in-Class organizations track both business requirements and quality across the entire enterprise, not on a service-by-service basis."
4055,best_in_class,**Improve visibility of deployed services.** Best-in-Class organizations are using monitoring and reporting tools on their production systems to give them a better understanding of what is going wrong – and also going right – in their deployed software.
9506,best_in_class,## **Chapter One: Benchmarking the Best-in-Class**
10291,best_in_class,√ **94%** of Best-in-Class organizations report an increase in the quality of deployed services
10391,best_in_class,√ **61%** of Best-in-Class companies saw a reduction in the number of defects discovered in production
10498,best_in_class,√ **57%** of Best-in-Class reported a decrease in the time required to repair defects
10665,best_in_class,"In analyzing the data, four primary performance criteria were used to distinguish Best-in-Class companies from Industry Average and Laggard organizations:"
11013,best_in_class,"With the Best-in-Class companies identified, they were then compared to the Industry Average and Laggard organizations (Table 1) in a number of key areas."
11170,best_in_class,## **Table 1: Companies with Top Performance Earn Best-in-Class Status**
11245,best_in_class,"|**Definition of**<br>**Maturity Class**|**Mean Class Performance**|
|---|---|
|**Best-in-Class:**<br> <br>**Top 20%**of aggregate<br>performance scorers|• **61%**saw a reduction in the number of defects<br>discovered in production<br>• **57%**reported a decrease in the mean time to<br>repair defects<br>• **71%**saw an increase in code test coverage<br>• **94%**reported an increase in the quality of<br>deployed software|"
12708,best_in_class,The Best-in-Class organizations profiled in this report have attacked the problem from multiple angles.
12812,figure_reference,"It isn’t enough to just deploy automation, and it isn’t enough to simply rely on functional tests – **QA for composite applications needs a horizontal, process-oriented view, not the vertical unit-test methods used in the past** (Figure 1)."
13238,best_in_class,The typical Best-in-Class company:
13444,best_in_class;figure_reference,**Figure 1: Best-in-Class Keys to Success for Quality**
13557,best_in_class,"**----- Start of picture text -----**<br>
Business users 26% Best-in-Class<br>All Others<br>involved 19%<br>Automated tools 57%<br>for testing 35%<br>Quality managed<br>81%<br>throughout<br>63%<br>lifecycle<br>0% 20% 40% 60% 80% 100%<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
14611,figure_reference,"Reducing the number of defects is important, but it isn’t the top reason that most companies are looking to improve their performance in testing SOA and web services applications (Figure 2)."
14856,percentage_stat,Only 22% of all companies surveyed indicated that reducing the cost of testing was a key driver.
14955,figure_reference,**Figure 2: Top Drivers for Focusing on QA**
15057,best_in_class,"**----- Start of picture text -----**<br>
Decrease time 55%<br>to deliver 56%<br>Reduce<br>60%<br>number of<br>52%<br>defects<br>Reduce risk of<br>28% Best-in-Class<br>deploying new<br>43% All Others<br>components<br>0% 20% 40% 60% 80%<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
15408,figure_reference,Roughly one-third of respondents to this study indicated that they had not made significant changes to their QA processes (Figure 3).
15669,figure_reference,**Figure 3: Changes to Key QA Processes**
15768,best_in_class,"**----- Start of picture text -----**<br>
QA has been completely 20% Best in Class<br>redesigned 7% All Others<br>Process changed project-by- 51%<br>project 65%<br>Testing SOA and w eb services<br>62%<br>differently for traditional<br>54%<br>softw are<br>0% 20% 40% 60% 80%<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
16333,best_in_class,"Best-in-Class companies, however, are almost **three times as likely** as Industry Average and Laggard organizations to have redesigned their entire testing process."
16499,best_in_class,The Best-in-Class organizations have made the commitment to services-based applications and have retooled their key processes to reflect their new direction.
17060,best_in_class;percentage_stat,"For example, 45% of Best-in-Class companies use tools for tracking business requirements, compared to 35% of the Industry Average and Laggard organizations."
17700,best_in_class,## **The Best-in-Class PACE Model**
17738,best_in_class;percentage_stat,Aberdeen uses the **PACE** model to profile the top performing 20% of companies – the Best-in-Class – in four areas:
18299,best_in_class,Table 2 shows the PACE profile of the Best-in-Class companies used for this report.
18593,best_in_class,**Table 2: The Best-in-Class PACE Framework**
20391,percentage_stat,"Regression testing is done by only 39% of Laggard organizations, so the risk for them is quite real."
20494,best_in_class,Best-in-Class companies tend to be further along the maturity curve and have learned the lessons of untested software.
21247,best_in_class,Best-in-Class IT organizations are changing their QA processes to encompass composite applications.
22228,best_in_class,√ Best-in-Class companies are **twice as likely** to use automated requirementstracking tools than Laggard organizations
22353,best_in_class,"√ **70%** of Best-in-Class firms measure quality throughout the project lifecycle, not just in testing"
22460,average_stat,√ **Nearly half (47%)** of Bestin-Class companies use design-time governance to promote reuse of software components versus an average of 33% for other organizations
23261,best_in_class,"The aggregated performance of surveyed companies determined whether they ranked as Best-in-Class, Industry Average, or Laggard."
24028,best_in_class,These characteristics (Table 3) serve as a guideline for best practices and correlate directly with Best-in-Class performance across the key metrics.
26311,best_in_class,"The top challenge cited by Best-in-Class companies related to SOA and services testing was incomplete technical specifications, while the second"
26691,best_in_class;figure_reference,"Time budgeted for QA is not an issue for the Best-in-Class, but it is the top concern of the Industry Average (Figure 4)."
26815,figure_reference,**Figure 4: Top Challenges in QA**
26907,best_in_class,"**----- Start of picture text -----**<br>
Incomplete 47%<br>technical 41%<br>specifications 45%<br>QA tools not 38%<br>designed for SOA 33%<br>or w eb services 32%<br>23% Best-in-Class<br>Not enough time<br>42% Industry Average<br>alloted for testing 32% Laggard<br>0% 10% 20% 30% 40% 50%<br>Source: Aberdeen Group, August 2007<br>**----- End of picture text -----**<br>"
27299,best_in_class,One of the key differentiators of the Best-in-Class is that they place a heavy emphasis on the business view of testing.
27851,best_in_class;figure_reference,"Best-in-Class companies use automation to manage those requirements across the entire lifecycle of a project, not just during the design phase (Figure 5)."
28191,best_in_class;figure_reference,**Figure 5: Requirements-Based Testing Differentiates Best-in-Class Companies**
