"code_id","code_type","code_value","label","description"
"study_type__product-profile","study_type","product-profile","Product Profile","Vendor/product evaluation and positioning profile"
"domain__enterprise-computing-ERP","domain","enterprise-computing-ERP","Enterprise Computing - ERP","Enterprise resource planning and midrange commercial computing"
"method__industry-analysis","methodology","industry-analysis","Industry Analysis","Broad analysis of market dynamics and supplier landscape"
"method__competitive-profiling","methodology","competitive-profiling","Competitive Profiling","Profiling of specific vendor/product competitive strengths"
"method__benchmarking","methodology","benchmarking","Benchmarking","Performance and capability comparisons against alternatives"
"entity_type__vendor","entity_type","vendor","Vendor","Technology product or solution vendor"
"entity_type__product-division","entity_type","product-division","Product Division","A business division focused on specific products"
"entity_type__subsidiary","entity_type","subsidiary","Subsidiary","Corporate subsidiary organization"
"entity_type__consulting-firm","entity_type","consulting-firm","Consulting Firm","Professional services or consulting organization"
"entity_type__analyst-firm","entity_type","analyst-firm","Analyst Firm","Technology research and analyst organization"
"entity_status__active","entity_status","active","Active","Organization is currently active and operating"
"entity_status__acquired","entity_status","acquired","Acquired","Organization was acquired by another entity"
"entity_status__rebranded","entity_status","rebranded","Rebranded","Organization continued under a different name"
"entity_status__folded","entity_status","folded","Folded","Division/unit folded into or merged with parent"
"tech_status__active","tech_status","active","Active","Technology is currently in active use/development"
"tech_status__superseded","tech_status","superseded","Superseded","Technology replaced by a successor product"
"tech_status__renamed","tech_status","renamed","Renamed","Technology continued under a different name"
"tech_category__hardware-platform","tech_category","hardware-platform","Hardware Platform","Server or computing hardware platform"
"tech_category__processor","tech_category","processor","Processor","CPU or microprocessor technology"
"tech_category__operating-system","tech_category","operating-system","Operating System","System-level operating software"
"tech_category__erp-suite","tech_category","erp-suite","ERP Suite","Enterprise resource planning application suite"
"tech_category__database","tech_category","database","Database","Relational database management system"
"tech_category__development-tool","tech_category","development-tool","Development Tool","Application development environment or language"
"tech_category__architecture","tech_category","architecture","Architecture","System or application architectural pattern"
"obs_type__market-share","obs_type","market-share","Market Share","Market position or share metric"
"obs_type__financial-metric","obs_type","financial-metric","Financial Metric","Revenue, profit or financial performance data"
"obs_type__product-spec","obs_type","product-spec","Product Specification","Technical specifications of a product or model"
"obs_type__competitive-claim","obs_type","competitive-claim","Competitive Claim","Analyst assertion about competitive positioning"
"obs_type__market-data","obs_type","market-data","Market Data","Market size, growth or demand data"
"obs_type__product-module","obs_type","product-module","Product Module","Named functional module within a product suite"
"obs_type__performance-claim","obs_type","performance-claim","Performance Claim","Stated performance characteristic or benchmark"
"obs_type__partnership","obs_type","partnership","Partnership","Business partnership or alliance information"
"obs_type__customer-data","obs_type","customer-data","Customer Data","Customer counts, segments or behavior data"
"strategy-classification","observation_type","strategy-classification","Strategy Classification","Categorization of an entity's business strategy or competitive positioning"
"viability-prediction","observation_type","viability-prediction","Viability Prediction","Expert prediction of entity's long-term survival or market trajectory"
"actual-outcome","observation_type","actual-outcome","Actual Outcome","Verified historical outcome for an entity or prediction"
"technology-assessment","observation_type","technology-assessment","Technology Assessment","Evaluation of a technology's maturity, fitness, or competitive positioning"
"benchmark-result","observation_type","benchmark-result","Benchmark Result","Quantitative performance comparison against peers or industry standards"
"framework-factor","observation_type","framework-factor","Framework Factor","One component of a multi-factor analytical framework"
"market-data","observation_type","market-data","Market Data","Quantitative market statistic such as revenue, share, or growth rate"
"expert-opinion","observation_type","expert-opinion","Expert Opinion","Qualitative professional judgment or analytical finding"
"method-document-review","methodology","document-review","Document Review","Analysis of existing documents, reports, and published records"
"method-field-research","methodology","field-research","Field Research","Primary data collection via IS executive interviews or customer surveys"
"method-revenue-benchmark","methodology","revenue-benchmark","Revenue Benchmarking","Measurement and comparison of entity revenues against market total"
"conf-high","confidence","high","High Confidence","Strong evidentiary basis; multiple corroborating sources or explicit supplier data"
"conf-medium","confidence","medium","Medium Confidence","Reasonable basis but data is estimated or partially corroborated"
"conf-low","confidence","low","Low Confidence","Directional judgment with limited evidence; Aberdeen estimate only"
"conf-verified","confidence","verified","Verified","Confirmed by subsequent events, independent sources, or official records"
