entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
oracle-corporation,Oracle Corporation,company,computing-industry,active,,1977-present,2026-kastner-oracle-longitudinal,"Oracle Corporation; canonical Oracle entity. Entity-ID variants in archive: oracle, oracle-corp, oracle-corporation, ORACLE, ENT-006, ENT-010, ENT-011, ENT-ORACLE, ENT-ORACLE-DB, ENT-ORACLE-APP, ENT-ORA-001, ent-05, ent-06, e90-05, and 15+ additional ENT-prefixed IDs"
larry-ellison,Larry Ellison,person,computing-industry,active,,1977-present,2026-kastner-oracle-longitudinal,Oracle founder and CEO 1977–2014; Executive Chairman and CTO 2014–present; the archive's most-quoted technology executive; entity IDs: larry-ellison / larry-ellison (person)
peter-kastner,Peter S. Kastner,person,research-and-analysis,active,,1972-present,2026-kastner-oracle-longitudinal,Aberdeen Group co-founder and CRO; MIT PhD; primary Oracle analyst in archive 1993–2006; also Oracle-sponsored author for InterOffice (1995) and Applications ROI (2001)
katherine-jones,Katherine Jones,person,research-and-analysis,retired,,2001-2003,2026-kastner-oracle-longitudinal,Aberdeen Group analyst covering Oracle Applications and E-Business Suite era; authored AppsWorld studies 2002–2003; authored Oracle Applications ROI study 2001
ibm-corporation,IBM Corporation,company,computing-industry,active,,1911-present,2026-kastner-oracle-longitudinal,Primary RDBMS competitor (IBM DB2); TPC benchmark rival; strategic foil throughout archive; separately covered in 2026-kastner-ibm-longitudinal
microsoft-corporation,Microsoft Corporation,company,computing-industry,active,,1975-present,2026-kastner-oracle-longitudinal,Competitive threat on multiple fronts: SQL Server vs. Oracle DB; Microsoft Exchange vs. Oracle InterOffice; .NET vs. Java/NCA
sybase,Sybase Inc.,company,computing-industry,acquired,SAP (2010),1984-2010,2026-kastner-oracle-longitudinal,RDBMS competitor; TPC benchmark rival; shared technology lineage with Microsoft SQL Server (both derived from Sybase ASE); acquired by SAP 2010
informix,Informix Corporation,company,computing-industry,acquired,IBM (2001),1980-2001,2026-kastner-oracle-longitudinal,RDBMS competitor; aggressive TPC benchmark participant; Universal Server (ORDBMS); acquired by IBM 2001 for $1B
computer-associates,Computer Associates International,company,computing-industry,acquired,Broadcom (2018),1976-2018,2026-kastner-oracle-longitudinal,RDBMS competitor via CA-Ingres; systems management market; indirect Oracle applications rival; separately assessed in Kastner archive
peoplesoft,PeopleSoft Inc.,company,computing-industry,acquired,Oracle (2005),1987-2005,2026-kastner-oracle-longitudinal,ERP/HCM competitor; subject of Oracle hostile takeover bid 2003–2004; acquired by Oracle January 2005 for $10.3B
sap,SAP AG,company,computing-industry,active,,1972-present,2026-kastner-oracle-longitudinal,Primary ERP/applications competitor; Oracle Applications vs. SAP R/3 the defining enterprise software contest of the 1990s–2010s
sun-microsystems,Sun Microsystems Inc.,company,computing-industry,acquired,Oracle (2010),1982-2010,2026-kastner-oracle-longitudinal,Java creator; SPARC/Solaris platform; MySQL owner; acquired by Oracle 2010 for $7.4B; Java and MySQL the durable assets
siebel-systems,Siebel Systems Inc.,company,computing-industry,acquired,Oracle (2006),1993-2006,2026-kastner-oracle-longitudinal,CRM market leader; acquired by Oracle 2006 for $5.85B; Siebel On Premise migrating to Oracle Sales Cloud
baan,Baan Company NV,company,computing-industry,acquired,SSA GT via Invensys (2003),1978-2003,2026-kastner-oracle-longitudinal,ERP competitor in manufacturing vertical; referenced in archive vs. Oracle Applications in Baan-leads-innovation study 1997
netscape,Netscape Communications,company,computing-industry,acquired,AOL (1999),1994-1999,2026-kastner-oracle-longitudinal,Browser/Java platform rival; key player in Oracle NCA/NC vision; browser as universal client; acquired by AOL 1999
tpc,Transaction Processing Performance Council,institution,computing-standards,active,,1988-present,2026-kastner-oracle-longitudinal,TPC benchmark standards body; Oracle a founding and dominant member; Kastner used TPC results as primary benchmark currency throughout the 1990s
oaug,Oracle Application User Group,institution,computing-industry,active,,1990-present,2026-kastner-oracle-longitudinal,User group referenced in archive; AppsWorld conference venue for Katherine Jones studies 2002; now Oracle User Group Network
aberdeen-group,Aberdeen Group,company,research-and-analysis,acquired,Harte-Hanks (2001),1988-2014,2026-kastner-oracle-longitudinal,Kastner's firm; co-founded by Kastner; primary publishing vehicle for Oracle analyst work 1993–2006; acquired by Harte-Hanks 2001
