"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"dct-segment-priorities-matrix-2003-OBS-001","dct-segment-priorities-matrix-2003","aberdeen-group","","framework-factor","2002","Matrix structure","4 technology categories x 3 contexts (Home/Work/Mobile)","high","ingest-extraction","industry-analysis","p.1","Priority 1 in blue, Priority 2 in gray",""
"dct-segment-priorities-matrix-2003-OBS-002","dct-segment-priorities-matrix-2003","","desktop-pc","framework-factor","2002","Home — Computers","Desktop, laptop, tablet","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-003","dct-segment-priorities-matrix-2003","","home-automation","expert-opinion","2002","Home — Computers note","Multiple PCs drives need for home networking","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-004","dct-segment-priorities-matrix-2003","","","viability-prediction","2003","PC/TV/stereo integration outlook","In 2003, PCs integrate well with TV/stereo","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-005","dct-segment-priorities-matrix-2003","","","expert-opinion","2002","System-bundle usability","Usability in system bundles an issue","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-006","dct-segment-priorities-matrix-2003","intel","intel-pentium-4","viability-prediction","2003","Desktop CPU roadmap","Desktop MHz goes from 2.2 to 3.6 in 18 months","verified","outcome-linkage","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-007","dct-segment-priorities-matrix-2003","intel","intel-pentium-4","viability-prediction","2003","Notebook CPU inflection","Pentium 4 laptops are major performance improvement","verified","outcome-linkage","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-008","dct-segment-priorities-matrix-2003","","wifi","framework-factor","2002","Home — Networking","WiFi, PNA, Powerline, Ethernet, home automation","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-009","dct-segment-priorities-matrix-2003","","wifi","viability-prediction","2002","Home networking year","2002 will be a banner year for home networks","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-010","dct-segment-priorities-matrix-2003","","wifi","expert-opinion","2002","Wireless usability","Usability a huge issue — wireless not the only choice","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-011","dct-segment-priorities-matrix-2003","","ieee-802-11a","framework-factor","2002","Work — Networking","WiFi 802.11a","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-012","dct-segment-priorities-matrix-2003","","cellular-data","framework-factor","2002","Mobile — Networking","WiFi, cellular","high","ingest-extraction","industry-analysis","p.1","Owner: Maged",""
"dct-segment-priorities-matrix-2003-OBS-013","dct-segment-priorities-matrix-2003","","personal-firewall","framework-factor","2002","Home — Productivity low-priority","Personal firewalls, security, OS, utilities, personal messaging, AOL/MSN services","high","ingest-extraction","industry-analysis","p.1","Explicit 'low priority' designation",""
"dct-segment-priorities-matrix-2003-OBS-014","dct-segment-priorities-matrix-2003","microsoft","","framework-factor","2002","Work — Productivity","Office","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-015","dct-segment-priorities-matrix-2003","","pim","framework-factor","2002","Mobile — Productivity","PIM","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-016","dct-segment-priorities-matrix-2003","","pvr","framework-factor","2002","Home — Leisure","PVR, TV/stereo convergence, games, digital appliances","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-017","dct-segment-priorities-matrix-2003","","","expert-opinion","2002","TV/stereo integration friction","In 2002, making a TV and stereo work with a PC is difficult","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-018","dct-segment-priorities-matrix-2003","","","viability-prediction","2003","Relief on the way","Relief on the way in 2003 — what are the tradeoffs by buying now?","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-019","dct-segment-priorities-matrix-2003","","location-services","framework-factor","2002","Mobile — Leisure","Location","medium","ingest-extraction","industry-analysis","p.1","Owner: Isaac",""
"dct-segment-priorities-matrix-2003-OBS-020","dct-segment-priorities-matrix-2003","","pda","framework-factor","2002","Mobile — Computers","Laptop, PDA","high","ingest-extraction","industry-analysis","p.1","",""
"dct-segment-priorities-matrix-2003-OBS-021","dct-segment-priorities-matrix-2003","intel","intel-pentium-4","actual-outcome","2004","Desktop CPU 3.6 GHz","Pentium 4 reached 3.6 GHz with the Prescott F-series / Pentium 4 560 launched June 21 2004 (3.6 GHz) — within the anticipated timeline; NetBurst hit its 3.8 GHz ceiling with P4 570J by November 2004 before thermal limits forced the architectural pivot to Core.","verified","web-source","industry-analysis","","Placeholder — Pentium 4 did reach 3.6 GHz by 2004 | Phase 3 backfill 2026-04-19: Intel P4 560 launch Jun 2004; NetBurst thermal wall 2004",""
