"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"aberdeen-1996-progress-software-webspeed-internet-OBS-001","aberdeen-1996-progress-software-webspeed-internet","progress-software","webspeed","strategy-classification","1996","WebSpeed product strategy","Internet development tool merging proven Progress CADE with TP-monitor-like web middleware","high","ingest-extraction","competitive-profiling","Executive Summary","Differentiation via legacy integration + internet scalability"
"aberdeen-1996-progress-software-webspeed-internet-OBS-002","aberdeen-1996-progress-software-webspeed-internet","progress-software","","market-data","1996","Progress Software revenue run rate 1995","$200 million","high","ingest-extraction","document-review","Financials",""
"aberdeen-1996-progress-software-webspeed-internet-OBS-003","aberdeen-1996-progress-software-webspeed-internet","progress-software","","market-data","1996","Progress Software year-to-year revenue growth","Approximately 20%","high","ingest-extraction","document-review","Financials","Continued through fiscal 1996"
"aberdeen-1996-progress-software-webspeed-internet-OBS-004","aberdeen-1996-progress-software-webspeed-internet","progress-software","webspeed-transaction-server","technology-assessment","1996","WebSpeed 'state' management capability","Transaction Agents maintain state across browser disconnects; enables full client-server transaction robustness","high","ingest-extraction","expert-opinion","Transaction Server","Key differentiator vs CGI/basic web servers"
"aberdeen-1996-progress-software-webspeed-internet-OBS-005","aberdeen-1996-progress-software-webspeed-internet","progress-software","webspeed-transaction-server","technology-assessment","1996","WebSpeed multiplexing and load balancing","Spreads transaction load across multiple servers; proven effective for data-intensive apps","high","ingest-extraction","expert-opinion","Transaction Server","TP-monitor-like architecture"
"aberdeen-1996-progress-software-webspeed-internet-OBS-006","aberdeen-1996-progress-software-webspeed-internet","progress-software","webspeed","technology-assessment","1996","WebSpeed multi-tier architecture","Four-tier: browser client / web server (Messenger) / Transaction Server / database server","high","ingest-extraction","document-review","WebSpeed Flexible Architecture",""
"aberdeen-1996-progress-software-webspeed-internet-OBS-007","aberdeen-1996-progress-software-webspeed-internet","progress-software","webspeed","benchmark-result","1996","WebSpeed two-phase commit","Transaction Server provides two-phase commit for multi-database data integrity; rolls back on failure","high","ingest-extraction","document-review","Key Advantages","ACID compliance"
"aberdeen-1996-progress-software-webspeed-internet-OBS-008","aberdeen-1996-progress-software-webspeed-internet","progress-software","progress-4gl","technology-assessment","1996","Progress 4GL vs Java for data-intensive apps","4GL superior to immature Java for complex data-intensive programming in 1996","medium","ingest-extraction","expert-opinion","Market Position","Aberdeen judgment; Java subsequently matured dramatically"
"aberdeen-1996-progress-software-webspeed-internet-OBS-009","aberdeen-1996-progress-software-webspeed-internet","","cgi","technology-assessment","1996","CGI scalability limitations","CGI lacks robust transaction processing features necessary to scale without help","high","ingest-extraction","expert-opinion","Preface","Industry-wide architectural constraint identified"
"aberdeen-1996-progress-software-webspeed-internet-OBS-010","aberdeen-1996-progress-software-webspeed-internet","progress-software","webspeed","technology-assessment","1996","WebSpeed platform support","Workshop: Windows 95/NT; Transaction Server: NT, Sun Solaris, Digital Unix, IBM AIX","high","ingest-extraction","document-review","WebSpeed Flexible Architecture","Multi-platform deployment"
