"study_id","title","author","date","type","subject_domain","methodology","source_file","abstract","license","importance","importance_rationale","relevance","relevance_rationale","prescience","prescience_rationale"
"cnbc-technology-edge-ibm-dec-hp-transitions-d4f84c","CNBC Technology Edge: IBM, DEC, and HP Adapting to Client-Server (Bruce Francis, with Tabak/Roach/Sochi/Kastner panel)","CNBC (host: Bruce Francis; panelists: George Tabak, Stephen Roach, Pat Sochi, Peter S. Kastner)","1994-08-06","primary-source","computer-industry-transition-mainframe-to-client-server","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript CNBC 8_6_1994 Technology Edge show.md","29-minute CNBC Technology Edge episode hosted by Bruce Francis on the challenges facing IBM, Digital Equipment Corporation, and Hewlett-Packard as they transition from proprietary systems to open client-server architecture. Panelists: George Tabak (Ingersoll Rand), Stephen Roach (Morgan Stanley), Pat Sochi (Teleport Communications Group / TCG), and Peter Kastner (Aberdeen Group). Discussion covers customer-need responsiveness, integrated solutions, mainframe-to-client-server shift, industry consolidation potential, and the changing role of technology in business productivity. Panel consensus: HP most successful in transition, IBM recovering, DEC facing significant challenges. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","high","Captures a pivotal moment in the proprietary-to-open transition; Kastner appears as industry analyst alongside Stephen Roach and other major figures.","high","Kastner is one of four named expert panelists for an extended discussion of DEC, IBM, HP — core Aberdeen coverage areas.","[DEFERRED]",""
"crossroads-ad-buy-vs-make-integration-fc4acd","Crossroads Software advertisement #1 (1997): Buy vs. Make Enterprise Application Integration","Crossroads Software (advertising spot featuring Peter S. Kastner)","1997-01-01","primary-source","enterprise-application-integration","oral-history, vendor-event-archive, ai-generated-summary","transcript Crossroads ad 1 1997.md","2-minute Crossroads Software advertising spot featuring Kastner as expert spokesman. Discusses the buy-vs-make decision for enterprise application integration, citing typical integration costs of $1.5-$4 million for two major applications and 40-60% (sometimes up to 90%) maintenance cost reduction over 5-7 years using Crossroads' best-of-breed plug-and-play approach across Oracle, SAP, Vantive. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","low","Short vendor ad spot; analytical content thin but financial numbers cited are concrete.","medium","Kastner appears as paid spokesman for Crossroads; documents Aberdeen positioning on enterprise integration cost economics.","[DEFERRED]",""
"crossroads-ad-process-wear-enterprise-apps-9c8527","Crossroads Software advertisement #2: 'Process Wear for Enterprise Applications'","Crossroads Software (advertising spot featuring Peter S. Kastner)","1997-01-01","primary-source","enterprise-application-integration","oral-history, vendor-event-archive, ai-generated-summary","transcript Crossroads ad 2.md","1-minute Crossroads Software advertising spot with Kastner. Frames Crossroads as 'process wear for enterprise applications' — a packaged plug-and-play solution for integrating all enterprise applications. Pitches CIOs on end-to-end integration that was previously impossible. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","low","Shortest of the Crossroads ad spots; marketing positioning vignette.","medium","Companion to ad #1 — captures the 'process wear' positioning Kastner endorsed.","[DEFERRED]",""
"crossroads-launch-front-back-office-integration-508c58","Crossroads Software launch event (June 1997): Industry of Collaborations for Plug-and-Play Integration","Crossroads Software (launch event featuring Peter S. Kastner)","1997-06-01","primary-source","enterprise-application-integration","oral-history, vendor-event-archive, ai-generated-summary","transcript Crossroads launch (June1997).md","4-minute Crossroads Software launch event clip with Kastner. Documents the $1-5M-per-integration cost and $50-100B US in-house programmer spend on integration. Presents Crossroads' 'industry of collaborations' approach: a market for plug-and-play integration between disparate front-office and back-office applications. Kastner provides expert validation that no other vendor was attempting full-stack integration. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","medium","Launch event with concrete market-sizing numbers and Kastner as named expert validator.","medium","Documents Aberdeen Group's position on enterprise integration as a distinct industry category.","[DEFERRED]",""
"dec-blue-monday-internal-sales-training-dectp-vs-ibm-0021cc","DEC Blue Monday telecast (1988-08-01): Internal Sales Training on Selling DECtp vs. IBM in Transaction Processing","Digital Equipment Corporation (host: Rod Sutherland; panel: Rick Case, Peter S. Kastner, Gary Hoppe)","1988-08-01","primary-source","transaction-processing-competitive-sales-training","oral-history, internal-sales-training-archive, ai-generated-summary","transcript DEC Blue Monday 8_1_1988 DECtp.md","61-minute DEC Blue Monday internal sales-training telecast for DEC's field sales force, focused on competing against IBM in the $21B/year transaction processing market (growing 2x the overall computer market). Host: Rod Sutherland. Panel: Rick Case (TP opportunity identification, time-sharing vs DECtp environments), Peter S. Kastner (TP market overview, DEC's <5% share with 3x growth projected, 5 strategic TP areas: mainframe offload, new mainframe software, distributed apps, interoperability, new apps), Gary Hoppe (DEC ACMS and DEC-INTAC vs IBM CICS/IMS-DC/TPF feature-by-feature). Covers selling tactics, debit-credit vs RAMP-C benchmarks, AS/400 positioning, case-tool Q&A. This is the INTERNAL competitive-training companion to the public DECtp Press Conference (study row 1435, July 1988). Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","high","61-minute internal DEC sales force telecast with Kastner as featured analyst; concrete market-sizing and competitive positioning detail unavailable in any public Aberdeen document of the era.","high","Direct companion to existing DECtp Press Conference study (row 1435) — represents the internal sales-force training side of the same product launch.","[DEFERRED]",""
"informix-universal-server-launch-object-relational-fb2cd4","Informix Universal Server launch (December 1996): Object-Relational Database with DataBlades","Informix Software (Phil White, Mike Stonebraker, Ed Zander, Malcolm Colton, Dave Cope; with Peter S. Kastner)","1996-12-01","primary-source","object-relational-databases","oral-history, vendor-event-archive, ai-generated-summary","transcript Informix Universal Server launch (12_1996).md","91-minute Informix Universal Server launch event. Phil White (CEO) introduces the product as a redefinition of database performance. Mike Stonebraker (CTO) presents object-relational databases as the next great wave in database technology, replacing traditional RDBMS. Ed Zander (Sun Microsystems) frames the alignment with network computing. Malcolm Colton (Director, Database Marketing) emphasizes ease of use, speed, extensibility. Dave Cope (GM, DataBlade Business Unit) introduces DataBlades — plug-in modules for image, video, spatial data. Partner DataBlade demos. White positions Informix as the most influential database for two consecutive years. Kastner appears as analyst providing time-to-market advantage commentary. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","high","Stonebraker presenting object-relational thesis at the product launch is a primary-source artifact of an important database-industry inflection.","high","Kastner appears as named analyst providing competitive validation; deep Aberdeen RDBMS coverage area.","[DEFERRED]",""
"informix-competitive-update-kastner-rdbms-jungle-25604a","Informix Competitive Update (1994-02-17): Kastner Briefs Informix Sales Force on Oracle/Sybase/Ingres RDBMS Market","Peter S. Kastner (Aberdeen Group, presenting to Informix sales team)","1994-02-17","primary-source","RDBMS","oral-history, vendor-event-archive, ai-generated-summary","transcript Informix competitive update 2_17_1994.md","42-minute Kastner presentation to Informix sales team, framing the RDBMS market as 'a jungle.' Covers Aberdeen's relational database buying guide; common playing-field features (architecture, ANSI SQL, referential integrity, stored procedures, triggers, two-phase commit); differentiating technologies (extensibility, scalability, dev tools, ease of use, performance, distributed access, large-DB support, standards); Informix strengths in scalability, 4GL dev tools, and performance; weaknesses in replication and large-DB support. Competitor profiles: Oracle, Sybase, Ask Ingres. Kastner introduced by Informix as 'a leading analyst in client-server, distributed data processing, OLTP, and the database industry' with background at Digital, Prime, Stratus, and ten years consulting with Arthur D. Little. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","high","Kastner is the sole presenter for a 42-minute session to Informix sales team — primary-source Aberdeen analysis of the early-1994 RDBMS competitive landscape.","high","Definitive document of Kastner's RDBMS market views in early 1994; companion to many Aberdeen RDBMS market studies.","[DEFERRED]",""
"ingres-windows-4gl-1990-gui-development-tools-75ade0","Ingres Windows 4GL announcement (May 1990): GUI Development Tools for Commercial Applications","Ingres (announcement event featuring Peter S. Kastner)","1990-05-01","primary-source","GUI-development-tools","oral-history, vendor-event-archive, ai-generated-summary","transcript Ingres Windows 4GL (May_1990) announcement.md","8-minute Ingres Windows 4GL announcement event with Kastner as expert commenter. Discusses the shift from character-based interfaces to GUIs, rising user expectations driven by Macintosh-style consumer apps, the difficulty of GUI programming for typical commercial programmers, and Ingres's positioning of Windows 4GL as a productivity tool to bring GUI dev within reach of the average programmer and expand workstation adoption in commercial applications. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","medium","Concrete primary-source documentation of GUI-vs-character-mode transition pain points circa 1990.","medium","Kastner appears as named industry analyst; relates to Aberdeen's development-tools coverage.","[DEFERRED]",""
"msnbc-aol-modem-shortage-customer-refunds-189b41","MSNBC: AOL Modem Shortage, Customer Refunds, and Network Congestion (2001)","MSNBC (with CNBC Ron Insana and Peter S. Kastner, Aberdeen Group)","2001-01-01","primary-source","internet-service-provider-capacity","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript MSNBC on AOL modem shortage (2001).md","10-minute MSNBC news segment on AOL's network congestion crisis. CNBC's Ron Insana reports; Kastner (group VP, Aberdeen Group) provides analyst commentary. Discussion covers AOL's customer refund offer, growth to 8M subscribers (1.2M added in last quarter), doubling of per-customer usage from 15 to 30 minutes/day after unlimited-access $20/month plan, 250,000-modem capacity producing a 1:32 modem-to-customer ratio. Small businesses disproportionately affected. Competition from Microsoft, AT&T, CompuServe, Prodigy. Kastner predicts issues sort themselves out within weeks; flags marketing-vs-infrastructure balance as ongoing tension. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","medium","Concrete numbers on AOL infrastructure constraints during peak consumer-ISP growth phase.","medium","Kastner appears as named Aberdeen analyst; broadband/ISP coverage area.","[DEFERRED]",""
"portal-software-infranet-real-time-billing-742af3","Portal Software (Inside Business): Infranet Real-Time Customer Management and Billing for Internet Services","Portal Software (Inside Business segment featuring Peter S. Kastner)","1998-01-01","primary-source","internet-service-billing-platforms","oral-history, vendor-event-archive, ai-generated-summary","transcript Portal Software Inside Business.md","8-minute Inside Business segment on Portal Software (Cupertino) and its Infranet platform for real-time customer management and billing of online services. Discusses the competitive Internet environment, flexibility of pricing models, time-to-market as strategic advantage, and Portal's vision since 1985 of infrastructure for Internet business growth. Includes Kastner as industry expert testimonial. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","medium","Primary-source coverage of one of the key billing/customer-management platforms for ISP and online-service growth.","medium","Kastner provides expert commentary; relates to Aberdeen ISP/online-services coverage.","[DEFERRED]","Date estimated late-1990s; pending source-video metadata verification."
"cnbc-sars-electronics-supply-chain-impact-92deff","CNBC: SARS Impact on Global Electronics Supply Chain (Kastner as Chief Research Officer, Aberdeen Group)","CNBC (anchors: Leslie, Martha; with Peter S. Kastner, Aberdeen Group)","2003-04-03","primary-source","global-supply-chain-disruption","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript SARS CNBC 4_3_2003.md","5-minute CNBC segment on SARS's potential impact on the global electronics industry. Kastner (Chief Research Officer, Aberdeen Group) frames the analysis: electronics industry worth ~$1 trillion globally; 115 million PCs assembled in Asia (many in China); RBC has cut PC/notebook demand projections. Discusses semiconductor, PC, and communications firm exposure (incl. Motorola closing a Singapore cell phone plant). CEO travel cancellations; Intel postponing developer forum. Kastner criticizes Chinese government's initial information withholding, citing executive concerns and Taiwan's president. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","high","Pete-flagged HIGH IMPACT. Kastner as Chief Research Officer providing primary supply-chain analysis at the start of the SARS crisis — exactly the kind of moment that anchors a 'prescience' case.","high","Kastner is the central analyst on-air; pure Aberdeen Group coverage of supply-chain disruption mechanics.","high","Pete-flagged as high-impact for prescience: Kastner identified the pandemic-driven supply-chain disruption mechanism in real time during SARS — pattern reactivated and intensified by COVID-19 17 years later. Confirm prescience scoring vs full prescience methodology when running Pass B/Pass C."
"nbc-nightly-sars-economic-impact-electronics-39b4da","NBC Nightly News (Tom Brokaw): SARS Economic Impact, Electronics Supply Chain, Asia Travel Bans","NBC Nightly News (Tom Brokaw; Ann Thompson reporting; with Peter S. Kastner, Aberdeen Group)","2003-04-03","primary-source","global-supply-chain-disruption","oral-history, expert-quote, broadcast-archive, ai-generated-summary","transcript SARS NBC Nightly News segment (4_3_2003).md","3-minute NBC Nightly News special edition (Tom Brokaw) on SARS economic fallout running concurrent with the Iraq war. Ann Thompson reports: spike in first-time jobless claims, sharp drop in US service-sector activity, 27% of companies banning Asia travel (Business Travel Coalition), $22M/month US airline ticket revenue at risk to Asia. Kastner ('high-tech consultant') warns of factory-closure risk and consumer-electronics availability impact. Pre-SARS Asian economies (ex-Japan) growing at 5%; SARS threatens US exports and overall recovery. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","high","Pete-flagged HIGH IMPACT. Network-evening-news placement gives Kastner's supply-chain thesis the broadest possible 2003 audience.","high","Kastner is the named expert on the electronics-industry impact angle in a Tom Brokaw segment.","high","Pete-flagged as high-impact for prescience: companion to the CNBC same-day segment. Mass-audience network broadcast of the pandemic-supply-chain mechanism documented 17 years before COVID-19."
"software-2000-it-paradigm-shift-client-server-9e9445","Software 2000 keynote: Kastner on the IT Paradigm Shift, Mainframe Evolution, and MIS Career Decisions","Software 2000 conference (featuring Peter S. Kastner, Aberdeen Group)","1992-01-01","primary-source","enterprise-IT-transformation","oral-history, vendor-event-archive, ai-generated-summary","transcript Software 2000.md","7-minute Kastner keynote/segment at the Software 2000 conference on IT in the 1990s. Uses an early-rounds-of-a-prizefight metaphor for IT-project exhaustion. Argues for a paradigm shift requiring some applications to be rebuilt from scratch; mainframes evolving (not dying) into managers of large-scale data networks; importance of flexible end-user access; need for clear vision in moving to enterprise-wide client-server. Outlines future MIS roles: security, corporate communications infrastructure, training. Closes on MIS career choice — technological infrastructure vs business-oriented competitive-advantage roles. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","medium","Concrete primary-source articulation of Kastner's early-1990s thesis on IT transformation.","high","Kastner is the named speaker; pure Aberdeen Group thought-leadership content.","[DEFERRED]","Date estimated 1992; pending source-video metadata verification."
"sybase-xi-launch-boats-analogy-multiple-databases-79c9ee","Sybase XI launch (Kastner clip): Boats Analogy for Multi-Database Strategy","Sybase (XI launch event featuring Peter S. Kastner)","1996-01-01","primary-source","RDBMS","oral-history, vendor-event-archive, ai-generated-summary","transcript Sybase XI launch.md","1-minute Kastner clip from Sybase XI launch event. Uses a boats analogy (solings for Olympic racing, tenders for moving people, cruisers for travel) to validate Sybase's strategy of offering different databases for different workloads: OLTP, data warehousing, disconnected users, mass distributed replicated systems. Kastner endorses the multi-product approach as 'very intelligent' market-needs alignment. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","low","Very short clip; thin analytical content.","medium","Kastner named on-camera providing competitive validation; Aberdeen RDBMS coverage area.","[DEFERRED]","Date estimated mid-1990s (Sybase System XI shipped 1996); pending source-video metadata verification."
"tandem-himalayan-airport-commercial-tpc-c-0b1c60","Tandem Himalayan 'Airport Commercial': Open Client-Server Platform with TPC-C Benchmarks","Tandem Computers (advertising featuring Peter S. Kastner and Chris Christiansen, IDC)","1995-01-01","primary-source","fault-tolerant-open-client-server","oral-history, vendor-event-archive, ai-generated-summary","transcript Tandem airport commercial.md","7-minute Tandem advertisement framed as a customer's dream sequence at an airport, building a case for the Himalayan K-10000 as the best open client-server platform. Customer testimonials: R.J. Montoro (UPS mobile messaging center, 3x volume in 3 months); Linda Fuhrer (VP MIS, Diagnostic) on K-10000 parallelism. TPC-C audited results showing Himalayan as the low-cost, high-performance, linearly scalable open champion at 1.3 TB database scale. Industry expert endorsements: Chris Christiansen (IDC), Peter Kastner (Aberdeen Group) on Tandem's transformation from proprietary/expensive/niche to open with strong price-performance. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","medium","Documents Tandem's late-Himalayan-era pivot from proprietary to open positioning, with Aberdeen and IDC validation.","medium","Kastner named alongside Chris Christiansen as the analyst providing third-party validation in advertising.","[DEFERRED]","Date estimated mid-1990s (K-10000 Himalayan + TPC-C 1.3TB era); pending source-video metadata verification."
"crossroads-june-1997-launch-variant-cut-caea12","Crossroads Software (June 1997, alternate cut): Front-Back Office Integration Industry of Collaborations","Crossroads Software (June 1997 alternate cut featuring Peter S. Kastner)","1997-06-01","primary-source","enterprise-application-integration","oral-history, vendor-event-archive, ai-generated-summary","transcript crossroads (6_1997).md","4-minute alternate cut of the June 1997 Crossroads Software launch material. Restates the integration thesis: no US company had fully integrated front-and-back-office apps; $1-5M per-integration cost; $50-100B US in-house programmer integration spend. Kastner introduces Crossroads as a 'great idea' after market validation. Emphasizes industry-specific and company-specific multi-vendor solutions working as if built by a single vendor. Companion to the primary June 1997 Crossroads launch transcript (separate row). Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","low","Alternate cut of the same June 1997 source material as the primary Crossroads launch transcript; lower marginal analytical value.","medium","Preserves an alternate edit of Kastner's Crossroads endorsement; useful for cross-referencing variant phrasings.","[DEFERRED]",""
"oracle-data-warehousing-launch-multimedia-spatial-d63644","Oracle Data Warehousing launch: Comprehensive Approach Including Multimedia and Spatial Data","Oracle Corporation (data warehousing launch featuring Peter S. Kastner)","1996-01-01","primary-source","data-warehousing","oral-history, vendor-event-archive, ai-generated-summary","transcript oracle data warehousing launch.md","3-minute Oracle data warehousing launch segment. Oracle announces a comprehensive view of data warehousing — client-side tools, development, analysis, data population from production systems — moving from individual technology pieces to a holistic approach. Frames data warehousing as a systems-integration job. Kastner provides expert commentary on the IT-business relationship reset, Oracle's expansion to multimedia/spatial/textual data, and data cleansing as a forcing function on operational systems. Source video archived in companion private repo shorttack/kastner-restricted-sources. AI-generated summary transcript ingested 2026-06-12.","CC-BY-NC-SA-4.0","medium","Documents the mid-1990s expansion of data warehousing beyond traditional structured data — relevant industry inflection.","medium","Kastner appears as analyst providing expert validation; Aberdeen data-warehousing coverage area.","[DEFERRED]","Date estimated mid-1990s; pending source-video metadata verification."
