"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"aberdeen-group","Aberdeen Group","firm","market-research","acquired","HCL Technologies (via Harte-Hanks then Aberdeen)","1988-2019","1999-managing-customers-with-next-generation-software-a-a5adc4","Boston-based technology research and consulting firm; study publisher"
"siebel-systems","Siebel Systems Inc.","company","CRM-software","acquired","Oracle Corporation","1993-2006","1999-managing-customers-with-next-generation-software-a-a5adc4","Dominant enterprise CRM vendor at time of study; acquired by Oracle for $5.8B in 2005; Siebel brand retained as Oracle CRM"
"oracle-corporation","Oracle Corporation","company","enterprise-software","active","","1977-present","1999-managing-customers-with-next-generation-software-a-a5adc4","Mentioned as ERP/database vendor entering CRM market; ultimately acquired Siebel and PeopleSoft"
"sap-ag","SAP AG","company","enterprise-software","active","SAP SE","1972-present","1999-managing-customers-with-next-generation-software-a-a5adc4","Major ERP vendor profiled as CRM entrant; SAP CRM became mySAP CRM then SAP C/4HANA"
"vantive-corporation","The Vantive Corporation","company","CRM-software","acquired","PeopleSoft (acquired 1999)","1992-1999","1999-managing-customers-with-next-generation-software-a-a5adc4","Second-tier enterprise CRM vendor; acquired by PeopleSoft for $433M in October 1999"
"clarify-inc","Clarify Inc.","company","CRM-software","acquired","Nortel Networks (acquired 1999) then Amdocs","1992-2002","1999-managing-customers-with-next-generation-software-a-a5adc4","Customer service/helpdesk CRM vendor; acquired by Nortel Networks for $2.1B in 1999; later divested to Amdocs"
"peoplesoft-inc","PeopleSoft Inc.","company","enterprise-software","acquired","Oracle Corporation (acquired 2004)","1987-2005","1999-managing-customers-with-next-generation-software-a-a5adc4","ERP vendor that acquired Vantive in 1999 to enter CRM market; acquired by Oracle for $10.3B in 2004"
"baan-company","Baan Company","company","enterprise-software","acquired","Invensys then SSA Global","1978-2000","1999-managing-customers-with-next-generation-software-a-a5adc4","European ERP vendor entering CRM; acquired Aurum in 1997; Baan itself acquired by Invensys in 2000"
"kana-communications","Kana Communications Inc.","company","CRM-software","acquired","Kana Software -> Verint Systems","1996-2014","1999-managing-customers-with-next-generation-software-a-a5adc4","eCRM email management startup; went public 1999; merged with Silknet 2000; acquired by Verint for $514M in 2014"
"silknet-software","Silknet Software Inc.","company","CRM-software","acquired","Kana Communications (merged 2000)","1996-2000","1999-managing-customers-with-next-generation-software-a-a5adc4","e-business CRM platform; merged with Kana Communications in $4.2B deal in 2000"
"e-piphany","E.piphany Inc.","company","marketing-automation","acquired","Infor (via S1 Corporation)","1997-2008","1999-managing-customers-with-next-generation-software-a-a5adc4","Marketing analytics and campaign management vendor; acquired by S1 Corporation then Infor"
"remedy-corporation","Remedy Corporation","company","helpdesk-software","acquired","BMC Software (acquired 2002)","1990-2004","1999-managing-customers-with-next-generation-software-a-a5adc4","ITSM and help desk software; acquired by BMC Software for $370M in 2002"
"applix","Applix Inc.","company","business-intelligence","acquired","Cognos then IBM","1983-2007","1999-managing-customers-with-next-generation-software-a-a5adc4","CRM and BI vendor; acquired by Cognos in 2007; Cognos acquired by IBM same year"
"goldmine-software","GoldMine Software Corporation","company","CRM-software","acquired","FrontRange Solutions","1990-2009","1999-managing-customers-with-next-generation-software-a-a5adc4","Mid-market SFA pioneer; acquired by FrontRange Solutions (now Ivanti)"
"great-plains","Great Plains Software","company","accounting-software","acquired","Microsoft (acquired 2001)","1981-2001","1999-managing-customers-with-next-generation-software-a-a5adc4","Mid-market ERP with CRM features; acquired by Microsoft for $1.1B; became Microsoft Dynamics GP"
"pivotal-corporation","Pivotal Corporation","company","CRM-software","acquired","CDC Software (via Chinadotcom)","1994-2004","1999-managing-customers-with-next-generation-software-a-a5adc4","Mid-market CRM vendor; acquired by Chinadotcom in 2004; later part of CDC Software"
"onyx-software","Onyx Software","company","CRM-software","acquired","Consona Corporation (2004)","1994-2004","1999-managing-customers-with-next-generation-software-a-a5adc4","Mid-market CRM; acquired by Consona in 2004"
"quintus-corporation","Quintus Corporation","company","call-center-software","acquired","Avaya (via Lucent)","1991-2000","1999-managing-customers-with-next-generation-software-a-a5adc4","Call center CRM solutions; acquired by Lucent Technologies (Avaya) in 2000"
"peregrine-systems","Peregrine Systems Inc.","company","IT-asset-management","dissolved","HP (via CA Technologies partial)","1981-2005","1999-managing-customers-with-next-generation-software-a-a5adc4","ITSM vendor; collapsed in accounting fraud scandal 2002; acquired by HP"
"pegasystems","Pegasystems Inc.","company","CRM-software","active","","1983-present","1999-managing-customers-with-next-generation-software-a-a5adc4","BPM and CRM platform; one of the few 1999-era vendors still independent and publicly traded"
"saleslogix","SalesLogix","company","CRM-software","acquired","Sage Group (acquired 2001) then Infor","1996-2014","1999-managing-customers-with-next-generation-software-a-a5adc4","Mid-market SFA; acquired by Sage for $100M in 2001; later sold to Swiftpage (now Infor CRM)"
"computer-associates","Computer Associates International","company","enterprise-software","active","CA Technologies -> Broadcom","1976-present","1999-managing-customers-with-next-generation-software-a-a5adc4","Profiled as CRM vendor; acquired by Broadcom in 2018; now Broadcom CA"
"epigraphx-iet","IET – Intelligent Electronics (IET/Epigraphx)","company","CRM-software","dissolved","","1997-2002","1999-managing-customers-with-next-generation-software-a-a5adc4","Niche CRM vendor; not to be confused with IE (Intelligent Electronics PC distributor); this is IET division of Epigraphx"
"broadbase","BroadBase Software","company","e-commerce-analytics","acquired","Kana Communications (merged 2001)","1996-2001","1999-managing-customers-with-next-generation-software-a-a5adc4","Customer intelligence platform; merged with Kana in 2001"
