tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
ia-architecture,Intel Architecture (IA) / x86,platform,Intel,1978-present,mature,"{'lifecycle_current': 'active', 'notes': 'Intel Architecture (IA/x86) is the dominant computing architecture for PCs, servers, and cloud infrastructure. Continuously evolved through multiple generations.', 'source': 'General knowledge'}",intel-ia2004-pk4-kc-edits-de9c37,IA32 and IA64 instruction sets; backbone of industry-standard computing covered in white paper.
xeon-processor,Intel Xeon Processor,hardware,Intel,1998-present,mature,"{'lifecycle_current': 'active', 'notes': 'Intel Xeon remains the dominant server processor family. Xeon Scalable (Sapphire Rapids, Emerald Rapids) are current. Some older generations entering EOL (Sapphire Rapids entered discontinuation Sept 2025) but platform is active.', 'source': 'https://wccftech.com/intel-announces-discontinuation-period-for-12th-generation-alder-lake-and-sapphire-rapids-scalable-cpus/'}",intel-ia2004-pk4-kc-edits-de9c37,Xeon MP widely used in 4-32 way mission-critical servers; E7501/E7505 chipsets.
titanium-ia64,Intel Itanium (IA-64),hardware,Intel,2001-2010s,growing,"{'lifecycle_current': 'discontinued', 'notes': 'Intel Itanium (IA-64) architecture fully discontinued. Final shipments July 2021, HPE support ended December 31, 2025. Architecture is dead.', 'source': 'https://www.tomshardware.com/news/intel-kills-itanium-processors-chips-hpe,38540.html'}",intel-ia2004-pk4-kc-edits-de9c37,Madison Itanium 2 released mid-2003; E8870 chipset; winning benchmark tests vs. RISC/Unix.
pci-express,PCI Express (PCI-E),protocol,PCI-SIG,2003-present,emerging,"{'lifecycle_current': 'active', 'notes': 'Standard-current. PCI Express Gen 5 widely deployed; Gen 6 specification released. Dominant I/O interconnect for servers and desktops.', 'source': 'https://pcisig.com/pci-express-60-specification'}",intel-ia2004-pk4-kc-edits-de9c37,Serial I/O replacing parallel PCI-X; 2.5 GHz per lane; up to x32; 10+ year architectural longevity predicted.
pci-x,PCI-X / PCI-X 2.0,protocol,PCI-SIG,1998-2010s,mature,"{'lifecycle_current': 'discontinued', 'notes': 'PCI-X was superseded by PCI Express. No longer manufactured; discontinued from all modern server platforms.', 'source': 'General technology history'}",intel-ia2004-pk4-kc-edits-de9c37,PCI-X doubles PCI to 1.06 GB/s at 133 MHz; PCI-X 2.0 doubles again to 2.1 GB/s at 266 MHz; 4.2 GB/s at 533 MHz.
ddr2-memory,DDR2 SDRAM Memory,hardware,Various,2004-2010s,pre-market,"{'lifecycle_current': 'discontinued', 'notes': 'DDR2 SDRAM succeeded by DDR3/4/5. Major manufacturers ending DDR3/DDR4 production by late 2025; DDR2 was already out of mainstream production years earlier.', 'source': 'https://www.thefpsreview.com/2025/02/18/leading-dram-manufacturers-will-phase-out-ddr3-and-ddr4-memory-this-year-its-claimed/'}",intel-ia2004-pk4-kc-edits-de9c37,Debuts 2004 as DDR2-400; draws half the power of DDR400; 40% less than DDR333; critical for blade/1U servers.
ddr-memory,DDR SDRAM Memory,hardware,Various,2000s,mature,"{'lifecycle_current': 'discontinued', 'notes': 'DDR SDRAM (DDR1) was succeeded by DDR2, DDR3, DDR4, and DDR5. DDR1 has been out of mainstream production for over a decade. Fully discontinued by major manufacturers.', 'source': 'https://en.wikipedia.org/wiki/DDR_SDRAM'}",intel-ia2004-pk4-kc-edits-de9c37,"DDR266 (2.1 GB/s), DDR333 (2.6 GB/s), DDR400 (3.2 GB/s per channel); dual-channel = 6.4 GB/s."
ipmi,Intelligent Platform Management Initiative (IPMI),standard,Various,1998-present,growing,"{'lifecycle_current': 'legacy-supported', 'notes': 'IPMI (Intelligent Platform Management Interface) is legacy-supported. Succeeded by Redfish (DMTF standard) and modern BMC implementations. Still present in many existing servers but Redfish is the preferred modern standard.', 'source': 'https://www.dmtf.org/standards/redfish'}",intel-ia2004-pk4-kc-edits-de9c37,"Hardware server management interface; 150+ adopters; v1.5 released 2001; enables heterogeneous server management, self-healing, predictive failure."
infiniband,InfiniBand (IBA),protocol,IBTA,2001-present,emerging,"{'lifecycle_current': 'active', 'notes': 'Dominant interconnect in HPC and AI data centers. InfiniBand switch sales surged Q2 2025 driven by NVIDIA Blackwell Ultra. NVIDIA continues manufacturing HDR/NDR InfiniBand products.', 'source': 'https://www.delloro.com/news/infiniband-switch-sales-surged-in-2q-2025-while-ethernet-maintains-market-lead-for-ai-back-end-networks/'}",intel-ia2004-pk4-kc-edits-de9c37,Low-latency data center communications; expected to blossom with PCI-E; 4x (10 Gbps) native IBA no longer bottlenecked by PCI-X.
xeon-nocona,Intel Xeon Nocona (next-gen Xeon),hardware,Intel,2004,pre-market,"{'lifecycle_current': 'discontinued', 'notes': 'Intel Xeon Nocona was a circa-2004 Xeon processor (first Prescott-based Xeon with EM64T). Long discontinued; succeeded through many subsequent Xeon generations.', 'source': 'https://ark.intel.com/content/www/us/en/ark/products/codename/1001/products-formerly-nocona.html'}",intel-ia2004-pk4-kc-edits-de9c37,Code name Nocona; debuts 2004 at higher clock speeds; complemented by Lindenhurst chipset.
