"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"hercules-inc","Hercules Inc.","company","specialty-chemicals","acquired","Ashland Inc. ($2.6B acquisition 2008)","1912-2009","1993-hercules-sap-28344a","Chemical company headquartered Wilmington DE; addressed to William Phile CSD Building 8145; acquired by Ashland for $2.6B in 2008"
"aberdeen-group","Aberdeen Group","firm","market-research","acquired","Aberdeen Strategy & Research (now part of Informa)","1988-2001","1993-hercules-sap-28344a","Aberdeen described as 'one of the top market research firms in the U.S.'"
"sap-ag","SAP AG","company","enterprise-software","active","SAP SE (renamed)","1972-present","1993-hercules-sap-28344a","R3 was redevelopment of mainframe R2 for Unix; original HP 9000 Series 800 was targeted hardware platform for R3 rewrite; R4 already in development"
"hewlett-packard","Hewlett-Packard Company","company","enterprise-computing","active","HP Inc. + Hewlett Packard Enterprise (2015 split)","1939-present","1993-hercules-sap-28344a","1993 market leader in commercial RISC/Unix with 45%+ market share; HP 9000 Series 800 was Aberdeen's recommendation; HP PSO claimed world's largest Unix services org"
"digital-equipment-corp","Digital Equipment Corporation","company","enterprise-computing","acquired","Compaq (1998) -> HP (2002)","1957-1998","1993-hercules-sap-28344a","DEC's Alpha/OSF1 was 5th Unix attempt in 5 years; Aberdeen strongly recommended against DEC for Hercules; DEC acquired by Compaq for $9.6B in 1998 — outcome validated Aberdeen's concerns"
"ibm","International Business Machines Corporation","company","enterprise-computing","active","","1911-present","1993-hercules-sap-28344a","IBM RS/6000 had 15% RISC/Unix market share 1992; AIX 3.2 stability issues noted; RIOS to PowerPC transition underway; IBM created new AIX development center in Toronto"
"oracle-corp","Oracle Corporation","company","database-software","active","","1977-present","1993-hercules-sap-28344a","Oracle RDBMS selected as back-end database for SAP R3 (replacing SAP's proprietary mainframe DB); HP 9000 Series 800 was Oracle's most important Unix revenue platform"
"software-ag","Software AG","company","enterprise-software","active","","1969-present","1993-hercules-sap-28344a","ADABAS cited as alternative database option for higher performance SAP R3 deployments"
"hitachi","Hitachi Limited","company","electronics-manufacturing","active","","1910-present","1993-hercules-sap-28344a","Developing next-generation high-end PA-RISC processors for HP 9000 product line"
"samsung","Samsung Electronics","company","electronics-manufacturing","active","","1969-present","1993-hercules-sap-28344a","Developing low-end PA-RISC processors for HP product line"
"apple-computer","Apple Computer","company","personal-computing","active","Apple Inc. (2007)","1976-present","1993-hercules-sap-28344a","Part of IBM-Apple-Motorola alliance developing PowerPC 600 processor — IBM's planned RS/6000 successor"
"motorola","Motorola","company","semiconductors","active","Motorola Solutions + Motorola Mobility (2011 split)","1928-present","1993-hercules-sap-28344a","Part of AIM alliance (Apple-IBM-Motorola) developing PowerPC 600; IBM planned to migrate RS/6000 to PowerPC"
