obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,methodology_code,source_page,notes
1998-sales-4cde3f-OBS-001,1998-internet-sales-report-4cde3f,aberdeen-group,,market-data,1998,Report price,$1495,high,document-review,Cover,170-page report; premium-priced flagship Aberdeen publication
1998-sales-4cde3f-OBS-002,1998-internet-sales-report-4cde3f,aberdeen-group,,market-data,1998,Report page count,170 pages; 39 explanatory illustrations,high,document-review,Cover,Most comprehensive Aberdeen internet study in this batch
1998-sales-4cde3f-OBS-003,1998-internet-sales-report-4cde3f,us-internet-retail-market,,market-data,1997,Internet market state — 1997,Described as early mainstream adoption phase with well-publicized success stories,high,document-review,Chapter 1,"Amazon, eBay, Dell were primary success stories in 1997"
1998-sales-4cde3f-OBS-004,1998-internet-sales-report-4cde3f,us-internet-retail-market,,market-data,1997,Internet business state assessment,Staggering success stories driving double-digit growth rates; company executives delegating commerce site development to marketing and IS managers,high,document-review,Chapter 1,Less than a year earlier similar projects required intense internal lobbying — pace had accelerated
1998-sales-4cde3f-OBS-005,1998-internet-sales-report-4cde3f,us-internet-retail-market,,viability-prediction,1998,Mainstream consumer Internet adoption trajectory,Internet will transition from early adopter to mainstream consumer channel; executives need realistic market potential assessment,high,industry-analysis,Chapter 1,
1998-sales-4cde3f-OBS-006,1998-internet-sales-report-4cde3f,us-internet-retail-market,,actual-outcome,2021,Internet retail mainstream adoption outcome,U.S. e-commerce reached $960B in 2021; nearly 20% of all retail sales conducted online,verified,industry-analysis,Post-publication,US Census Bureau data; mainstream adoption achieved decisively
1998-sales-4cde3f-OBS-007,1998-internet-sales-report-4cde3f,,commerce-application-platform,technology-assessment,1998,Commerce Application Platform (CAP) maturity,Emerging category; Aberdeen taxonomy organizes internet storefront platforms for selection guidance,high,competitive-profiling,Chapter 1,CAP taxonomy was Aberdeen's contribution to e-commerce platform evaluation
1998-sales-4cde3f-OBS-008,1998-internet-sales-report-4cde3f,,digital-payment-systems,technology-assessment,1998,Digital payment maturity and convergence,Digital payment enabling convergence of physical and virtual corporations; PayPal launched same year,high,industry-analysis,Chapter 1,PayPal launched 1998; SSL-based payment becoming viable
1998-sales-4cde3f-OBS-009,1998-internet-sales-report-4cde3f,,broadband-internet,technology-assessment,1998,Bandwidth as e-commerce constraint,Working with available consumer bandwidth is a key challenge limiting shopping experience quality,high,industry-analysis,Chapter 2,Aberdeen correctly identified bandwidth as the primary constraint; solved by DSL/cable 1999-2003
1998-sales-4cde3f-OBS-010,1998-internet-sales-report-4cde3f,,broadband-internet,actual-outcome,2005,Bandwidth constraint resolution,Broadband (DSL and cable) achieved majority U.S. household penetration by 2005; resolved shopping experience constraint,verified,industry-analysis,Post-publication,
1998-sales-4cde3f-OBS-011,1998-internet-sales-report-4cde3f,amazon,,strategy-classification,1997,Amazon strategy classification,Internet pure-play retailer; started books; expanding to consumer electronics and general merchandise by 1998,high,competitive-profiling,Chapter 1,Amazon referenced as success story in 1997 state of internet business
1998-sales-4cde3f-OBS-012,1998-internet-sales-report-4cde3f,amazon,,actual-outcome,2024,Amazon viability outcome,Amazon achieved $638B net sales and $2.4T market cap by 2024; most valuable retailer in history,verified,industry-analysis,Post-publication,Statista and Amazon annual reports
1998-sales-4cde3f-OBS-013,1998-internet-sales-report-4cde3f,ebay,,strategy-classification,1997,eBay strategy classification,Consumer auction marketplace; IPO in 1998; model distinct from retailer-operated storefronts,high,competitive-profiling,Chapter 2,eBay IPO September 1998; stock soared on first day
1998-sales-4cde3f-OBS-014,1998-internet-sales-report-4cde3f,ebay,,actual-outcome,2024,eBay viability outcome,eBay still active with $75B GMV in 2024; profitable but significantly outpaced by Amazon and mass-market retailers,verified,industry-analysis,Post-publication,
1998-sales-4cde3f-OBS-015,1998-internet-sales-report-4cde3f,yahoo,,strategy-classification,1998,Yahoo e-commerce strategy classification,Portal-to-commerce pivot; acquired Viaweb in 1998 for Yahoo Stores; positioned as e-commerce infrastructure provider,high,competitive-profiling,Overview,Yahoo acquired Viaweb (founded by Paul Graham) and relaunched as Yahoo Stores
1998-sales-4cde3f-OBS-016,1998-internet-sales-report-4cde3f,netscape,,strategy-classification,1998,Netscape competitive position,Leading browser and e-commerce enabler competing with Microsoft IE; strategic asset in internet commerce ecosystem,high,competitive-profiling,Chapter 1,AOL acquired Netscape for $4.2B in November 1998
1998-sales-4cde3f-OBS-017,1998-internet-sales-report-4cde3f,netscape,,actual-outcome,1998,Netscape actual outcome,Acquired by AOL for $4.2B in November 1998; IE won browser wars by 2000; Netscape brand discontinued by 2008,verified,industry-analysis,Post-publication,
1998-sales-4cde3f-OBS-018,1998-internet-sales-report-4cde3f,internet-shopping-network,,actual-outcome,1998,Internet Shopping Network outcome,Sold computer store unit to Cyberian Outpost in 1998 to focus on First Auction; gradually subsumed by larger players,verified,industry-analysis,Post-publication,CNET reported the divestiture in 1998
1998-sales-4cde3f-OBS-019,1998-internet-sales-report-4cde3f,,internet-browser,technology-assessment,1998,Browser technology competitive status,Browser wars between Netscape Navigator and Microsoft IE defining internet access UX; outcome critical to e-commerce adoption,high,competitive-profiling,Chapter 1,IE won browser wars by 2000; Chrome became dominant by 2010s
1998-sales-4cde3f-OBS-020,1998-internet-sales-report-4cde3f,us-internet-retail-market,,market-data,1998,Internet retail revenue projection — 1998,Total 1998 online retail revenues expected to surpass $13 billion,high,statistical-analysis,Chapter 2,Forbes Dec 1998 and B2B commerce was $43B per Forrester Research
1998-sales-4cde3f-OBS-021,1998-internet-sales-report-4cde3f,us-internet-retail-market,,viability-prediction,1998,Virtual corporation model viability,Internet enables 'virtual corporation' model delivering real profit through digital channel integration,high,expert-opinion,Chapter 1,Report title encapsulates prediction: Virtual Corporations Real Profit
1998-sales-4cde3f-OBS-022,1998-internet-sales-report-4cde3f,us-internet-retail-market,,expert-opinion,1998,Internet marketing strategy classification,Emerging online marketing strategies including portals,unknown [REVIEW], and targeted advertising,high,"industry-analysis, Chapter 1,  | Confidence not verified; flagged for review"
