obs_id,study_id,entity_id,tech_id,observation_type,year_observed,metric_name,metric_value,confidence,methodology_code,source_page,notes
nti-12-client-server-goals-1993-15a519-OBS-001,nti-12-client-server-goals-1993-15a519,,client-server,expert-opinion,1993,Client-server industry consensus,Industry consensus that client-server is vision of next-generation computing; installed base technology does not yet support the vision,high,industry-analysis,1,Wrap-up finding #1; key qualification distinguishing vision from reality
nti-12-client-server-goals-1993-15a519-OBS-002,nti-12-client-server-goals-1993-15a519,,client-server,market-size,1993,Client-related share of IT budget,"Nearly 40% of typical IT budget consumed by PCs, terminals, workstations, LANs, and client-related expenses",high,industry-analysis,3,Aberdeen research finding
nti-12-client-server-goals-1993-15a519-OBS-003,nti-12-client-server-goals-1993-15a519,,intel-486,benchmark-result,1993,Commercial workstation price point,Intel 486-based and RISC-based workstations capable of most demanding C-S applications available at low price points in 1993,high,technology-assessment,3,Driving earlier-than-expected availability of client-server applications
nti-12-client-server-goals-1993-15a519-OBS-004,nti-12-client-server-goals-1993-15a519,,intel-486,viability-prediction,1993,Commercial workstation price target,"By 1994, powerful client platforms (commercial workstations) under $3,500 with 32-bit multitasking OS (Unix, Windows NT)",high,technology-assessment,4,"Commercial workstation market range defined as $3,500-$7,000 for explosive growth"
nti-12-client-server-goals-1993-15a519-OBS-005,nti-12-client-server-goals-1993-15a519,,intel-486,actual-outcome,1994,Commercial workstation price target — outcome,[UNVERIFIED],verified,technology-assessment,,
nti-12-client-server-goals-1993-15a519-OBS-006,nti-12-client-server-goals-1993-15a519,,smp,viability-prediction,1993,Multiprocessor servers as standard,Advanced multiprocessor architecture servers will become standard platforms of mid-to-late 1990s,high,technology-assessment,5,New machines scalable from low-to-high with microprocessor board upgrades
nti-12-client-server-goals-1993-15a519-OBS-007,nti-12-client-server-goals-1993-15a519,,smp,actual-outcome,1998,Multiprocessor servers as standard — outcome,[UNVERIFIED],verified,technology-assessment,,
nti-12-client-server-goals-1993-15a519-OBS-008,nti-12-client-server-goals-1993-15a519,novell,netware,competitive-position,1993,Novell NetWare LAN OS market position,Dominant LAN OS market share; NetWare 4.0 moving to enterprise-wide directory services,high,vendor-profiling,8,SPX/IPX and TCP/IP are dominant transport protocols for client-server
nti-12-client-server-goals-1993-15a519-OBS-009,nti-12-client-server-goals-1993-15a519,banyan-systems,banyan-vines,competitive-position,1993,Banyan Vines market position,High-end LAN market leader with sophisticated enterprise directory services,high,vendor-profiling,8,More advanced than Novell at enterprise level
nti-12-client-server-goals-1993-15a519-OBS-010,nti-12-client-server-goals-1993-15a519,microsoft,lan-manager,competitive-position,1993,Microsoft LAN Manager market position,Has not achieved dominance despite high product quality marks and early DEC/IBM relationships,high,vendor-profiling,8,Future success depends on NT integration and stronger indirect channel distribution
nti-12-client-server-goals-1993-15a519-OBS-011,nti-12-client-server-goals-1993-15a519,,object-oriented,viability-prediction,1993,OO architecture timeline,Within 3-4 years client-server systems software will evolve to object-oriented architecture,medium,technology-assessment,8,"NeXTSTEP, Taligent Pink, Microsoft Cairo, SunSoft D.O.E. as forerunners; no clear winner yet"
nti-12-client-server-goals-1993-15a519-OBS-012,nti-12-client-server-goals-1993-15a519,,object-oriented,actual-outcome,1997,OO architecture adoption — outcome,[UNVERIFIED],verified,technology-assessment,,
nti-12-client-server-goals-1993-15a519-OBS-013,nti-12-client-server-goals-1993-15a519,,fddi,benchmark-result,1993,FDDI network cost,"100 Mbps performance; $2,000 per connection on fiber; CDDI experimenting for unshielded twisted pair",high,technology-assessment,10,ATM also being explored; network capacity will be overwhelmed by client-server applications
nti-12-client-server-goals-1993-15a519-OBS-014,nti-12-client-server-goals-1993-15a519,,client-server,viability-prediction,1993,Client-server network capacity demand,"Client-server computing will consume enormous amounts of network capacity; multimedia, video conferencing, high data volumes will overwhelm current capacity",high,expert-opinion,10,Key planning constraint Aberdeen highlights for IS executives
