"id","field","kept_value","all_values","study_count"
"247-media","notes","Merger of Petry Interactive Katz Millennium Marketing Interactive Imaginations and Riddler.com; full-service ad network; New York NY","Merger of Petry Interactive Katz Millennium Marketing Interactive Imaginations and Riddler.com; full-service ad network; New York NY || are||||||88| |StoryMail||||||90| |TMX Interactive||||||92| |24/7 Media||||||94| |Xpedite (MessageREACH, e-mail service)||||||96| |","2"
"3com","entity_name","3Com Corporation","3Com || 3Com Corporation","6"
"3com","sector","networking-equipment","networking || networking-equipment || networking-hardware","6"
"3com","status","dissolved","acquired || dissolved","6"
"3com","successor","Hewlett-Packard (2010) -> HPE Aruba Networks","Acquired by HP in 2010 || HP Inc. || HP/HPE (acquired 2010) || Hewlett-Packard (2010) -> HPE Aruba Networks || Hewlett-Packard -> HPE Aruba Networks || hewlett-packard","6"
"3com","notes","Headquarters: Santa Clara, CA. Switching Division in Boxborough, MA. Acquired Synernetics 1993.","Acquired HP 2010 for $2.7B; integrated into HPE Aruba || Headquarters: Santa Clara, CA. Switching Division in Boxborough, MA. Acquired Synernetics 1993. || Mentioned as creator of boundary routing concept that Cisco 1000 series responded to || Networking equipment vendor; cited as next-gen network supplier || Referenced in multiple 1997 Impacts","6"
"3com-corporation","notes","**Supplier**|**Abstracts**||||**26**| |2Wire, Inc.|||||27| |3Com Corporation|||||30| |Broadcom Corporation|||||33| |Cisco Systems, Inc.|","**Supplier**|**Abstracts**||||**26**| |2Wire, Inc.|||||27| |3Com Corporation|||||30| |Broadcom Corporation|||||33| |Cisco Systems, Inc.| || Global internetworking vendor; held 40% NIC market share and led Ethernet managed hubs.","2"
"ABERDEEN-GROUP","notes","Author of study; Boston-based IT analyst firm. Author Tim Sloane is credited.","Author of study; Boston-based IT analyst firm. Author Tim Sloane is credited. || Author of this study; Boston-based IT analyst firm.","5"
"DEC","sector","minicomputer-enterprise-computing","computer-hardware-software || minicomputer || minicomputer-enterprise-computing","3"
"DEC","status","dissolved","acquired || dissolved","3"
"DEC","successor","Compaq (1998) then HP (2002)","Compaq (1998) -> HP (2002) || Compaq (1998) then HP (2002) || acquired by Compaq 1998","3"
"DEC","notes","Primary publisher and subject; headquartered in Maynard MA; Peter S. Kastner led Marketing and the DECtp product work documented in this journal","Headquartered Maynard MA; $11B+ revenue FY1988; 120000+ employees; primary subject of document. Known as Digital internally. || Minicomputer pioneer || Primary publisher and subject; headquartered in Maynard MA; Peter S. Kastner led Marketing and the DECtp product work documented in this journal","3"
"ENT-ABD-001","notes","Published this independent case study. Aberdeen OnSite Analyst conducted multi-month on-site interviews. Received background from Microsoft competitors.","Published this independent case study. Aberdeen OnSite Analyst conducted multi-month on-site interviews. Received background from Microsoft competitors. || Published this vendor-sponsored profile. || Published this vendor-sponsored profile. Aberdeen Group was acquired by Harte-Hanks in 2001. || Publisher of this Technology Viewpoint.","4"
"ENT-S1-001","entity_type","Vendor","Vendor || vendor","2"
"ENT-S1-001","sector","Computer Telephony","Computer Telephony || technology","2"
"ENT-S1-001","status","Acquired","Acquired || active","2"
"ENT-S1-001","years_active","1983–2013 (as independent/Intel sub); Dialogic Inc. continues","1911-present || 1983–2013 (as independent/Intel sub); Dialogic Inc. continues","2"
"ENT-S1-001","notes","Acquired by Intel for ~$780M in 1999. Spun out by Intel in 2013. Acquired Cantata/Brooktrout via EAS Group in 2007. Still active as Dialogic Inc.","Acquired by Intel for ~$780M in 1999. Spun out by Intel in 2013. Acquired Cantata/Brooktrout via EAS Group in 2007. Still active as Dialogic Inc. || Subject vendor; global IT company headquartered in Armonk NY","2"
"ENT-S1-002","entity_name","IBM Communications Server","Aberdeen Group || IBM Communications Server","2"
"ENT-S1-002","entity_type","Research Firm","Research Firm || product","2"
"ENT-S1-002","sector","IT Research & Advisory","IT Research & Advisory || technology","2"
"ENT-S1-002","status","Acquired","Acquired || legacy","2"
"ENT-S1-002","successor","Aberdeen Group (Harte-Hanks 2001; Informa 2013)","Aberdeen Group (Harte-Hanks 2001; Informa 2013) || IBM z/OS Communications Server","2"
"ENT-S1-002","years_active","1988–present (brand continues)","1988–present (brand continues) || 1994-2024","2"
"ENT-S1-002","notes","Acquired by Harte-Hanks in 2001; brand subsequently owned by Informa. Study author.","Acquired by Harte-Hanks in 2001; brand subsequently owned by Informa. Study author. || End of support announced April 2024 for distributed versions; z/OS version persists","2"
"ENT-S1-003","entity_name","IBM Personal Communications","Brooktrout Technologies || IBM Personal Communications","2"
"ENT-S1-003","entity_type","product","Vendor || product","2"
"ENT-S1-003","sector","Computer Telephony","Computer Telephony || technology","2"
"ENT-S1-003","status","Acquired","Acquired || legacy","2"
