tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
ibm-mqseries,IBM MQSeries,platform,IBM,1993-2002,emerging,active,aberdeen-1995-commercial-messaging,"Renamed IBM MQ in 2014; Aberdeen identifies as leading Commercial Messaging product; supports multithreading, assured once-and-only-once delivery, CICS/Tuxedo/Encina integration"
store-and-forward-messaging,Store-and-Forward Messaging,protocol,various,1970s-present,emerging,active,aberdeen-1995-commercial-messaging,"Core underlying technology of Commercial Messaging; evolved into modern message queuing and event streaming (Kafka, RabbitMQ, AWS SQS, etc.)"
commercial-messaging,Commercial Messaging,framework,various,1993-2000,emerging,active,aberdeen-1995-commercial-messaging,Aberdeen Group term for store-and-forward middleware category; market below $100M in 1995; foundational to modern message-oriented middleware
lotus-notes,Lotus Notes,application,Lotus Development / IBM,1989-present,mature,legacy-supported,aberdeen-1995-commercial-messaging,Billion-dollar groupware market leader using store-and-forward and Workflow Manager; now HCL Notes
dce,Distributed Computing Environment (DCE),framework,OSF / The Open Group,1990-2000,mature,obsolete,aberdeen-1995-commercial-messaging,NOS-market product providing directories and APIs for location independence; does not provide direct messaging APIs; hundred-million range submarket
corba,CORBA (Common Object Request Broker Architecture),framework,OMG Consortium,1991-2010,emerging,obsolete,aberdeen-1995-commercial-messaging,Aberdeen finds CORBA will not provide Commercial Messaging in near future; distributed objects market below $10M in 1995
visual-basic,Microsoft Visual Basic,language,Microsoft,1991-present,mature,legacy-supported,aberdeen-1995-commercial-messaging,Dominant Fortune-1000 departmental development tool alongside PowerBuilder; now VB.NET (active) and VB6 (legacy)
powerbuilder,Powersoft PowerBuilder,application,Powersoft / Sybase / Appeon,1990-present,mature,legacy-supported,aberdeen-1995-commercial-messaging,Low-end CADE cited as dominant Fortune-1000 tool; MQSeries integrates with PowerBuilder; now Appeon PowerBuilder
seer-hps,Seer*HPS,application,Seer Technologies,early 1990s-late 1990s,emerging,obsolete,aberdeen-1995-commercial-messaging,Second-generation CADE with publish-and-subscribe messaging; application partitioning; messaging not portable outside toolset
forte-cade,Forte (Second-Generation CADE),application,Forte Software,1991-1999,emerging,obsolete,aberdeen-1995-commercial-messaging,"Leading second-generation CADE with Commercial Messaging, repository/directory, and application partitioning; acquired by Sun 1999, Oracle 2010"
x400,X.400 Electronic Mail Protocol,protocol,ITU / ISO,1984-2000,mature,obsolete,aberdeen-1995-commercial-messaging,1980s store-and-forward email API market; predecessor context for Commercial Messaging market sizing below $100M
tcp-ip,TCP/IP,protocol,IETF,1983-present,mature,active,aberdeen-1995-commercial-messaging,One of multiple communications protocols simultaneously supported by MQSeries
sna,IBM SNA (Systems Network Architecture),protocol,IBM,1974-2000,mature,obsolete,aberdeen-1995-commercial-messaging,Legacy IBM networking protocol supported simultaneously by MQSeries
netbios,NetBIOS,protocol,IBM / Microsoft,1983-2000,mature,obsolete,aberdeen-1995-commercial-messaging,"LAN protocol supported by MQSeries alongside TCP/IP, SNA, and DECnet"
decnet,DECnet,protocol,Digital Equipment Corporation,1975-2000,declining,obsolete,aberdeen-1995-commercial-messaging,DEC networking protocol supported by MQSeries
cics,IBM CICS (Customer Information Control System),platform,IBM,1969-present,mature,legacy-supported,aberdeen-1995-commercial-messaging,Major TP monitor integrated with MQSeries for unit-of-work commitment and backout; still active on mainframes
tuxedo,Tuxedo TP Monitor,platform,AT&T / Novell / BEA / Oracle,1984-present,mature,legacy-supported,aberdeen-1995-commercial-messaging,TP monitor integrated with MQSeries for transactional messaging; now Oracle Tuxedo
encina,Encina TP Monitor,platform,Transarc / IBM,1991-2000s,mature,obsolete,aberdeen-1995-commercial-messaging,TP monitor integrated with MQSeries; acquired by IBM from Transarc
edi,EDI (Electronic Data Interchange),protocol,various standards bodies,1960s-present,mature,legacy-supported,aberdeen-1995-commercial-messaging,Market in which store-and-forward messaging is embedded; Aberdeen notes EDI as part of the broader messaging ecosystem
windows-95,Windows 95,platform,Microsoft,1995-2001,emerging,obsolete,aberdeen-1995-commercial-messaging,MQSeries support described as upcoming at time of study
windows-nt,Windows NT,platform,Microsoft,1993-2000,emerging,obsolete,aberdeen-1995-commercial-messaging,MQSeries support described as upcoming at time of study
hp-openmail,HP OpenMail,application,Hewlett-Packard,early 1990s-2000s,emerging,obsolete,aberdeen-1995-commercial-messaging,Messaging APIs for multi-standard e-mail integration; focused on e-mail market; transaction support planned within 2 years of study
adabas,Software AG ADABAS,platform,Software AG,1971-present,mature,legacy-supported,aberdeen-1995-commercial-messaging,RDBMS with store-and-forward architecture; not yet providing full Commercial Messaging developer APIs in 1995
publish-and-subscribe,Publish-and-Subscribe Messaging,framework,various,1990s-present,emerging,active,aberdeen-1995-commercial-messaging,Emerging capability in second-generation CADEs; allows applications to declare themselves to repositories and clients to subscribe automatically; foundation of modern event-streaming
mdp-workflow-manager,MDp Workflow Manager,application,"Early, Cloud & Co.",mid-1990s,emerging,obsolete,aberdeen-1995-commercial-messaging,Workflow Manager product compatible with MQSeries and in-house Commercial Messaging implementations
visualage,IBM VisualAge,application,IBM,1993-2001,emerging,obsolete,aberdeen-1995-commercial-messaging,IBM development toolset integrating with MQSeries alongside VisualGen
visualgen,IBM VisualGen,application,IBM,1993-2000,emerging,obsolete,aberdeen-1995-commercial-messaging,IBM development toolset integrating with MQSeries
beyond-toolset,Beyond Workflow Toolset,application,Beyond Inc. / Banyan Systems,early 1990s,emerging,obsolete,aberdeen-1995-commercial-messaging,Workflow software acquired by Banyan Systems via acquisition of Beyond Inc.
