tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
das-internal,Internal Direct-Attached Storage (DAS),storage,Various,1980s-2003,mature,legacy-active,maxtor-ramp-interview-guide-first-draft-c68ebd,Server-internal disk storage; one of four storage architecture categories probed in interview guide.
das-external,External Direct-Attached Storage (DAS),storage,Various,1990s-2003,mature,legacy-active,maxtor-ramp-interview-guide-first-draft-c68ebd,External disk enclosures directly attached to servers; distinct from SAN/NAS in interview taxonomy.
san,Storage Area Network (SAN),storage,Various,1990s-2000s,growing,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Shared block storage fabric; one of four architecture categories. [FROM CACHE]
nas,Network Attached Storage (NAS),storage,Various,1990s-2000s,growing,active,maxtor-ramp-interview-guide-first-draft-c68ebd,File-level network storage; one of four architecture categories. [FROM CACHE]
scsi-disk,SCSI Hard Disk Drive,hardware,Various,1986-2006,mature,legacy,maxtor-ramp-interview-guide-first-draft-c68ebd,High-performance spinning disk; one of three disk technology types in interview taxonomy (SCSI / FC / ATA).
fibre-channel,Fibre Channel (FC),protocol,Various,1990s-2000s,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,High-performance disk interface for SAN; one of three disk tech types probed. [FROM CACHE]
ata-disk,ATA Hard Disk Drive,hardware,Maxtor; Various,1986-2006,growing,superseded-by-sata,maxtor-ramp-interview-guide-first-draft-c68ebd,Proposed midline disk technology for MaXLine; subject of study. ATA later superseded by Serial ATA (SATA) after 2003; midline SATA became mainstream enterprise tier.
serial-ata,Serial ATA (SATA),hardware,Various,2000s,emerging,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Next-generation ATA interface; emerging at time of study; became dominant midline/nearline enterprise tier post-2005. [FROM CACHE]
raid-5,RAID 5 (Parity RAID),storage,Various,1990s-2003,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Parity-based redundancy; listed in guide's data protection question as primary redundancy method.
raid-1,RAID 1 (Local Mirroring),storage,Various,1990s-2003,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Mirror-based redundancy; listed alongside parity RAID in data protection taxonomy.
remote-mirroring,Remote Mirroring,storage,Various,1990s-2003,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Synchronous/asynchronous disaster recovery replication; listed in data protection question.
point-in-time-copy,Point-in-Time Copy / Snapshot,storage,Various,1990s-2003,growing,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Both indexed and full-volume point-in-time copies probed; forerunner of modern snapshot/clone technologies.
tape-automation,Tape Automation,storage,Various,1980s-2003,mature,legacy-active,maxtor-ramp-interview-guide-first-draft-c68ebd,Tape libraries with automated loaders; probed as the lowest tier of the storage hierarchy below disk.
oltp-app,Online Transaction Processing (OLTP),application,Various,1970s-2003,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Traditional update-intensive database workload; first application category in interview classification framework.
sap-r3,SAP R/3,application,SAP,1992-2003,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Cited as exemplar of Contemporary OLTP (mixed read/write). SAP later evolved into S/4HANA.
data-warehousing,Data Warehousing,application,Various,1990s-2003,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,BI/query-intensive sequential-read workload; one of eight application categories. [FROM CACHE]
email-storage,Enterprise E-Mail Storage,application,Various,1990s-2003,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Personal productivity file type; classified as write-once/read-few; cited as key candidate for midline storage migration.
cad-cam,CAD/CAM and Interactive Design,application,Various,1990s-2003,mature,active,maxtor-ramp-interview-guide-first-draft-c68ebd,Large-file mixed read/write application category in classification taxonomy.
