"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"ibm-aberdeen-wip-deck-2-704ff9-OBS-001","ibm-aberdeen-wip-deck-2-704ff9","aberdeen-group","","framework-factor","2004","aberdeen-business-model","Aberdeen's business model: drive results through independent research via Agenda Sponsorships, Benchmarking Research, AOCS, Prospect Symposiums, Value Assessment Tools, Competitive Analysis Frameworks, Win/Loss Analysis, Growth/GTM Strategy Services.","high","ingest-extraction","framework-development","slide-2","Aberdeen-Confidential."
"ibm-aberdeen-wip-deck-2-704ff9-OBS-002","ibm-aberdeen-wip-deck-2-704ff9","aberdeen-group","valuechainaccess","market-size","2004","aberdeen-150k-reach","Aberdeen reach: ~150,000 registered users of research, distributed across Customer-Facing Executives (15.6%), SCM Execs (16.6%), Enterprise Applications (21.3%), Data/Knowledge Mgmt (11.6%), E-Business Execs (13.9%), Security & Risk (8.7%), Technology & Platform Mgmt (12.4%).","high","ingest-extraction","survey","slide-3",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-003","ibm-aberdeen-wip-deck-2-704ff9","aberdeen-group","aberdeen-dset","framework-factor","2004","dset-framework-levels","DSET C-Level Focus: Drivers (external forces — economic, political, regulatory, technology, customer preferences, competitive) → Strategies (product/service, target markets, financial, GTM) → Enablers (skilled people, brand, positioning, products/services, partners, financing) → Technology (development platform, applications, network connectivity, UI, training, partner interfaces, data management).","high","ingest-extraction","framework-development","slide-4","Aberdeen's core CxO framework."
"ibm-aberdeen-wip-deck-2-704ff9-OBS-004","ibm-aberdeen-wip-deck-2-704ff9","","","framework-factor","2004","it-implications-cpg","Business driver: decrease development time/cost and improve quality in outsourced CPG design/manufacturing → IT implications: document management, 24x7 operations, security, networking → Aberdeen Q2-2004 study: Product Development Strategies in CPG.","high","ingest-extraction","industry-analysis","slide-5",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-005","ibm-aberdeen-wip-deck-2-704ff9","","","framework-factor","2004","it-implications-public-sector","Business driver: billions wasted in public sector procurement/supply management → IT implications: e-sourcing & procurement, spend analytics, Supply & T&E OLTP → Aberdeen study: Supply Management in the Public Sector.","high","ingest-extraction","industry-analysis","slide-5",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-006","ibm-aberdeen-wip-deck-2-704ff9","","","framework-factor","2004","it-implications-invoicing","Business driver: compliance-driven supply management enables automated invoicing/payment → IT implications: mission-critical EDI, internal/external data exchange, complex data management, exception-based processing → Aberdeen study: Invoice Reconciliation and Payment.","high","ingest-extraction","industry-analysis","slide-5",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-007","ibm-aberdeen-wip-deck-2-704ff9","","rfid","framework-factor","2004","it-implications-rfid","Business driver: higher capital costs driving inventory/asset management → IT implications: new data capture & storage, location-based data structures, data federation → Aberdeen study: RFID-enabled Asset Management.","high","ingest-extraction","industry-analysis","slide-5",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-008","ibm-aberdeen-wip-deck-2-704ff9","aberdeen-group","","strategy-classification","2004","q2-2004-research-agenda","Q2-2004 IT Research Agenda: (1) Value Chain Opportunities — IT implications of five procurement/fulfillment reports; (2) Internet-Based Disruptions Benchmark; (3) Strategic IT Budget Management Realities.","high","ingest-extraction","expert-opinion","slide-6",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-009","ibm-aberdeen-wip-deck-2-704ff9","aberdeen-group","storage-pools","framework-factor","2004","acceleration-storage-pools","Aberdeen's Approach to Acceleration for Storage Pools combines Thought Leadership Papers + ILM Business Case Tool + Pools of Storage Simulation Tool + Sales Executive Workshops + Partner training + Qualified Leads from Aberdeen Research Agenda + Aberdeen.com leads + Case Studies + Installed Base Assessments + Web Seminars — across Create Demand → Educate → Accelerate Sales → Expand Customers.","high","ingest-extraction","framework-development","slide-7",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-010","ibm-aberdeen-wip-deck-2-704ff9","aberdeen-group","","expert-opinion","2004","research-delivery-beyond-print","Research delivery is more than print: value assessment tools educate and explain, simulate research-backed proof points, simulate enterprise parameters, and deliver first-level business case. IT spend is based on much more than TCO for strategic projects.","high","ingest-extraction","expert-opinion","slide-8",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-011","ibm-aberdeen-wip-deck-2-704ff9","aberdeen-group","storage-pools","framework-factor","2004","storage-pools-tool-distilled","Storage Pools Tool distills: survey of Pools, ILM & Buying Intentions + Storage Trends Research + Value Chain Impact + Graphical Design & Simulation, combining two research reports.","high","ingest-extraction","framework-development","slide-11",""
"ibm-aberdeen-wip-deck-2-704ff9-OBS-012","ibm-aberdeen-wip-deck-2-704ff9","aberdeen-group","","personal-recollection","2004","aberdeen-offices-2004","Aberdeen offices 2004: Boston, Palo Alto, Ft. Collins.","high","ingest-extraction","document-review","cover",""
