"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-001","aberdeen-1996-managing-customers-next-gen-helpdesk","aberdeen-group","cis-platform","market-data","1996","CIS supplier count","Literally hundreds of CIS suppliers in the market in 1996; study profiles over 40","high","ingest-extraction","industry-analysis","Introduction","",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-002","aberdeen-1996-managing-customers-next-gen-helpdesk","","cis-platform","market-data","1996","Study publication history","Second Aberdeen CIS report; first published May 1995; 1996 edition priced at US$695","high","ingest-extraction","document-review","Introduction","",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-003","aberdeen-1996-managing-customers-next-gen-helpdesk","","cis-platform","strategy-classification","1996","CIS target audience classification","Three audiences: (1) business executives choosing CIS, (2) IS executives implementing CIS, (3) CIS suppliers analyzing market position","high","ingest-extraction","industry-analysis","Introduction","",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-004","aberdeen-1996-managing-customers-next-gen-helpdesk","","cis-platform","framework-factor","1996","CIS module: Customer Support / Internal Helpdesk","Issue tracking, escalation, knowledge base for internal IT and external customer support","high","ingest-extraction","industry-analysis","Chapter 4 CIS Defined","CIS customer management module 1.",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-005","aberdeen-1996-managing-customers-next-gen-helpdesk","","cis-platform","framework-factor","1996","CIS module: Field Service Management","Dispatch, scheduling, parts management, on-site service tracking","high","ingest-extraction","industry-analysis","Chapter 4 CIS Defined","CIS customer management module 2.",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-006","aberdeen-1996-managing-customers-next-gen-helpdesk","","sales-force-automation","framework-factor","1996","CIS module: Sales Force Automation","Contact management, opportunity tracking, forecasting, sales territory management","high","ingest-extraction","industry-analysis","Chapter 4 CIS Defined","CIS sales/marketing module 1.",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-007","aberdeen-1996-managing-customers-next-gen-helpdesk","","cis-platform","framework-factor","1996","CIS module: Telemarketing/Telesales","Outbound/inbound calling campaigns, lead management, scripting","high","ingest-extraction","industry-analysis","Chapter 4 CIS Defined","CIS sales/marketing module 2.",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-008","aberdeen-1996-managing-customers-next-gen-helpdesk","","computer-telephony-integration","technology-assessment","1996","CTI as key CIS enabling technology","Computer-Telephony Integration identified as important related technology for CIS; links customer phone interactions with data systems","high","ingest-extraction","industry-analysis","Chapter 4: Important Technologies","",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-009","aberdeen-1996-managing-customers-next-gen-helpdesk","","internet-cis","technology-assessment","1996","Internet impact on CIS","Aberdeen explains 'unexpected implications' of Internet-enabled CIS; web-based customer interaction beginning to emerge","medium","ingest-extraction","industry-analysis","Impact of the Internet","1996 was early; implications of web-based CRM still being discovered.",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-010","aberdeen-1996-managing-customers-next-gen-helpdesk","siebel-systems","sales-force-automation","strategy-classification","1996","Siebel Systems market position 1996","Profiled CIS supplier; founded 1993 by Tom Siebel; focused on enterprise sales force automation; early-stage high-growth vendor","high","ingest-extraction","competitive-profiling","Chapter 8: Software Suppliers","Siebel went on to dominate the CRM market before Oracle acquisition.",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-011","aberdeen-1996-managing-customers-next-gen-helpdesk","remedy-corporation","cis-platform","strategy-classification","1996","Remedy Corporation market position 1996","Profiled CIS supplier; strong in IT helpdesk/service management; Action Request System product","high","ingest-extraction","competitive-profiling","Chapter 8: Software Suppliers","Remedy acquired by BMC Software in 2002.",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-012","aberdeen-1996-managing-customers-next-gen-helpdesk","clarify","cis-platform","strategy-classification","1996","Clarify Inc. market position 1996","Profiled CIS supplier; focused on customer support and CRM; later acquired by Nortel for $2.1B in 1998","high","ingest-extraction","competitive-profiling","Chapter 8: Software Suppliers","",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-013","aberdeen-1996-managing-customers-next-gen-helpdesk","","cis-platform","expert-opinion","1996","Aberdeen warning on CIS market consolidation","Companies rushing to install CIS systems cannot afford to make mistakes. Market filled with hundreds of suppliers — only a few will be around over the long term","high","ingest-extraction","expert-opinion","Introduction","",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-014","aberdeen-1996-managing-customers-next-gen-helpdesk","","cis-platform","expert-opinion","1996","Aberdeen value proposition for CIS","Growth and profit-oriented companies gaining market share through coordinated sales tactics and superior customer service via CIS","medium","ingest-extraction","expert-opinion","Introduction","",""
"aberdeen-1996-managing-customers-next-gen-helpdesk-OBS-015","aberdeen-1996-managing-customers-next-gen-helpdesk","","cis-platform","viability-prediction","1996","Prediction: CIS market will consolidate dramatically","Most of hundreds of CIS suppliers will not survive long-term; only a few will remain to support users; buyers must choose right the first time","verified","outcome-linkage","expert-opinion","Introduction","",""
