"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"fddi","FDDI (Fiber Distributed Data Interface)","protocol","ANSI standard","1987-2000","mature","obsolete","aberdeen-1995-3com-lanplex-2500","100 Mbps token-ring LAN standard; prominent as campus backbone technology at time of study."
"ethernet-switching","Ethernet Switching","protocol","multi-vendor","1993-present","emerging","active","aberdeen-1995-3com-lanplex-2500","Layer-2 frame switching for 10 Mbps Ethernet segments; evolved through Fast, Gigabit, 10GbE, etc."
"atm","ATM (Asynchronous Transfer Mode)","protocol","ITU/ATM Forum standard","1988-2005","emerging","obsolete","aberdeen-1995-3com-lanplex-2500","Cell-based switching technology positioned as future backbone. OC-3 (155 Mbps) UNI targeted for LANplex 2500 uplink in Q1 1996."
"fast-ethernet-100basetx","Fast Ethernet (100BaseTX)","protocol","IEEE 802.3u standard","1995-2010","emerging","legacy-supported","aberdeen-1995-3com-lanplex-2500","100 Mbps over twisted-pair copper; uplink card for LANplex 2500 expected Q1 1996."
"ise-chip","ISE-Chip (Intelligent Switching Engine ASIC)","platform","3Com","1994-2000","emerging","obsolete","aberdeen-1995-3com-lanplex-2500","3Com proprietary ASIC delivering 565K pps forwarding. Front-end engine to RISC processor, creating 'fast path' architecture."
"rmon","RMON (Remote Network Monitoring)","protocol","IETF (RFC 1271/RFC 1757)","1992-2010","mature","legacy-supported","aberdeen-1995-3com-lanplex-2500","3Com's Roving Analysis Port implemented distributed RMON across all ports. Cisco supported RFC 1271."
"hpsn","HPSN (High-Performance Scalable Networking)","framework","3Com","1994-1998","emerging","obsolete","aberdeen-1995-3com-lanplex-2500","3Com's 3-stage networking vision: Stage 1=collapsed backbone, Stage 2=distributed LAN switches, Stage 3=ATM migration."
"lanplex-2500","LANplex 2500","platform","3Com","1994-2000","emerging","obsolete","aberdeen-1995-3com-lanplex-2500","16-port 10 Mbps Ethernet + 2 FDDI ports. Modular workgroup switch. ISE-chip ASIC. Introduced December 1994."
"lanplex-6000","LANplex 6000","platform","3Com","1993-2000","mature","obsolete","aberdeen-1995-3com-lanplex-2500","3Com flagship backbone switch. Market leader in backbone switching at time of study. Larger FDDI concentration capacity than 2500."
"linkswitch-2200","LinkSwitch 2200","platform","3Com","1994-2000","emerging","obsolete","aberdeen-1995-3com-lanplex-2500","16-port Ethernet switch with single FDDI port. LANplex technology repackaged in 3Com SuperStack form factor for SMB market."
"cellplex","CELLplex","platform","3Com","1994-2000","emerging","obsolete","aberdeen-1995-3com-lanplex-2500","3Com ATM workgroup and backbone switch family. Separate from LANplex family."
"transcend-enterprise-manager","Transcend Enterprise Manager","application","3Com","1994-2000","emerging","obsolete","aberdeen-1995-3com-lanplex-2500","Flagship network management application. Supported HP OpenView, Sun NetManager, and IBM NetView platforms. Windows version expected Q4 1995."
"virtual-lan","Virtual LAN (VLAN)","protocol","multi-vendor","1995-present","emerging","active","aberdeen-1995-3com-lanplex-2500","LANplex 2500 supported VLANs via port groups and MAC address groups. Cited as key user requirement."
"elastic-packet-buffering","Elastic Packet Buffering","platform","3Com","1994-2000","emerging","obsolete","aberdeen-1995-3com-lanplex-2500","3Com proprietary buffering approach: guaranteed minimum buffers per port, dynamic expansion as needed. Reduces packet drops under contention."
"fast-ethernet","Fast Ethernet (100BASE-T)","protocol","IEEE / industry consortium","1995-present","emerging","legacy-supported","aberdeen-1995-3com-lanplex-2500","IEEE 802.3u 100 Mbps Ethernet standard, ratified 1995; successor to 10BASE-T, preceded Gigabit Ethernet."
