"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"aberdeen-1995-digital-multia-OBS-001","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","strategy-classification","1995","product-positioning","turn-key universal enterprise client desktop; NOT positioned as a personal computer","high","ingest-extraction","product-profiling","p.1 Market Position","Focus on packaging, integrated interoperability, and desktop management — not underlying PC architecture"
"aberdeen-1995-digital-multia-OBS-002","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","benchmark-result","1995","price-premium-over-comparable-pc","$500–$800 above comparable PC desktop (depending on options)","high","ingest-extraction","competitive-analysis","p.1 Market Position","Aberdeen states margins are 'readily justifiable' given IS cost savings and efficiencies"
"aberdeen-1995-digital-multia-OBS-003","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","physical-footprint","approximately the size of a family photo album","high","ingest-extraction","product-profiling","p.1 Core Product","Tightly integrated graphics, audio, and Ethernet within base platform enables compact form factor"
"aberdeen-1995-digital-multia-OBS-004","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","dual-architecture-strategy","supports both Alpha 64-bit RISC and Intel Pentium 100 models","high","ingest-extraction","product-profiling","p.1 Core Product","Aberdeen positions dual architecture as strategic flexibility for enterprise customers"
"aberdeen-1995-digital-multia-OBS-005","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","chip-upgradeable-design","ZIF socket design allows processor upgrades as new architectures become available","high","ingest-extraction","product-profiling","p.1 Core Product","Designed to extend hardware lifecycle by swapping microprocessors"
"aberdeen-1995-digital-multia-OBS-006","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","cache-memory","256 KB standard, upgradeable to 512 KB","high","ingest-extraction","product-profiling","p.1 Core Product",""
"aberdeen-1995-digital-multia-OBS-007","aberdeen-1995-digital-multia","digital-equipment-corporation","intel-pentium-100","technology-assessment","1995","intel-model-ram","16 MB standard, expandable to 128 MB","high","ingest-extraction","product-profiling","p.1 Core Product","Refers specifically to newly announced Intel 100 Multia model"
"aberdeen-1995-digital-multia-OBS-008","aberdeen-1995-digital-multia","digital-equipment-corporation","intel-pentium-100","technology-assessment","1995","intel-model-storage","810 MB or 1 GB hard drive","high","ingest-extraction","product-profiling","p.1 Core Product","Two storage options on Intel Multia model"
"aberdeen-1995-digital-multia-OBS-009","aberdeen-1995-digital-multia","digital-equipment-corporation","windows-nt-3-51","technology-assessment","1995","operating-system","Microsoft Windows NT Workstation 3.51; enables multitasking and stability","high","ingest-extraction","technology-assessment","p.2","Aberdeen states NT 'makes the Multia concept and system design possible'"
"aberdeen-1995-digital-multia-OBS-010","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","communications-protocols-supported","TCP/IP, IPX/SPX, DECnet, LAT, NetBEUI, X Serial Line Protocol; NFS in X Server option","high","ingest-extraction","product-profiling","p.2","Six protocols pre-configured; covers mainframe, Unix, Novell, Internet, and DEC environments"
"aberdeen-1995-digital-multia-OBS-011","aberdeen-1995-digital-multia","digital-equipment-corporation","3270-terminal-emulation","technology-assessment","1995","mainframe-access-method","IBM 3270 terminal emulation pre-configured via Rumba (Wall Data) and Kea! (Attachmate)","high","ingest-extraction","product-profiling","p.2","Described as 'industry leading' — no manual setup required by end-user"
"aberdeen-1995-digital-multia-OBS-012","aberdeen-1995-digital-multia","digital-equipment-corporation","vt-340-420-terminal-emulation","technology-assessment","1995","dec-host-access-method","embedded VT 340/420 terminal emulation pre-configured for DEC/OpenVMS host access","high","ingest-extraction","product-profiling","p.1",""
"aberdeen-1995-digital-multia-OBS-013","aberdeen-1995-digital-multia","netscape","netscape-navigator","technology-assessment","1995","web-access-method","Netscape Navigator embedded pre-configured for World Wide Web access","high","ingest-extraction","product-profiling","p.1","Access via single icon click; no manual browser setup required"
"aberdeen-1995-digital-multia-OBS-014","aberdeen-1995-digital-multia","digital-equipment-corporation","multia-x-server","technology-assessment","1995","unix-access-method","Digital-supplied X11.R6 X Server with predefined protocols, system connections, and workgroup customization","high","ingest-extraction","product-profiling","p.2","Tight integration with Multia configuration manager is the differentiated feature"
"aberdeen-1995-digital-multia-OBS-015","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","centralized-desktop-management-capabilities","IS admins can remotely configure desktops, control application availability, enable/disable hardware (e.g., floppy), schedule software updates, distribute software","high","ingest-extraction","product-profiling","p.2","Aberdeen identifies this as the 'real beauty' and primary differentiator of Multia"
"aberdeen-1995-digital-multia-OBS-016","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","viability-prediction","1995","is-cost-reduction-prediction","IS management and support costs will decrease; fewer remote site administrators required","verified","outcome-linkage","technology-assessment","p.2 Aberdeen Conclusions","Aberdeen predicts that centralized management reduces expensive IS staffing at remote sites"
"aberdeen-1995-digital-multia-OBS-017","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","viability-prediction","1995","end-user-efficiency-prediction","End-user efficiency increases because systems are made more available through central IS management","verified","outcome-linkage","technology-assessment","p.1 Executive Summary",""
"aberdeen-1995-digital-multia-OBS-018","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","expert-opinion","1995","only-vendor-that-listened","Digital is the only computer supplier that has listened to and acted on IS enterprise client requirements","medium","ingest-extraction","competitive-analysis","p.1 Executive Summary","Strong endorsement contrasting Digital favorably against unnamed PC makers"
"aberdeen-1995-digital-multia-OBS-019","aberdeen-1995-digital-multia","digital-equipment-corporation","","strategy-classification","1995","digital-market-orientation","New market-oriented Digital Equipment Corporation has 'finally arrived'","medium","ingest-extraction","competitive-analysis","p.2 Aberdeen Conclusions","Implies previous DEC was engineering-driven and not market-responsive"
"aberdeen-1995-digital-multia-OBS-020","aberdeen-1995-digital-multia","","multia","market-data","1995","enterprise-client-market-definition","Organizations requiring turn-key access to multiple server types: multiple transports, diverse apps (Windows, Unix X, VT, 3270), and centralized IS configuration management","high","ingest-extraction","product-profiling","p.1 Market Position","Aberdeen's three-criterion definition of the 'enterprise client' market"
"aberdeen-1995-digital-multia-OBS-021","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","universal-client-concept","Single desktop device provides simultaneous access to mainframes, Unix servers, PC servers, and the World Wide Web via icon clicks","high","ingest-extraction","product-profiling","p.1 Executive Summary","No end-user manual configuration of communications links or terminal emulators"
"aberdeen-1995-digital-multia-OBS-022","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","integration-vs-diy-stability","DIY assembly of equivalent third-party emulators and protocols would be less stable and less robust than integrated Multia","medium","ingest-extraction","competitive-analysis","p.1 Market Position","Aberdeen's justification for the premium price point"
"aberdeen-1995-digital-multia-OBS-023","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","floppy-disable-feature","IS administrators can remotely enable or disable floppy drive; important for government and financial security","high","ingest-extraction","product-profiling","p.2","Remote floppy management cited as security differentiator for regulated sectors"
"aberdeen-1995-digital-multia-OBS-024","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","technology-assessment","1995","remote-configuration-management","Administrators can remotely manage downed desktops, obtain system configuration info, schedule software updates, and perform software distribution","high","ingest-extraction","product-profiling","p.2","Identified as the key feature that truly differentiates Multia from the marketplace"
"aberdeen-1995-digital-multia-OBS-025","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","expert-opinion","1995","is-end-user-conflict-resolution","Multia enables IS and end-user organizations to stop working at cross purposes","medium","ingest-extraction","expert-opinion","p.2 Aberdeen Conclusions","IS gets central control; end-users get access without managing their own systems"
"aberdeen-1995-digital-multia-OBS-026","aberdeen-1995-digital-multia","","multia","framework-factor","1995","enterprise-client-pain-point-redundancy","IS management challenge: hardware and software inventory redundancy","high","ingest-extraction","industry-analysis","p.2 Aberdeen Conclusions","One of three IS management pain points Aberdeen identifies Multia as solving"
"aberdeen-1995-digital-multia-OBS-027","aberdeen-1995-digital-multia","","multia","framework-factor","1995","enterprise-client-pain-point-tower-of-babel","IS management challenge: Tower-of-Babel inter-company communications from lack of standardization","high","ingest-extraction","industry-analysis","p.2 Aberdeen Conclusions","Second IS management pain point Aberdeen identifies"
"aberdeen-1995-digital-multia-OBS-028","aberdeen-1995-digital-multia","","multia","framework-factor","1995","enterprise-client-pain-point-data-security","IS management challenge: compromised corporate data security from lax distributed computing data management","high","ingest-extraction","industry-analysis","p.2 Aberdeen Conclusions","Third IS management pain point; Multia remote floppy disable cited as security remedy"
"aberdeen-1995-digital-multia-OBS-029","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","actual-outcome","1997","multia-product-discontinuation","Multia product line discontinued approximately 1997; Alpha processor line discontinued 2004 following HP acquisition of DEC via Compaq","verified","web-source","document-review","post-publication","Prediction of market-oriented DEC succeeding was not borne out; DEC acquired by Compaq 1998"
"aberdeen-1995-digital-multia-OBS-030","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","actual-outcome","1998","digital-acquired-by-compaq","Digital Equipment Corporation acquired by Compaq in 1998 for approximately $9.6 billion; Multia and Alpha product lines eventually discontinued","verified","web-source","document-review","post-publication","Contradicts Aberdeen's 1995 prediction that 'market-oriented Digital has finally arrived'"
"aberdeen-1995-digital-multia-OBS-1996","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","actual-outcome","1998","Multia centralized management cost savings — actual outcome","Unverifiable at product level: Multia discontinued ~1997; DEC acquired by Compaq 1998. Thin-client concept (which Multia anticipated) was validated by Oracle NC and Windows Terminal Server","medium","ingest-extraction","document-review","","Prediction (OBS-029) partially validated conceptually: centralized desktop management did prove cost-effective, but Multia itself failed in market. Concept materialized as NC/thin client wave."
"aberdeen-1995-digital-multia-OBS-1997","aberdeen-1995-digital-multia","digital-equipment-corporation","multia","actual-outcome","1998","Digital's enterprise client credibility — actual outcome","Failed: Digital was acquired by Compaq for $9.6B in June 1998; Multia product line discontinued ~1997 before acquisition; DEC never achieved enterprise client market leadership","verified","web-source","document-review","","Prediction (OBS-030) wrong: Digital did not emerge as enterprise client leader. Acquired by Compaq 1998. PC market won; IBM ThinkPad and HP dominated enterprise desktops."
