"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"peter-s-kastner","Peter S. Kastner","person","IT-analyst","active","","1969-present","great-rebate-runaround-businessweek-grow-00f459","Director at Vericours Inc. (2005) — post-Aberdeen consulting role; provides 40% rebate-nonredemption statistic"
"vericours","Vericours Inc.","company","consulting","unknown [REVIEW]","","2004-2008-approx","great-rebate-runaround-businessweek-grow-00f459","Consulting firm where Kastner served as director in 2005; small boutique, may have dissolved"
"paula-rosenblum-aberdeen","Paula Rosenblum","person","retail-analyst","active","","2000s-present","great-rebate-runaround-businessweek-grow-00f459","Director of retail research at Aberdeen Group in 2005; now co-founder of RSR Research"
"aberdeen-group","Aberdeen Group Inc.","firm","IT-research","acquired","Harte-Hanks 2002; Spiceworks-Ziff Davis 2019+","1988-2019","great-rebate-runaround-businessweek-grow-00f459","Consulting firm cited for Paula Rosenblum retail research"
"brian-grow-journalist","Brian Grow","person","journalism","active","","2000s-present","great-rebate-runaround-businessweek-grow-00f459","BusinessWeek reporter (Atlanta); primary author of this canonical rebate exposé"
"rishi-chhatwal-journalist","Rishi Chhatwal","person","journalism","unknown [REVIEW]","","2005-approx","great-rebate-runaround-businessweek-grow-00f459","Co-reporter with Grow on this BusinessWeek rebate article (Atlanta)"
"business-week","BusinessWeek","firm","business-press","rebranded","Bloomberg BusinessWeek (Bloomberg acquired McGraw-Hill 2009-12)","1929-2009","great-rebate-runaround-businessweek-grow-00f459","McGraw-Hill business magazine; this article ran in Dec 5 2005 issue"
"mcgraw-hill","The McGraw-Hill Companies","firm","publishing","active","S&P Global (2016 rename), BusinessWeek sold to Bloomberg 2009","1888-present","great-rebate-runaround-businessweek-grow-00f459","Parent of BusinessWeek in 2005"
"tivo-inc","TiVo Inc.","company","consumer-electronics","acquired","Rovi 2016 -> Xperi 2020","1997-2020","great-rebate-runaround-businessweek-grow-00f459","DVR maker; article documents $5M rebate-expense reduction from 50K of 104K subscribers failing to redeem"
"parago-inc","Parago Inc.","company","rebate-processing","acquired","Blackhawk Network 2014","1999-2014","great-rebate-runaround-businessweek-grow-00f459","Lewisville TX rebate processor for TiVo; bought TCA customer list Dec 2004"
"tca-fulfillment","TCA Fulfillment Services","company","rebate-processing","acquired","Parago (customer list acquired Dec 2004)","unknown-2004","great-rebate-runaround-businessweek-grow-00f459","New Rochelle NY rebate processor that published 'Rebate Redemption Guide' with 10-35% expected rates"
"young-america-corp","Young America Corp.","company","rebate-processing","acquired","BrandMuscle 2014-approx; reorganized","1972-2010s-approx","great-rebate-runaround-businessweek-grow-00f459","Young America MN — largest U.S. rebate processor; Massachusetts sued over $43M uncashed checks"
"promo-marketing-insights","Promotional Marketing Insights","firm","consulting","unknown [REVIEW]","","2000s-approx","great-rebate-runaround-businessweek-grow-00f459","Orono MN consulting firm; CEO Hal Stinchfield quoted as 30-year rebate veteran"
"hal-stinchfield","Hal Stinchfield","person","consulting","active","","1970s-present","great-rebate-runaround-businessweek-grow-00f459","CEO of Promotional Marketing Insights; estimated 400M rebates offered per year totaling $6B face value"
"npd-group","NPD Group Inc.","firm","market-research","active","Circana (merged with IRI 2023)","1966-present","great-rebate-runaround-businessweek-grow-00f459","Market researcher cited on rebate prevalence: ~1/3 of PC gear, >20% of digital cameras/camcorders/LCD TVs"
"stephen-baker-npd","Stephen Baker","person","market-research","active","","1990s-present","great-rebate-runaround-businessweek-grow-00f459","Director of industry analysis at NPD Group; consumers want price vs hate rebate hassle tension"
"dell","Dell Inc.","company","PC-manufacturing","active","","1984-present","great-rebate-runaround-businessweek-grow-00f459","PC powerhouse cited as major rebate user"
"circuit-city","Circuit City","company","consumer-electronics-retail","dissolved","liquidated 2009","1949-2009","great-rebate-runaround-businessweek-grow-00f459","National chain cited as rebate user"
"office-max","OfficeMax","company","office-supplies-retail","merged","merged with Office Depot 2013","1988-2013","great-rebate-runaround-businessweek-grow-00f459","National chain cited as rebate user"
"pfizer","Pfizer Inc.","company","pharmaceuticals","active","acquired Listerine via Warner-Lambert 2000; sold Listerine to J&J 2006","1849-present","great-rebate-runaround-businessweek-grow-00f459","Listerine mouthwash owner in 2005 (brief; sold to J&J 2006)"
"rite-aid","Rite Aid Corporation","company","pharmacy-retail","bankruptcy","Ch 11 2023, 2025 restructuring","1962-present","great-rebate-runaround-businessweek-grow-00f459","Drugstore chain selling Listerine with rebates"
"staples-inc","Staples Inc.","company","office-supplies-retail","active","taken private by Sycamore Partners 2017","1986-present","great-rebate-runaround-businessweek-grow-00f459","Framingham MA office-products retailer; $3.5M/week in rebates; switched to EasyRebates 2004"
"jim-sherlock-staples","Jim Sherlock","person","retail-management","unknown [REVIEW]","","2000s-approx","great-rebate-runaround-businessweek-grow-00f459","Director of sales and merchandising at Staples in 2005"
"best-buy","Best Buy Co., Inc.","company","consumer-electronics-retail","active","","1966-present","great-rebate-runaround-businessweek-grow-00f459","Consumer electronics retailer; announced 2-year mail-in rebate phase-out in this article"
"procter-gamble","Procter & Gamble Co.","company","consumer-goods","active","","1837-present","great-rebate-runaround-businessweek-grow-00f459","P&G pioneered consumer-product rebates in the 1970s"
"sbc-communications","SBC Communications Inc.","company","telecommunications","merged","renamed AT&T Inc. 2005-11-18 after AT&T Corp acquisition","1983-2005","great-rebate-runaround-businessweek-grow-00f459","Telecom giant lobbying against CA rebate-reform bill (just before Nov 2005 AT&T rebrand)"
"t-mobile-usa","T-Mobile USA","company","telecommunications","active","merged with Sprint 2020","1994-present","great-rebate-runaround-businessweek-grow-00f459","Telecom co-lobbying against Figueroa rebate bill"
"ca-manufacturers-tech","California Manufacturers & Technology Association","firm","industry-association","active","","1918-present","great-rebate-runaround-businessweek-grow-00f459","Lobbied against CA rebate-reform bill"
"samsung-electronics-america","Samsung Electronics America, Inc.","company","consumer-electronics","active","","1978-present","great-rebate-runaround-businessweek-grow-00f459","Settled with NY AG Spitzer for $200K over apartment-address rebate exclusion"
"eliot-spitzer-ag-ny","Eliot Spitzer","person","government-official","former-office","resigned NY Governor 2008","1999-2008","great-rebate-runaround-businessweek-grow-00f459","NY Attorney General (2005) who settled Samsung rebate case"
"richard-blumenthal-ag-ct","Richard Blumenthal","person","government-official","active","elected U.S. Senator 2010","1991-present","great-rebate-runaround-businessweek-grow-00f459","Connecticut AG in 2005 investigating post-rebate pricing ads"
"timothy-cahill-ma-treasurer","Timothy P. Cahill","person","government-official","former-office","MA State Treasurer 2003-2011","2003-2011","great-rebate-runaround-businessweek-grow-00f459","Massachusetts State Treasurer who called rebates 'almost like the old bait and switch'"
"liz-figueroa-ca-senator","Liz Figueroa","person","government-official","former-office","CA State Senate 1998-2006","1998-2006","great-rebate-runaround-businessweek-grow-00f459","CA Democratic State Senator whose rebate-reform bill was vetoed by Schwarzenegger"
"arnold-schwarzenegger","Arnold Schwarzenegger","person","government-official","former-office","CA Governor 2003-2011","2003-2011","great-rebate-runaround-businessweek-grow-00f459","CA Governor who vetoed Figueroa rebate-reform bill"
"better-business-bureau","Council of Better Business Bureaus","firm","consumer-advocacy","reorganized","BBB National Programs 2019","1912-present","great-rebate-runaround-businessweek-grow-00f459","Rebate-complaint tracker: complaints tripled 2001-2004 (964 to 3,641)"
"federal-trade-commission","Federal Trade Commission","agency","consumer-protection","active","","1914-present","great-rebate-runaround-businessweek-grow-00f459","Federal regulator mentioned as complaint destination"
"chuck-gleason-consumer","Chuck Gleason","person","consumer","unknown [REVIEW]","","2005","great-rebate-runaround-businessweek-grow-00f459","Portland OR metal-recycling ops director; narrative case of 14-week TiVo/Parago rebate delay"
"david-bookbinder-consumer","David S. Bookbinder","person","consumer","unknown [REVIEW]","","2005","great-rebate-runaround-businessweek-grow-00f459","Revere MA computer technician (Total PC Support); files >100 rebates/year"
