entity_id,entity_name,entity_type,sector,status,successor,years_active,study_id,notes
eclipsys,Eclipsys Corporation,corporation,healthcare-it,acquired,Allscripts Healthcare (acquired 2010),1995-2010,2004-eclipsys-auditor-report-4-3cd30c,"Developer of SunriseXA clinical information system; headquartered in Boca Raton, FL; benchmark conducted at Malvern, PA facility"
unisys,Unisys Corporation,corporation,enterprise-it,active,,1986-present,2004-eclipsys-auditor-report-4-3cd30c,Provided ES7000 enterprise server with eight 2.8GHz Xeon processors for the benchmark configuration
microsoft,Microsoft Corporation,corporation,software,active,,1975-present,2004-eclipsys-auditor-report-4-3cd30c,"Provided platform stack: Windows 2000 Data Center, SQL Server 2000, .NET Framework 1.0"
mercury-interactive,Mercury Interactive,corporation,software-testing,acquired,Hewlett-Packard (acquired 2006),1989-2006,2004-eclipsys-auditor-report-4-3cd30c,Provided LoadRunner and TestCenter load-testing software used for benchmark simulation
intel,Intel Corporation,corporation,semiconductor,active,,1968-present,2004-eclipsys-auditor-report-4-3cd30c,Manufactured Xeon 2.8GHz processors used in the Unisys ES7000 benchmark server
aberdeen-group,Aberdeen Group,research-firm,market-research,acquired,Harte-Hanks (acquired 2008),1988-2008,2004-eclipsys-auditor-report-4-3cd30c,"Research and consulting firm retained by Eclipsys to audit the benchmark; Boston, MA"
memorial-hermann,Memorial Hermann Healthcare,corporation,healthcare,active,,1997-present,2004-eclipsys-auditor-report-4-3cd30c,"Houston hospital system managing 3,179 operating beds across 11 hospitals; cited as scale comparison"
emc-corp,EMC Corporation,corporation,storage,acquired,Dell Technologies (acquired 2016),1979-2016,2004-eclipsys-auditor-report-4-3cd30c,Provided PowerPath and Navisphere storage software and Fibre Channel storage for benchmark
sap-ag,SAP AG,corporation,enterprise-software,active,,1972-present,2004-eclipsys-auditor-report-4-3cd30c,Referenced by Aberdeen as running industry-standard benchmarks on Microsoft platforms; now SAP SE
allscripts,Allscripts Healthcare,corporation,healthcare-it,active,,1986-present,2004-eclipsys-auditor-report-4-3cd30c,Acquired Eclipsys Corporation in 2010; SunriseXA continued as Allscripts Sunrise
