tech_id,tech_name,category,vendor,era,lifecycle_at_study,lifecycle_current,study_id,notes
data-warehouse,Data Warehouse,platform,multiple,1988-present,mature,mature,dssune~1-cbf6e3,Cross-enterprise analytical environment; typically costs $1M-$1.5M; can take over a year to implement; complex formal methodology required
data-mart,Data Mart,platform,multiple,1993-present,growth,mature,dssune~1-cbf6e3,Subject-specific analytical environment; $50K-$400K; 2 weeks to 6 months implementation; NT driving down costs and becoming platform-of-choice
rolap,Relational OLAP (ROLAP),application,multiple,1993-present,growth,legacy,dssune~1-cbf6e3,Combines SQL query flexibility with scalable parallel RDBMS; $60K-$300K; requires dimensional modeling expertise; star schema design
multidimensional-database,Multidimensional Database (OLAP server),application,multiple,1985-present,mature,legacy,dssune~1-cbf6e3,Array-based summarized data for fast comparative analysis; $40K for typical server; sparse-matrix compression for large arrays
essbase,Essbase,application,Arbor Software,1992-present,mature,legacy,dssune~1-cbf6e3,Market-leading OLAP server; linked to IBM DB2 for hybrid ROLAP/MDB; partitionable server for cross-database queries; financial applications focus
teradata,Teradata,application,NCR Corporation,1979-present,mature,active,dssune~1-cbf6e3,Shared-nothing MPP database for decision support; Unix platform; NT and Solaris ports planned; TPC-C and TPC-D benchmark leader
data-mining,Data Mining (scalable),application,multiple,1990-present,emerging,mature,dssune~1-cbf6e3,High-end systems for prediction clustering and association; $250K-$400K; 75% data preparation; algorithm execution can take days to minutes
crm-system,Customer Relationship Management (CRM) System,application,multiple,1996-present,emerging,mature,dssune~1-cbf6e3,Combines data warehouse data mining and campaign management; $200K-$2.5M; 6-9 months implementation; also called MCIF in finance/banking
query-reporting-analysis,Query/Reporting/Analysis Software,application,multiple,1990-present,mature,mature,dssune~1-cbf6e3,Three-tier user base: analysts (desktop) managers (web) knowledge workers (browser); $50K for web server versions; $1500 per component seat
windows-nt-server,Windows NT Server (data mart platform),platform,Microsoft,1993-present,growth,legacy,dssune~1-cbf6e3,NT has become data mart platform-of-choice; driven down data mart prices; changed go-to-market strategies of most suppliers
plato-olap,Plato (Microsoft OLAP),application,Microsoft,1998,emerging,legacy,dssune~1-cbf6e3,Acquired from Panorama Software Israel; being beta tested; planned shipment late 1998; catalyzing consolidation among DSS suppliers (became SQL Server OLAP Services)
oracle-data-mart-suite,Oracle Data Mart Suite,application,Oracle,1998,emerging,legacy,dssune~1-cbf6e3,CD-installable turnkey data mart in a box; pre-tested on Compaq ProLiant; auto-configuration of hardware OS database and application
star-schema,Star Schema / Dimensional Modeling,framework,multiple,1993-present,growth,mature,dssune~1-cbf6e3,Required data modeling technique for ROLAP; fact table surrounded by dimension tables; prerequisite skill for ROLAP implementation
dss-server,DSS Server,application,MicroStrategy,1994-present,growth,unknown,dssune~1-cbf6e3,ROLAP with RDBMS device drivers for very large database technology; caching for query performance; basis for DSS Broadcaster
essbase-wired-olap,Wired for OLAP (Executive Information Systems),application,Arbor Software,1996-present,growth,unknown,dssune~1-cbf6e3,EIS software complement to Essbase server; financial consolidation and budgeting applications
impromptu-powerplay,Impromptu / PowerPlay,application,Cognos,1993-present,mature,legacy,dssune~1-cbf6e3,Impromptu query/reporting (700K+ seats); PowerPlay multidimensional analysis; both available as full-client and web browser versions
webintelligence,WebIntelligence 2.0,application,Business Objects,1998,emerging,legacy,dssune~1-cbf6e3,Announced July 1998; Q3 1998 delivery planned; web-based query/reporting with WebIntelligence Explorer OLAP module; shared infrastructure with BusinessObjects 4.1
sas-enterprise-miner,SAS Enterprise Miner,application,SAS Institute,1998,emerging,active,dssune~1-cbf6e3,SEMMA methodology (Sample Explore Modify Model Assess); becoming leading data mining environment in third-party CRM systems
metacube,Informix MetaCube 4.0,application,Informix,1998,growth,legacy,dssune~1-cbf6e3,ROLAP environment integrated with Informix DSA parallel RDBMS; dynamic aggregate building; TPC-D benchmark success
decisionsuite-webolap,DecisionSuite / WebOLAP,application,Information Advantage,1995-present,growth,unknown,dssune~1-cbf6e3,ROLAP software with large installed base of household-name companies; used as tool for distributing information views to partners
