"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-001","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","ren-architecture","technology-assessment","1996","REN architecture vision","More comprehensive Net development vision than competition: dual-track traditional + Net client-server","medium","competitive-profiling","Preface","Aberdeen's lead assessment; competitors focused only on HTML generation"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-002","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","ren-architecture","framework-factor","1996","REN architecture component 1","Development tools (traditional + Net)","high","document-review","Executive Summary","Component 1 of 4 in REN architecture"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-003","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","ren-architecture","framework-factor","1996","REN architecture component 2","Database tools (traditional + Net)","high","document-review","Executive Summary","Component 2 of 4 in REN architecture"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-004","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","ren-architecture","framework-factor","1996","REN architecture component 3","Repository-based application life-cycle management tools","high","document-review","Executive Summary","Component 3 of 4 in REN architecture"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-005","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","ren-architecture","framework-factor","1996","REN architecture component 4","Reusable software components (Weblets)","high","document-review","Executive Summary","Component 4 of 4 in REN architecture"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-006","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","omnis-7","technology-assessment","1996","OMNIS 7 market position","Industrial-strength, complex business applications; cross-platform Windows/OS2/Mac; binary compatible","high","field-research","Executive Summary","Customer satisfaction data from Aberdeen field research"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-007","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","web-enabler","technology-assessment","1996","Web Enabler capabilities","TCP sockets, FTP, SMTP/POP3/MIME email, HTTP client/server, HTML generation, Java code generation","high","document-review","Key Technologies/Products","Comprehensive set of Net protocols; goes beyond competitors' HTML-only"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-008","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","web-enabler","benchmark-result","1996","Federal Express demo","Web Enabler demonstrated accessing FedEx parcel-tracking website and updating internal database automatically","high","document-review","Key Technologies/Products","Real-world demo proving web scraping/data extraction concept in 1996"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-009","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","web-vault","technology-assessment","1996","Web Vault security model","Vista-based user/group privilege system controlling table and column-level access for web database queries","high","document-review","Key Technologies/Products","Presaged modern API gateway and row-level security concepts"
"aberdeen-1996-blyths-ren-architecture-prescription-it-success-OBS-010","aberdeen-1996-blyths-ren-architecture-prescription-it-success","blyth-software","web-manager","technology-assessment","1996","Web Manager innovation","Manages HTML, graphics, CGI scripts, Java applets in single version-controlled site; time-sensitive content publishing","high","document-review","Key Technologies/Products","Forerunner of modern web CMS/CDN staging concepts"
