"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"virtual-data-warehouse","Virtual Data Warehouse","architecture-pattern","Intersolv","","evolved","The virtual data warehouse concept evolved into data virtualization and, more recently, data fabric architectures. The specific Intersolv product was discontinued after Merant/Micro Focus restructuring.","aberdeen-1995-intersolv-virtual-data-warehouse","description=A decision-support environment using metadata to provide unified access to distributed data sources without physical data consolidation, introduced October 2, 1995.; lifecycle_note=The virtual data warehouse concept evolved into data virtualization and, more recently, data fabric architectures. The specific Intersolv product was discontinued after Merant/Micro Focus restructuring.; successor_technology=data-virtualization / data-fabric"
"datadirect-smartdata","DataDirect SmartData","software-product","Intersolv / DataDirect","","discontinued","Specific SmartData branding discontinued post-merger; metadata management capabilities absorbed into subsequent DataDirect products.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Intelligent metadata layer implemented as an ODBC driver that shields users from SQL complexity and creates virtual databases (SmartSets) over physical data sources.; lifecycle_note=Specific SmartData branding discontinued post-merger; metadata management capabilities absorbed into subsequent DataDirect products.; successor_technology=DataDirect ODBC drivers"
"datadirect-explorer","DataDirect Explorer","software-product","Intersolv / DataDirect","","discontinued","Explorer desktop product discontinued following Merant restructuring; capabilities partially absorbed into successor BI tooling.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Desktop query, analysis, and reporting tool providing Query Builder, Chart Builder, Report Builder, Form Builder, and Job Scheduler components.; lifecycle_note=Explorer desktop product discontinued following Merant restructuring; capabilities partially absorbed into successor BI tooling.; successor_technology=ODBC-compliant BI tools"
"datadirect-odbc-pack","DataDirect ODBC Pack","software-product","Intersolv / DataDirect","","active","ODBC driver product line continues under Progress DataDirect brand, supporting modern databases and cloud sources.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Set of ODBC drivers supporting more than 35 databases on eight operating systems, connecting any ODBC-compliant application to personal, relational, or legacy databases.; lifecycle_note=ODBC driver product line continues under Progress DataDirect brand, supporting modern databases and cloud sources.; successor_technology=Progress DataDirect Drivers"
"datadirect-sequelink","DataDirect SequeLink","software-product","TechGnosis / Intersolv","","discontinued","SequeLink product was eventually discontinued after Intersolv/Merant transitions; server-side connectivity approach supplanted by modern middleware.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Server-based database-independent middleware for client-server connectivity, enabling heterogeneous joins, cursor management, and legacy integration without performance-degrading gateways.; lifecycle_note=SequeLink product was eventually discontinued after Intersolv/Merant transitions; server-side connectivity approach supplanted by modern middleware.; successor_technology=JDBC/ODBC middleware; modern data integration platforms"
"odbc-open-database-connectivity","ODBC (Open Database Connectivity)","standard","Microsoft","","active","ODBC remains an active and widely supported standard for database connectivity, supplemented by JDBC and newer APIs.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Standard API for accessing database management systems, allowing applications to connect to any ODBC-compliant data source regardless of database vendor.; lifecycle_note=ODBC remains an active and widely supported standard for database connectivity, supplemented by JDBC and newer APIs.; successor_technology=JDBC; cloud data APIs; ODBC 4.0"
"sql-structured-query-language","SQL (Structured Query Language)","standard","ANSI/ISO","","active","SQL remains the dominant query language for relational databases; standardized through ANSI/ISO; extended with window functions, JSON support, and other features.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Standard language for relational database queries; the Virtual Data Warehouse was designed to shield business users from writing SQL directly.; lifecycle_note=SQL remains the dominant query language for relational databases; standardized through ANSI/ISO; extended with window functions, JSON support, and other features.; successor_technology=SQL:2023 standard"
"rdbms-relational-database-management-system","RDBMS (Relational Database Management System)","category","Multiple","","active","RDBMSs remain foundational; augmented by columnar stores (Redshift, BigQuery, Snowflake) optimized for analytical workloads.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Class of database systems based on relational model; referenced as the primary foundation for physical data warehouses.; lifecycle_note=RDBMSs remain foundational; augmented by columnar stores (Redshift, BigQuery, Snowflake) optimized for analytical workloads.; successor_technology=Columnar / analytical RDBMS; cloud data warehouses"
"multidimensional-database","Multidimensional Database","category","Multiple","","evolved","Dedicated MDDBs largely replaced by columnar databases with OLAP extensions; concept persists in cloud OLAP engines.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Proprietary database optimized for OLAP; referenced as alternative to RDBMS for data warehousing (e.g., Cognos Powerplay).; lifecycle_note=Dedicated MDDBs largely replaced by columnar databases with OLAP extensions; concept persists in cloud OLAP engines.; successor_technology=OLAP engines; columnar databases"
"metadata-management","Metadata Management","practice","Multiple","","active","Metadata management has grown in importance; modern data catalogs (Apache Atlas, Alation, Collibra) and data governance platforms are direct successors.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Practice of cataloging and managing data about data; central to the Virtual Data Warehouse's SmartData semantic layer approach.; lifecycle_note=Metadata management has grown in importance; modern data catalogs (Apache Atlas, Alation, Collibra) and data governance platforms are direct successors.; successor_technology=Data catalogs; data governance platforms"
"microsoft-ole-2-0","Microsoft OLE 2.0","standard","Microsoft","","legacy","OLE 2.0 succeeded by COM, then .NET, then modern web embedding standards. Still supported in Windows but no longer a primary integration approach.","aberdeen-1995-intersolv-virtual-data-warehouse","description=Object Linking and Embedding standard for embedding objects (e.g., Word documents) within applications; used by Explorer Report Builder.; lifecycle_note=OLE 2.0 succeeded by COM, then .NET, then modern web embedding standards. Still supported in Windows but no longer a primary integration approach.; successor_technology=COM; .NET; modern web embedding"
"ibm-db2","IBM DB2","software-product","IBM","","active","IBM Db2 remains an active product; modernized with cloud and containerized deployments.","aberdeen-1995-intersolv-virtual-data-warehouse","description=IBM relational database management system; referenced as a snapshot source in the Intelligent Snapshot feature.; lifecycle_note=IBM Db2 remains an active product; modernized with cloud and containerized deployments.; successor_technology=IBM Db2 (cloud editions)"
