entity_id,entity_name,entity_type,sector,hit_count,first_context
apple,Apple Computer,company,IT-hardware,71,Front-Ends and Apple Computer in the 1990s   A Report to the Management of Apple Computer
aberdeen-group,Aberdeen Group,firm,IT market analysis,22,"rt to the Management of Apple Computer USA   Prepared by:   Aberdeen Group, Inc. 92 State Street Boston, MA 02109   January 9, 1991"
microsoft,Microsoft,company,Software,16,rprise requires a different sales and marketing strategy.   Microsoft Windows 3.0 is the client software environment most frequen
hewlett-packard,Hewlett-Packard,company,technology hardware,13,other hardware suppliers -- with the possible exception of Hewlett-Packard with NewWave -- are in contention to lead this market with
ENT-013,Peter Kastner,person,market-research,10,deen Group and Apple Computer Confidential Page Interviewer Peter Kastner   1. Enterprise Profile Name/Division Atlanta Gas Light Com
ent-013,Novell,corporation,information-technology,9,"a LAN.  Large MIS sites have typically invested heavily in Novell Netware, so Apple connectivity to Netware is an entry hurdl"
software-ag,Software AG,company,Enterprise Software,8,ple Computer and Digital Equipment|30| ||Apple Computer and Software AG|31|    III. Applications of Frontware 32   IV. Interview Co
e91-06,Delta Airlines,company,transportation,8,maries 35 Atlanta Gas Light Company 36 Continuum Company 41 Delta Airlines 48 Federal Reserve Bank of New York 54 First Interstate Ban
e91-07,Merrill Lynch,company,financial-services,6,ential-Bache's system used proprietary CTOS machines).   8. Merrill Lynch stated they were fearful that they could never manage the h
compaq,Compaq,company,computing/pc-server,5,"nvariably include the IBM PS/2, sometimes include Apple and Compaq, and rarely includes PC clones.   4. MIS Infocenter manager"
federal-reserve-bank,Federal Reserve Bank,agency,financial services / central banking,4,Gas Light Company 36 Continuum Company 41 Delta Airlines 48 Federal Reserve Bank of New York 54 First Interstate Bank Limited 60 Georgia Dep
unisys,Unisys,company,IT services / mainframe,4,nch. Download customer data to Convergent Technologies (now Unisys) CTOS-based controller.   Midrange & Distributed Systems
oracle,Oracle,company,enterprise software,3,frame Configuration IBM 3083 + 3090 + Hitachi. Running MVS. Oracle to DB2 distributed database conversions underway   Midrange
e91-09,Federal Reserve Bank of New York,government-agency,financial-services,3,Gas Light Company 36 Continuum Company 41 Delta Airlines 48 Federal Reserve Bank of New York 54 First Interstate Bank Limited 60 Georgia Department of T
e91-11,Georgia Department of Transportation,government-agency,government,3,eserve Bank of New York 54 First Interstate Bank Limited 60 Georgia Department of Transportation 66 Merrill-Lynch 72 Prudential-Bache 78 Sabre Group (Federa
e91-14,Atlanta Gas Light Company,company,utility,3,ations of Frontware 32   IV. Interview Contact Summaries 35 Atlanta Gas Light Company 36 Continuum Company 41 Delta Airlines 48 Federal R
e91-15,Continuum Company,company,insurance-software,3,Interview Contact Summaries 35 Atlanta Gas Light Company 36 Continuum Company 41 Delta Airlines 48 Federal Reserve Bank of New York 54 Fi
