"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes","section"
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-001","sia-compaq-vows-support-himalaya-post-hp-21421a","compaq-computer","compaq-himalaya-nonstop","market-data","2002","Himalaya market share — securities transactions","95% of world's securities transactions go through Compaq Himalaya mainframes","verified","ingest-extraction","company-data","p.1","Per Compaq disclosure",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-002","sia-compaq-vows-support-himalaya-post-hp-21421a","compaq-computer","compaq-himalaya-nonstop","market-data","2002","Himalaya market share — exchanges","Power 106 of the world's 120 stock exchanges","verified","ingest-extraction","company-data","p.1","",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-003","sia-compaq-vows-support-himalaya-post-hp-21421a","compaq-computer","compaq-himalaya-nonstop","market-data","2002","Customer roster","Includes J.D. Edwards, Prudential Securities, T.D. Waterhouse, Nasdaq Stock Market","verified","ingest-extraction","company-data","p.1","",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-004","sia-compaq-vows-support-himalaya-post-hp-21421a","arch-currid","compaq-himalaya-nonstop","expert-opinion","2002","Compaq customer commitment","'We've already assured all of our customers, on every product front, that they can count on our ongoing long-term support.'","verified","ingest-extraction","executive-quote","p.1","Compaq spokesman",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-005","sia-compaq-vows-support-himalaya-post-hp-21421a","lance-travis","compaq-himalaya-nonstop","expert-opinion","2002","AMR cautionary view","'HP doesn't have anything directly to replace the Himalaya, [but] there is a risk that it will get shoved aside and starved to death. I think it behooves people to start looking for alternatives.'","verified","ingest-extraction","expert-quote","p.1","AMR Research; later disproved — HP/HPE preserved Himalaya",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-006","sia-compaq-vows-support-himalaya-post-hp-21421a","lance-travis","hp-compaq-merger-2002","expert-opinion","2002","Reorganization-distraction risk","Merged company will be spending next year reorganizing while competitors move ahead with new products and services","high","ingest-extraction","expert-quote","p.1","",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-007","sia-compaq-vows-support-himalaya-post-hp-21421a","peter-s-kastner","post-merger-customer-support-tiering","expert-opinion","2002","Kastner top-500 frame","'The top 500 combined customers of HP and Compaq should continue to see very high levels of sales and support. But those below the 500 who may have been higher up in the pecking order of the smaller company may see less support.'","verified","ingest-extraction","expert-quote","p.1","Aberdeen Group; classic mid-tier-friction frame",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-008","sia-compaq-vows-support-himalaya-post-hp-21421a","peter-s-kastner","post-merger-customer-support-tiering","expert-opinion","2002","Tactical guidance for IT orgs","Kastner recommends IT organizations at major financial firms plan on holding information-exchange meetings so newly-assigned people can come up to speed on present and future needs","verified","ingest-extraction","expert-quote","p.1","Practitioner-class actionable advice",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-009","sia-compaq-vows-support-himalaya-post-hp-21421a","peter-s-kastner","hp-compaq-merger-2002","expert-opinion","2002","Account team friction","'HP and Compaq sales forces will be combined and reshuffled — it's quite likely that at least some of the people assigned to an account are likely to be new over the next six months.'","verified","ingest-extraction","expert-quote","p.1","",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-010","sia-compaq-vows-support-himalaya-post-hp-21421a","mike-demeo","compaq-himalaya-nonstop","expert-opinion","2002","Nasdaq customer satisfaction","Nasdaq spokesman: 'Our CIO has been in discussions with Compaq and they have reassured us that they will continue to support and have direct investments in the Himalaya line.'","verified","ingest-extraction","customer-quote","p.1","",""
"sia-compaq-vows-support-himalaya-post-hp-21421a-OBS-011","sia-compaq-vows-support-himalaya-post-hp-21421a","hewlett-packard","compaq-himalaya-nonstop","actual-outcome","2025","HPE NonStop continued operation","HPE NonStop platform continues to operate the world's exchanges and securities processing in 2025 — Kastner's middle-path forecast (preserve top, friction below) more accurate than Travis's 'starve to death' prediction","verified","web-source","historical-record","follow-on","",""
