"tech_id","tech_name","category","vendor","era","lifecycle_at_study","lifecycle_current","study_id","notes"
"sata","Serial ATA (SATA)","protocol","Industry Standard","2003-present","emerging","active","05-idc-sata-report-0872b8","Primary technology subject of report; 7200 RPM lower performance lower reliability than SCSI/FC but 1/2 to 1/3 TCO savings"
"fibre-channel","Fibre Channel (FC)","protocol","Industry Standard","1994-present","mature","active","05-idc-sata-report-0872b8","Incumbent high-performance disk interface in enterprise storage"
"scsi","SCSI Disk Interface","protocol","Industry Standard","1986-present","mature","legacy","05-idc-sata-report-0872b8","Incumbent high-performance disk interface; massive installed base relative to ATA/SATA"
"san","Storage Area Network (SAN)","platform","Industry Standard","1996-present","mature","active","05-idc-sata-report-0872b8","All interviewees required to have SAN — screening criterion; functional SANs 3+ years old"
"ilm","Information Lifecycle Management (ILM)","framework","Industry Standard","2002-present","emerging","unknown [REVIEW]","05-idc-sata-report-0872b8","Framework for data tiering across storage hierarchy; mentioned as the next step after tiered storage"
"fixed-content-storage","Fixed Content / CAS Storage","platform","Industry Standard","2002-present","emerging","active","05-idc-sata-report-0872b8","One of two primary receptive applications for capacity-oriented storage (alongside data protection)"
"emc-centera","EMC Centera (CAS)","platform","EMC","2002-2016","emerging","discontinued","05-idc-sata-report-0872b8","ATA-based content-addressed storage; early adopter product; reported 1/3 performance of conventional RAID at application level"
"netapp-nearstore","NetApp NearStore","platform","Network Appliance","2002-present","emerging","active","05-idc-sata-report-0872b8","ATA-based NAS near-line product; limited interviewee awareness but highly positive from those who used it"
"sas","Serial Attached SCSI (SAS)","protocol","Industry Standard","2003-present","emerging","active","05-idc-sata-report-0872b8","Mentioned in education section — most storage managers not yet aware of SAS at time of study"
"raid","RAID (Redundant Array of Independent Disks)","protocol","Industry Standard","1988-present","mature","legacy-supported","05-idc-sata-report-0872b8","Required surrounding technology for capacity-oriented drives — IDC recommends products withstand 2 drive failures without application interruption"
