"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"199x-us-insurance-industry-overview-saga-6ce857-OBS-001","199x-us-insurance-industry-overview-saga-6ce857","","","market-data","1998","property-and-casualty-premiums","$260B","high","market-segmentation","3","Property & Casualty segment includes home, business, liability, and interruption lines."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-002","199x-us-insurance-industry-overview-saga-6ce857","","","market-data","1998","life-and-health-premiums","$330B","high","market-segmentation","3","Life & Health covers personal and group business."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-003","199x-us-insurance-industry-overview-saga-6ce857","","","expert-opinion","1998","industry-profitability-pressure","Competition, weak actuarial bets, and product commoditization are eroding profitability","high","industry-analysis","4","Slide cites lowest-price shopping, weak differentiation, limited consumer face-time, and bad bets on coastal real estate, longevity, and HMO savings."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-004","199x-us-insurance-industry-overview-saga-6ce857","","","expert-opinion","1998","customer-service-strategy","Customer service is both a major cost-savings target and a differentiation tool","high","industry-analysis","5","Examples include 24x7 and drive-in service models."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-005","199x-us-insurance-industry-overview-saga-6ce857","","","expert-opinion","1998","regulatory-barrier-to-entry","State and federal regulation make market entry costly","high","industry-analysis","5","Insurance is regulated by 50 states plus the federal layer."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-006","199x-us-insurance-industry-overview-saga-6ce857","","","expert-opinion","1998","traditional-channel-complexity","Multi-tier selling and service schemes remain standard","high","industry-analysis","5","Agencies and group plan administration are given as examples."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-007","199x-us-insurance-industry-overview-saga-6ce857","","internet-web","topic-insight","1998","financial-disintermediation","Insurance distribution is moving toward banks and internet-based low-cost channels","high","expert-opinion","6","Slide frames the shift as consumers asking why they should not buy insurance from a bank or online."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-008","199x-us-insurance-industry-overview-saga-6ce857","citibank","","topic-insight","1998","bank-insurance-convergence","Citibank/Travelers merger is evidence that convergence is structural, not an aberration","high","expert-opinion","6","Travelers is the counterparty named in the merger example."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-009","199x-us-insurance-industry-overview-saga-6ce857","","","topic-insight","1998","y2k-supply-chain-opportunity","Year 2000 remediation creates supply-chain opportunities because agencies may fail even if headquarters is safe","medium","expert-opinion","6","The deck highlights uneven readiness across the insurance distribution chain."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-010","199x-us-insurance-industry-overview-saga-6ce857","","","topic-insight","1998","health-care-policy-outlook","Managed care will face more regulation, nationalization is unlikely, and insurers should expect rapid systems change","medium","expert-opinion","7","Presented as the likely policy outcome for health insurance IT planning."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-011","199x-us-insurance-industry-overview-saga-6ce857","","internet-web","topic-insight","1998","electronic-commerce-adoption","Electronic commerce will proliferate across supplier-to-consumer, business-to-business, and supplier-to-intermediary channels","high","expert-opinion","7","Slide treats digital distribution and partner connectivity as multi-channel trends."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-012","199x-us-insurance-industry-overview-saga-6ce857","","oltp","architecture-analysis","1998","core-insurance-processing-style","Mainframes remain the tradition for OLTP and batch workloads","high","industry-analysis","8","Insurance back offices still center on high-volume transaction processing."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-013","199x-us-insurance-industry-overview-saga-6ce857","","windows-nt","architecture-analysis","1998","agency-system-platform-shift","Agency systems are moving toward Windows NT","high","industry-analysis","8","Signals departmental and distributed-server migration away from purely centralized systems."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-014","199x-us-insurance-industry-overview-saga-6ce857","","","architecture-analysis","1998","distributed-system-pattern","Multi-tier, geographically distributed systems are the insurance norm","high","industry-analysis","8","Kastner frames distributed architecture as standard rather than exceptional."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-015","199x-us-insurance-industry-overview-saga-6ce857","","data-warehouse","architecture-analysis","1998","insurance-data-footprint","Insurance demands large underwriting, actuarial, claims, and regulatory data stores, making data warehousing a natural fast-growing capability","high","industry-analysis","9","Slide 9 explicitly says data warehousing is natural and growing fast."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-016","199x-us-insurance-industry-overview-saga-6ce857","","","architecture-analysis","1998","software-maturity-requirement","Large transaction volumes favor mature software","high","industry-analysis","10","The presentation links operational scale to conservative platform selection."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-017","199x-us-insurance-industry-overview-saga-6ce857","","","architecture-analysis","1998","local-office-computing-style","Local offices need client-server systems for speed and may keep a local database","medium","industry-analysis","10","Presented as the practical office-level computing style."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-018","199x-us-insurance-industry-overview-saga-6ce857","","ordbms","topic-insight","1998","ordbms-adoption","Complex-data platforms such as ORDBMS are slow to take off in insurance","medium","expert-opinion","10","The deck treats complex data models as lagging mainstream adoption."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-019","199x-us-insurance-industry-overview-saga-6ce857","","imaging-technology","topic-insight","1998","imaging-adoption","Imaging adoption has been slow because of cost, but cheaper digital cameras and printers are improving the economics","medium","expert-opinion","10","Kastner presents imaging as a lagging but improving insurance technology category."
"199x-us-insurance-industry-overview-saga-6ce857-OBS-020","199x-us-insurance-industry-overview-saga-6ce857","","data-warehouse","architecture-analysis","1998","claims-modernization-problem","Example insurer has heavy mainframe investment and slow information turnaround because of batch orientation and no data warehouse","high","industry-analysis","11","Slide 11 frames this as a real insurance-company problem statement."
