"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","verification_method","methodology_code","source_page","notes"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-001","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","org-profile","2003","total-storage-tb","20 TB","high","ingest-extraction","ramp-interview","p1","Total storage in Orleman's area; only 30% utilized — significant headroom"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-002","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","org-profile","2003","storage-utilization-pct","30%","high","ingest-extraction","ramp-interview","p1","Very low utilization; target 80% for both Windows and Unix/Linux"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-003","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","org-profile","2003","it-budget","$70M","high","ingest-extraction","ramp-interview","p1","Total IT budget; CIO reports to President/CEO"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-004","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","infra-profile","2003","os-split","10% Windows / 90% Unix-Linux","high","ingest-extraction","ramp-interview","p1","Heavily Unix/Linux; Windows is minority; reflects financial-sector Unix dominance in 2003"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-005","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","infra-profile","2003","storage-architecture-split","Windows=100% DAS / Unix-Linux=100% NAS","high","ingest-extraction","ramp-interview","p1","Cleanly bifurcated: Windows on DAS; Unix/Linux on NAS entirely"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-006","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","infra-profile","2003","disk-interface-split","5% SCSI / 95% FC","high","ingest-extraction","ramp-interview","p2","FC dominant — financial sector leading edge in 2003; SCSI nearly eliminated"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-007","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","growth-metric","2003","windows-storage-growth-12mo","50%","high","ingest-extraction","ramp-interview","p1","Windows storage expected to grow 50%; multiple development projects driving growth"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-008","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","growth-metric","2003","unix-linux-storage-growth-12mo","75%","high","ingest-extraction","ramp-interview","p1","Unix/Linux storage expected to grow 75%; significant development projects; overall 70-75% growth"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-009","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","willingness-to-adopt","2003","willingness-higher-capacity-50pct-cost-reduction","2 of 7","high","ingest-extraction","ramp-interview","p1","Very low willingness (2/7) — strong SLA requirements for member banks; performance not the issue, availability is"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-010","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","willingness-to-adopt","2003","willingness-same-capacity-less-availability-30pct-reduction","2 of 7","high","ingest-extraction","ramp-interview","p1","2/7 for availability trade-off as well; both options equally rejected — availability non-negotiable"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-011","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","willingness-to-adopt","2003","likelihood-of-purchase-12mo","3 of 7","medium","ingest-extraction","ramp-interview","p1","Slightly higher than adoption score; suggests modest openness to experimentation even without commitment"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-012","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","sla-profile","2003","availability-requirement","supercritical","high","ingest-extraction","ramp-interview","p2","Availability supercritical due to member bank obligations; high availability in access ports requires high redundancy"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-013","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","data-profile","2003","read-only-data-pct","50%","high","ingest-extraction","ramp-interview","p1","50% of data is read-only — primarily image files from card scans; theoretically ideal for midline storage"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-014","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","credit-card-dispute-image-app","app-profile","2003","dispute-image-app-size-tb","10 TB","high","ingest-extraction","ramp-interview","p2","Credit card dispute image application; single app with very large non-changing static data; primary use case for midline"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-015","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","credit-card-dispute-image-app","growth-metric","2003","dispute-app-growth-driver","growth as more banks sign up","high","ingest-extraction","ramp-interview","p2","Dispute application will grow quickly as member bank adoption increases — compliance-driven growth"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-016","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","credit-card-dispute-image-app","infra-profile","2003","dispute-app-topology","DB2 centralized; replication planned","high","ingest-extraction","ramp-interview","p2","One central location at time of study; moving to replicate for availability"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-017","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","geo-profile","2003","data-center-locations","San Mateo CA (15TB); McLean VA (5TB); Denver CO","high","ingest-extraction","ramp-interview","p2","Geographically distributed; west coast dominant; east coast and Denver secondary"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-018","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","ibm-3584-tape-library","infra-profile","2003","tape-copies-onsite","8-10","high","ingest-extraction","ramp-interview","p2","8-10 onsite tape copies; 5 offsite — highly conservative retention matching financial-sector compliance needs"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-019","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","operational-metric","2003","backup-window-status","no problem with window but jobs fail at unacceptable rate","high","ingest-extraction","ramp-interview","p2","No backup window problem but job failure rate unacceptable; restore time too long; ops management burdensome"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-020","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","operational-metric","2003","restore-frequency","less than once per year","high","ingest-extraction","ramp-interview","p2","Rare restore events despite large static dataset — supports case that much data is archival in nature"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-021","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","expert-opinion","2003","customer-facing-storage-thesis","Organizations running customer-facing applications with strong SLAs will not consider low-cost disk for those applications","high","ingest-extraction","ramp-interview","p3","Core RAMP market segmentation finding: customer-facing = high SLA = no ATA migration regardless of cost savings"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-022","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","expert-opinion","2003","decision-maker-identification-insight","Applications development organizations with cradle-to-grave responsibility may be actual storage decision makers over ops","high","ingest-extraction","ramp-interview","p3","Key channel/sales insight: app dev teams increasingly control storage decisions; contradicts traditional ops-centric purchasing model"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-023","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","expert-opinion","2003","adoption-change-management-challenge","Challenge is to change thinking about which applications could use low-cost disk alternatives","high","ingest-extraction","ramp-interview","p3","Market development requires application-level segmentation and education; not just product positioning"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-024","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","vendor-relationship","2003","primary-storage-vendor","EMC","high","ingest-extraction","ramp-interview","p1","EMC primary; significant business relationship; secondary vendors: Dell, NetApp, Z-Force"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-025","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","infra-profile","2003","storage-staffing","dedicated full-time storage team","high","ingest-extraction","ramp-interview","p2","Full group of people assigned to storage management; consistent with scale and criticality"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-026","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","infra-profile","2003","bottleneck-type","CPU bottlenecks; no disk bottlenecks","high","ingest-extraction","ramp-interview","p2","Storage performance not constrained by disk; CPU is the bottleneck — confirms low-cost disk would not impair performance"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-027","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","infra-profile","2003","archival-media","optical or virtual tape","high","ingest-extraction","ramp-interview","p2","Online archiving to optical or virtual tape; no ATA nearline layer in use"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-028","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","viability-prediction","2003","ata-adoption-in-financial-sector-prognosis","very unlikely for primary and SLA-bound storage","high","ingest-extraction","ramp-interview","p1","2/7 rating and supercritical SLA requirements indicate financial sector will resist midline for primary storage"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-029","inovant-ramp-interview-for-maxtor-projec-e7f75d","","","actual-outcome","2015","ata-midline-financial-sector-outcome","[UNVERIFIED]","","ingest-extraction","","","Placeholder: financial sector's primary tier stayed FC; nearline/compliance archival did adopt lower-cost approaches (SATA, object storage, S3-compatible) by ~2010-2015"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-030","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","credit-card-dispute-image-app","viability-prediction","2003","image-archive-as-static-data-use-case","10TB dispute image app is ideal candidate for lower-cost storage tier if availability barriers overcome","high","ingest-extraction","ramp-interview","p2","Prescient: compliance image archives exactly the workload object storage / S3 later targeted in cloud era"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-031","inovant-ramp-interview-for-maxtor-projec-e7f75d","","","actual-outcome","2015","image-archive-storage-evolution","[UNVERIFIED]","","ingest-extraction","","","Placeholder: credit card dispute image storage eventually moved to object/cloud storage; compliance archival became dominant nearline use case"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-032","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","org-profile","2003","employee-count","3000+","high","ingest-extraction","ramp-interview","p1","Inovant headcount; Visa's technology subsidiary"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-033","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","infra-profile","2003","online-copies","1 extra via RAID 0+1","high","ingest-extraction","ramp-interview","p1","RAID 0+1 configuration; mirrors data for availability; consistent with financial-sector requirements"
"inovant-ramp-interview-for-maxtor-projec-e7f75d-OBS-034","inovant-ramp-interview-for-maxtor-projec-e7f75d","inovant","","infra-profile","2003","active-application-count","4-5 major applications (Web + OLTP)","high","ingest-extraction","ramp-interview","p2","Web and OLTP the main workloads; open file delivery for bank file transfers is third app"
