"obs_id","study_id","entity_id","tech_id","observation_type","year_observed","metric_name","metric_value","confidence","methodology_code","source_page","notes"
"aas-launch-package-aug-2001-b4a001-001","aas-launch-package-aug-2001-b4a001","peter-s-kastner","","internal-communication","2001","Memo routing","Kastner to Willmott, cc Chet Verceglio and Margie Koenig; subject: New Product Launch Status; date August 7 2001","high","primary-doc","August-7-status-memo-2001-10 p.1","Status memo announcing AAS launch work"
"aas-launch-package-aug-2001-b4a001-002","aas-launch-package-aug-2001-b4a001","","aberdeen-aas","market-data","2001","Number of workshops defined","Five workshops defined for AAS launch package: Go-to-Market; Market Knowledge; Market Positioning; Messaging Strategy; Go-to-Market Readiness","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-003","aas-launch-package-aug-2001-b4a001","","aberdeen-workshop-go-to-market","expert-opinion","2001","Workshop focus: Go-to-Market","Reviews market, competition, positioning, and messaging","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-004","aas-launch-package-aug-2001-b4a001","","aberdeen-workshop-market-knowledge","expert-opinion","2001","Workshop focus: Market Knowledge","Covers market segments, dynamics, evolution, and competition","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-005","aas-launch-package-aug-2001-b4a001","","aberdeen-workshop-market-positioning","expert-opinion","2001","Workshop focus: Market Positioning","Positioning the company or product for maximum market advantage","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-006","aas-launch-package-aug-2001-b4a001","","aberdeen-workshop-messaging-strategy","expert-opinion","2001","Workshop focus: Messaging Strategy","Development of key messages for customers, press, analysts, and investors","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-007","aas-launch-package-aug-2001-b4a001","","aberdeen-workshop-go-to-market-readiness","expert-opinion","2001","Workshop focus: Go-to-Market Readiness","Reviews presentations and launch collateral prior to public launch; two variations","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-008","aas-launch-package-aug-2001-b4a001","","aberdeen-workshop-alliances","viability-prediction","2001","Sixth workshop planned","Alliances workshop to examine channel and partner opportunities; planned for future (not yet defined as of Aug 2001)","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-009","aas-launch-package-aug-2001-b4a001","margie-koenig","aberdeen-workshop-go-to-market","internal-communication","2001","Workshop methodology development","Margie Koenig and Kathleen Roche working on Workshop methodologies; Workshop SLIC in production","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-010","aas-launch-package-aug-2001-b4a001","","aberdeen-workshop-go-to-market","market-data","2001","Workshop deliverables specification","Each workshop has: 50-page sales proposal template + 25-page product overview with selling tips","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-011","aas-launch-package-aug-2001-b4a001","aberdeen-group","aberdeen-aas","expert-opinion","2001","AAS brand definition","AAS is a rebranded retainer family; new program name is Aberdeen Advisory Services (AAS); retainer packages built from base relationship deliverables plus consulting days plus optional Pod services such as surveys","high","primary-doc","August-7-status-memo-2001-10 p.1",""
"aas-launch-package-aug-2001-b4a001-012","aas-launch-package-aug-2001-b4a001","","aberdeen-six-month-intro-aas","market-data","2001","Six-Month Introductory AAS price","$6,000 upfront; includes analyst access, pubs access online, press access, and half-day consulting","high","primary-doc","AAS-2 p.1; August-7-status-memo-2001-10 p.1","Invoiced upon signing of contract"
"aas-launch-package-aug-2001-b4a001-013","aas-launch-package-aug-2001-b4a001","","aberdeen-six-month-intro-aas","market-data","2001","Six-Month Introductory AAS eligibility","Offered one-time only to first-time clients; targeted at new clients with minimal resources","high","primary-doc","AAS-2 p.1",""
"aas-launch-package-aug-2001-b4a001-014","aas-launch-package-aug-2001-b4a001","","aberdeen-twelve-month-multiday-aas","market-data","2001","Twelve-Month Multi-Day AAS price formula","$7,000 (12-month ad hoc access) plus per diem rate x minimum 2 consulting days; invoiced quarterly","high","primary-doc","AAS-2 p.1",""
"aas-launch-package-aug-2001-b4a001-015","aas-launch-package-aug-2001-b4a001","","aberdeen-twelve-month-multiday-aas","market-data","2001","AAS pricing tier: Associate","$10,200 = $7,000 + ($1,600 x 2 days)","high","primary-doc","AAS-2 p.1","Per diem rate $1,600"
"aas-launch-package-aug-2001-b4a001-016","aas-launch-package-aug-2001-b4a001","","aberdeen-twelve-month-multiday-aas","market-data","2001","AAS pricing tier: Analyst","$13,000 = $7,000 + ($3,000 x 2 days)","high","primary-doc","AAS-2 p.1","Per diem rate $3,000"
"aas-launch-package-aug-2001-b4a001-017","aas-launch-package-aug-2001-b4a001","","aberdeen-twelve-month-multiday-aas","market-data","2001","AAS pricing tier: Senior Analyst","$16,000 = $7,000 + ($4,500 x 2 days)","high","primary-doc","AAS-2 p.1","Per diem rate $4,500"
"aas-launch-package-aug-2001-b4a001-018","aas-launch-package-aug-2001-b4a001","","aberdeen-twelve-month-multiday-aas","market-data","2001","AAS pricing tier: Director","$17,400 = $7,000 + ($5,200 x 2 days)","high","primary-doc","AAS-2 p.1","Per diem rate $5,200"
"aas-launch-package-aug-2001-b4a001-019","aas-launch-package-aug-2001-b4a001","","aberdeen-twelve-month-multiday-aas","market-data","2001","AAS pricing tier: Vice President","$19,000 = $7,000 + ($6,000 x 2 days)","high","primary-doc","AAS-2 p.1","Per diem rate $6,000"
"aas-launch-package-aug-2001-b4a001-020","aas-launch-package-aug-2001-b4a001","","aberdeen-twelve-month-multiday-aas","market-data","2001","AAS pricing tier: Executive","$21,000 = $7,000 + ($7,000 x 2 days)","high","primary-doc","AAS-2 p.1","Per diem rate $7,000"
"aas-launch-package-aug-2001-b4a001-021","aas-launch-package-aug-2001-b4a001","aberdeen-group","","market-data","2001","New price list effective date","New price list effective September 1, 2001; rationalized and simplified; eliminates unsold services; returns to labor + retainers + publications + content basics","high","primary-doc","August-7-status-memo-2001-10 p.1","Labor rates changed; multi-day rate lowered to improve bid competitiveness"
"aas-launch-package-aug-2001-b4a001-022","aas-launch-package-aug-2001-b4a001","","aberdeen-cad","market-data","2001","CAD (Core Access Deliverables) pricing","Free to all active Aberdeen clients; includes ad hoc analyst access, pubs access online, and press access during course of engagement","high","primary-doc","AAS-2 p.1; AAS-SLIC-text p.1","Active client = buys at least half-day per quarter consulting or equivalent pubs/content"
"aas-launch-package-aug-2001-b4a001-023","aas-launch-package-aug-2001-b4a001","","aberdeen-six-month-intro-aas","market-data","2001","AAS renewal terms","Six-Month Introductory AAS renews free if client contracts: any consulting day; or MAS at $22,500; or amplification project >= $15,000; or RAMP/Strategy Acceleration project","high","primary-doc","AAS-2 p.1","Renewal without the included half-day consulting"
"aas-launch-package-aug-2001-b4a001-024","aas-launch-package-aug-2001-b4a001","","aberdeen-mas-service","market-data","2001","MAS add-on price with AAS","$2,000 add-on (20% discount off standard price) when practice area MAS research is complete and available","high","primary-doc","AAS-2 p.1","Add-on does not apply if MAS practice research is not complete or not scheduled"
"aas-launch-package-aug-2001-b4a001-025","aas-launch-package-aug-2001-b4a001","","aberdeen-six-month-intro-aas","market-data","2001","Consulting time options in Introductory AAS","Half-day consulting usable as: block time for go-to-market strategy; quarterly briefing updates; research preparation; or labor credit toward Workshop","high","primary-doc","AAS-2 p.1",""
"aas-launch-package-aug-2001-b4a001-026","aas-launch-package-aug-2001-b4a001","aberdeen-group","","market-data","2001","Aberdeen founding year","Since 1987, Aberdeen Group has approached the IT research market with a business model that stresses building a close one-on-one relationship with an expert industry analyst-consultant","high","primary-doc","AAS-SLIC-text p.1",""
"aas-launch-package-aug-2001-b4a001-027","aas-launch-package-aug-2001-b4a001","aberdeen-group","","market-data","2001","Aberdeen office locations","Boston, Palo Alto, Ft. Collins, Amsterdam","high","primary-doc","Advisory-Services-Slip-Sheet-v8-9f-9 p.1",""
"aas-launch-package-aug-2001-b4a001-028","aas-launch-package-aug-2001-b4a001","aberdeen-group","aberdeen-aas","expert-opinion","2001","Three-pillar service model","Primary market research / Consulting services / Audience education and training","high","primary-doc","AAS-SLIC-text p.1; Advisory-Services-Slip-Sheet-v8-9f-9 p.2",""
"aas-launch-package-aug-2001-b4a001-029","aas-launch-package-aug-2001-b4a001","","aberdeen-aas","expert-opinion","2001","AAS as core service","Aberdeen Advisory Service is described as at the core of all service offerings; all active clients receive CAD during engagement at no charge","high","primary-doc","AAS-2 p.1; AAS-SLIC-text p.1",""
"aas-launch-package-aug-2001-b4a001-030","aas-launch-package-aug-2001-b4a001","","aberdeen-cad","market-data","2001","CAD component: Trade show access","Analyst walks show floor with client to discuss competition's trade-show positioning and new entrants","high","primary-doc","AAS-SLIC-text p.1; Advisory-Services-Slip-Sheet-v8-9f-9 p.1",""
"aas-launch-package-aug-2001-b4a001-031","aas-launch-package-aug-2001-b4a001","","aberdeen-cad","market-data","2001","CAD component: PR and press interaction","Aberdeen available as creditable third-party source; provides objective quotes and background press briefings","high","primary-doc","AAS-SLIC-text p.1",""
"aas-launch-package-aug-2001-b4a001-032","aas-launch-package-aug-2001-b4a001","","aberdeen-cad","market-data","2001","CAD component: Designated analyst","Client assigned a designated Aberdeen analyst in the client's primary IT market coverage area","high","primary-doc","AAS-SLIC-text p.1",""
"aas-launch-package-aug-2001-b4a001-033","aas-launch-package-aug-2001-b4a001","","aberdeen-cad","market-data","2001","CAD component: Interactive briefing","Aberdeen holds 1-2 hour interactive briefing with client company; presents latest research findings and discusses relevance","high","primary-doc","AAS-SLIC-text p.1",""
