"entity_id","entity_name","entity_type","sector","status","successor","years_active","study_id","notes"
"ibm","IBM Corporation","company","computing-industry","active","","1911-present","2026-kastner-ibm-longitudinal","International Business Machines Corporation; canonical IBM entity. Entity-ID variants in archive: ibm, ibm-corporation, ibm-corp, IBM, ENT-002, ENT-003, ENT-004, ENT-005, ENT-006, ENT-008, enc-03, e89-03, e91-03, ent-001, ent-005, ent-03"
"ibm-global-services","IBM Global Services","company","IT-services","active-renamed","IBM Consulting + Kyndryl","1991-2021","2026-kastner-ibm-longitudinal","Kyndryl spun out 2021 as managed infrastructure; IBM Consulting retained professional services"
"ibm-issc","IBM ISSC (Integrated Systems Solutions Corp.)","company","IT-outsourcing","absorbed","IBM Global Services","1991-1996","2026-kastner-ibm-longitudinal","Predecessor to IBM Global Services; the first large-scale IT outsourcing vehicle"
"ibm-as400-division","IBM AS/400 Division","company","midrange-computing","evolved","IBM Power Systems (IBM i)","1988-2006","2026-kastner-ibm-longitudinal","AS/400 rebranded iSeries 2000, System i 2006, merged into Power Systems 2008"
"ibm-tivoli","IBM Tivoli","company","systems-management","absorbed","IBM Software (Observability/AIOps)","1996-2019","2026-kastner-ibm-longitudinal","Tivoli Systems acquired 1996; brand largely retired by 2019 as products rebranded"
"ibm-rational","IBM Rational","company","application-development","absorbed","IBM Engineering Lifecycle Management","2003-2019","2026-kastner-ibm-longitudinal","Rational Software acquired 2003 for $2.1B; brand retired ~2019"
"ibm-bcs","IBM Business Consulting Services","company","IT-consulting","renamed","IBM Consulting","2002-2008","2026-kastner-ibm-longitudinal","PwC Consulting acquired 2002 for $3.5B; BCS merged into IBM Global Services, later IBM Consulting"
"kyndryl","Kyndryl","company","IT-infrastructure-services","active","","2021-present","2026-kastner-ibm-longitudinal","IBM spun out managed infrastructure services as Kyndryl; NYSE: KD; world's largest IT infrastructure services firm"
"red-hat","Red Hat","company","open-source-enterprise","acquired","IBM (subsidiary)","1993-2019","2026-kastner-ibm-longitudinal","Acquired by IBM 2019 for $34B; largest IBM acquisition ever; operating as independent subsidiary"
"lenovoibm","Lenovo (IBM PC/x86 buyer)","company","personal-computing","active","","1984-present","2026-kastner-ibm-longitudinal","Purchased IBM ThinkPad/PC division 2005 for $1.75B; purchased IBM x86 server business 2014 for $2.1B"
"ibm-watson-health","IBM Watson Health","company","healthcare-AI","divested","Francisco Partners (2022)","2015-2022","2026-kastner-ibm-longitudinal","Watson Health sold to Francisco Partners 2022; represented IBM's most visible AI pivot failure"
"peter-kastner","Peter S. Kastner","person","IT-research-analysis","active","","1969-present","2026-kastner-ibm-longitudinal","Aberdeen Group co-founder and CRO; had direct relationships with IBM executives including John M. Thompson, Ginni Rometty"
"john-m-thompson-ibm","John M. Thompson","person","IBM-executive","retired","","1966-2002","2026-kastner-ibm-longitudinal","IBM SVP Software and Systems; known for direct 1-1 analyst sessions with Kastner"
"ginni-rometty","Ginni Rometty","person","IBM-executive","retired","","1981-2020","2026-kastner-ibm-longitudinal","IBM CEO 2012-2020; Kastner sat beside her at a six-person dinner in her GM of IBM Services era"
"lou-gerstner","Lou Gerstner","person","IBM-executive","retired","","1993-2002","2026-kastner-ibm-longitudinal","IBM CEO who reversed planned breakup of IBM and pivoted to services; documented in THREAD-5"
"ibm-somers","IBM Somers (analyst relations team)","company","analyst-relations","active","","1980s-present","2026-kastner-ibm-longitudinal","IBM AR headquarters Westchester NY; Kastner trained IBM Somers staff on analyst program excellence"
